INT	STRING	STRING	STRING	STRING	STRING	STRING
7988	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7989	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7990	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7991	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7992	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7993	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7994	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7995	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7996	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7997	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7998	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7999	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8000	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8001	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8002	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
