INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10010	神谕靴子	5	1	1	1	1	-1	-1	20	6:26|7:66|4:13|5:33	-1	大师的杰作	20006	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	6:26|7:66|4:13|5:33	0		0	8	0	0	0	0	1	-1	-1
10011	裂天战剑	0	2	2	1	1	-1	-1	100	4:100|5:250|1:10000|45:1000	-1	大师的杰作	20011	24	0	0	-1	0:zhanshi4_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|蓝色	0	0	6	100	0	0	0	0	0	-1	-1	0	4:100|5:250|1:10000|45:1000	0		0	8	0	0	0	0	1	-1	-1
10012	裂天头盔	1	2	2	1	1	-1	-1	30	4:33|5:83	-1	大师的杰作	20013	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:33|5:83	0		0	8	0	0	0	0	1	-1	-1
10013	裂天战手	3	2	2	1	1	-1	-1	30	4:23|5:58|6:20|7:50	-1	大师的杰作	20014	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:23|5:58|6:20|7:50	0		0	8	0	0	0	0	1	-1	-1
10014	裂天战戒	7	2	2	1	1	-1	-1	30	4:23|5:58|6:20|7:50	-1	大师的杰作	20012	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:23|5:58|6:20|7:50	0		0	8	0	0	0	0	1	-1	-1
10015	裂天腰带	4	2	2	1	1	-1	-1	30	4:19|5:49|6:40|7:100	-1	大师的杰作	20017	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:19|5:49|6:40|7:100	0		0	8	0	0	0	0	1	-1	-1
10016	裂天战甲	2	2	2	1	1	-1	-1	100	4:33|5:83|6:80|7:200|1:15000	-1	大师的杰作	20018	24	0	0	-1	0:zhanshi6_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|蓝色	0	0	6	100	0	0	0	0	0	-1	-1	0	4:33|5:83|6:80|7:200|1:15000	0		0	8	0	0	0	0	1	-1	-1
10017	裂天项链	6	2	2	1	1	-1	-1	30	4:33|5:83	-1	大师的杰作	20015	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:33|5:83	0		0	8	0	0	0	0	1	-1	-1
10018	裂天战镯	3	2	2	1	1	-1	-1	30	4:23|5:58|8:7	-1	大师的杰作	20014	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:23|5:58|8:7	0		0	8	0	0	0	0	1	-1	-1
10019	裂天战指	7	2	2	1	1	-1	-1	30	4:23|5:58|9:7	-1	大师的杰作	20012	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	4:23|5:58|9:7	0		0	8	0	0	0	0	1	-1	-1
10020	裂天靴子	5	2	2	1	1	-1	-1	30	6:40|7:100|4:19|5:49	-1	大师的杰作	20016	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|蓝色	0	0	6	30	0	0	0	0	0	-1	-1	0	6:40|7:100|4:19|5:49	0		0	8	0	0	0	0	1	-1	-1
10021	守护战剑	0	3	3	1	1	-1	-1	150	4:133|5:333|1:13000|45:1000	-1	大师的杰作	20021	24	0	0	-1	0:zhanshi9_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|蓝色	0	0	6	150	0	0	0	0	0	-1	-1	0	4:133|5:333|1:13000|45:1000	0		0	8	0	0	0	0	1	-1	-1
10022	守护头盔	1	3	3	1	1	-1	-1	40	4:44|5:111	-1	大师的杰作	20023	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:44|5:111	0		0	8	0	0	0	0	1	-1	-1
10023	守护战手	3	3	3	1	1	-1	-1	40	4:31|5:77|6:30|7:70	-1	大师的杰作	20024	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:31|5:77|6:30|7:70	0		0	8	0	0	0	0	1	-1	-1
10024	守护战戒	7	3	3	1	1	-1	-1	40	4:31|5:77|6:30|7:70	-1	大师的杰作	20022	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:31|5:77|6:30|7:70	0		0	8	0	0	0	0	1	-1	-1
10025	守护腰带	4	3	3	1	1	-1	-1	40	4:26|5:66|6:53|7:133	-1	大师的杰作	20027	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:26|5:66|6:53|7:133	0		0	8	0	0	0	0	1	-1	-1
10026	守护战甲	2	3	3	1	1	-1	-1	150	4:44|5:111|6:107|7:267|1:20000	-1	大师的杰作	20028	24	0	0	-1	0:zhanshi101_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|蓝色	0	0	6	150	0	0	0	0	0	-1	-1	0	4:44|5:111|6:107|7:267|1:20000	0		0	8	0	0	0	0	1	-1	-1
10027	守护项链	6	3	3	1	1	-1	-1	40	4:44|5:111	-1	大师的杰作	20025	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:44|5:111	0		0	8	0	0	0	0	1	-1	-1
10028	守护战镯	3	3	3	1	1	-1	-1	40	4:31|5:77|8:10	-1	大师的杰作	20024	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:31|5:77|8:10	0		0	8	0	0	0	0	1	-1	-1
10029	守护战指	7	3	3	1	1	-1	-1	40	4:31|5:77|9:10	-1	大师的杰作	20022	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	4:31|5:77|9:10	0		0	8	0	0	0	0	1	-1	-1
10030	守护靴子	5	3	3	1	1	-1	-1	40	6:53|7:133|4:26|5:66	-1	大师的杰作	20026	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|蓝色	0	0	6	40	0	0	0	0	0	-1	-1	0	6:53|7:133|4:26|5:66	0		0	8	0	0	0	0	1	-1	-1
10031	青云战剑	0	4	4	1	1	-1	-1	200	4:167|5:417|1:17000|45:1000	-1	大师的杰作	20031	24	0	0	-1	0:zhanshi9_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|蓝色	0	0	6	200	0	0	0	0	0	-1	-1	0	4:167|5:417|1:17000|45:1000	0		0	8	0	0	0	0	1	-1	-1
10032	青云头盔	1	4	4	1	1	-1	-1	50	4:55|5:138	-1	大师的杰作	20033	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:55|5:138	0		0	8	0	0	0	0	1	-1	-1
10033	青云战手	3	4	4	1	1	-1	-1	50	4:38|5:97|6:30|7:80	-1	大师的杰作	20034	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:38|5:97|6:30|7:80	0		0	8	0	0	0	0	1	-1	-1
10034	青云战戒	7	4	4	1	1	-1	-1	50	4:38|5:97|6:30|7:80	-1	大师的杰作	20032	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:38|5:97|6:30|7:80	0		0	8	0	0	0	0	1	-1	-1
10035	青云腰带	4	4	4	1	1	-1	-1	50	4:33|5:83|6:66|7:166	-1	大师的杰作	20037	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:33|5:83|6:66|7:166	0		0	8	0	0	0	0	1	-1	-1
10036	青云战甲	2	4	4	1	1	-1	-1	200	4:56|5:139|6:133|7:333|1:25000	-1	大师的杰作	20038	24	0	0	-1	0:zhanshi101_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|蓝色	0	0	6	200	0	0	0	0	0	-1	-1	0	4:56|5:139|6:133|7:333|1:25000	0		0	8	0	0	0	0	1	-1	-1
10037	青云项链	6	4	4	1	1	-1	-1	50	4:55|5:138	-1	大师的杰作	20035	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:55|5:138	0		0	8	0	0	0	0	1	-1	-1
10038	青云战镯	3	4	4	1	1	-1	-1	50	4:38|5:97|8:11	-1	大师的杰作	20034	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:38|5:97|8:11	0		0	8	0	0	0	0	1	-1	-1
10039	青云战指	7	4	4	1	1	-1	-1	50	4:38|5:97|9:11	-1	大师的杰作	20032	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:38|5:97|9:11	0		0	8	0	0	0	0	1	-1	-1
10040	青云靴子	5	4	4	1	1	-1	-1	50	6:66|7:166|4:33|5:83	-1	大师的杰作	20036	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	6:66|7:166|4:33|5:83	0		0	8	0	0	0	0	1	-1	-1
10041	玄火战剑	0	5	5	1	1	-1	-1	300	4:200|5:500|1:20000|45:1000	-1	大师的杰作	20041	24	0	0	-1	0:zhanshi8_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|蓝色	0	0	6	300	0	0	0	0	0	-1	-1	0	4:200|5:500|1:20000|45:1000	0		0	8	0	0	0	0	1	-1	-1
10042	玄火头盔	1	5	5	1	1	-1	-1	60	4:66|5:166	-1	大师的杰作	20043	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:66|5:166	0		0	8	0	0	0	0	1	-1	-1
10043	玄火战手	3	5	5	1	1	-1	-1	60	4:46|5:116|6:40|7:100	-1	大师的杰作	20044	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:46|5:116|6:40|7:100	0		0	8	0	0	0	0	1	-1	-1
10044	玄火战戒	7	5	5	1	1	-1	-1	60	4:46|5:116|6:40|7:100	-1	大师的杰作	20042	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:46|5:116|6:40|7:100	0		0	8	0	0	0	0	1	-1	-1
10045	玄火腰带	4	5	5	1	1	-1	-1	60	4:40|5:100|6:80|7:200	-1	大师的杰作	20047	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:40|5:100|6:80|7:200	0		0	8	0	0	0	0	1	-1	-1
10046	玄火战甲	2	5	5	1	1	-1	-1	300	4:67|5:167|6:160|7:400|1:30000	-1	大师的杰作	20048	24	0	0	-1	0:zhanshi103_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|蓝色	0	0	6	300	0	0	0	0	0	-1	-1	0	4:67|5:167|6:160|7:400|1:30000	0		0	8	0	0	0	0	1	-1	-1
10047	玄火项链	6	5	5	1	1	-1	-1	60	4:66|5:166	-1	大师的杰作	20045	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:66|5:166	0		0	8	0	0	0	0	1	-1	-1
10048	玄火战镯	3	5	5	1	1	-1	-1	60	4:46|5:116|8:14	-1	大师的杰作	20044	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	60	0	0	0	0	0	-1	-1	0	4:46|5:116|8:14	0		0	8	0	0	0	0	1	-1	-1
