INT	INT	INT	INT	INT	STRING
50120	1	9999	1	0	-1
50121	4	10004	24	0	-1
50121	4	10005	8	0	-1
50121	4	10006	8	0	-1
50121	2	10007	16	0	-1
50121	4	11004	24	0	-1
50121	4	11005	8	0	-1
50121	4	11006	8	0	-1
50121	2	11007	16	0	-1
50121	1	9998	1	0	-1
50121	1	9999	1	0	-1
50101	4	10005	12	0	-1
50101	4	10006	12	0	-1
50101	4	10007	8	0	-1
50101	4	10008	12	0	-1
50101	4	10009	4	0	-1
50101	4	11005	12	0	-1
50101	4	11006	12	0	-1
50101	4	11007	8	0	-1
50101	4	11008	12	0	-1
50101	4	11009	4	0	-1
50101	1	9998	1	0	-1
50101	1	9999	1	0	-1
50122	4	10005	12	0	-1
50122	4	10006	12	0	-1
50122	4	10007	8	0	-1
50122	4	10008	12	0	-1
50122	4	10009	4	0	-1
50122	4	11005	12	0	-1
50122	4	11006	12	0	-1
50122	4	11007	8	0	-1
50122	4	11008	12	0	-1
50122	4	11009	4	0	-1
50122	1	9998	1	0	-1
50122	1	9999	1	0	-1
50123	4	10005	12	0	-1
50123	4	10006	12	0	-1
50123	4	10007	8	0	-1
50123	4	10008	4	0	-1
50123	4	10009	8	0	-1
50123	4	11005	12	0	-1
50123	4	11006	12	0	-1
50123	4	11007	8	0	-1
50123	4	11008	4	0	-1
50123	4	11009	8	0	-1
50123	1	9998	1	0	-1
50123	1	9999	1	0	-1
50124	4	10005	12	0	-1
50124	4	10006	12	0	-1
50124	4	10007	8	0	-1
50124	4	10008	4	0	-1
50124	4	10009	8	0	-1
50124	4	11005	12	0	-1
50124	4	11006	12	0	-1
50124	4	11007	8	0	-1
50124	4	11008	4	0	-1
50124	4	11009	8	0	-1
50124	1	9998	1	0	-1
50124	1	9999	1	0	-1
50024	2	10004	6	0	-1
50024	2	10005	6	0	-1
50024	2	10006	6	0	-1
50024	2	10007	6	0	-1
50024	2	11004	6	0	-1
50024	2	11005	6	0	-1
50024	2	11006	6	0	-1
50024	2	11007	6	0	-1
50024	1	9998	1	0	-1
50024	1	9999	1	0	-1
50025	1	10005	5	0	-1
50025	1	10006	5	0	-1
50025	1	10007	5	0	-1
50025	1	10008	5	0	-1
50025	1	10009	5	0	-1
50025	1	11005	5	0	-1
50025	1	11006	5	0	-1
50025	1	11007	5	0	-1
50025	1	11008	5	0	-1
50025	1	11009	5	0	-1
50025	1	9998	1	0	-1
50025	1	9999	1	0	-1
50026	2	10005	4	0	-1
50026	2	10006	4	0	-1
50026	2	10007	4	0	-1
50026	2	10008	4	0	-1
50026	2	10009	4	0	-1
50026	2	10010	4	0	-1
50026	2	11005	4	0	-1
50026	2	11006	4	0	-1
50026	2	11007	4	0	-1
50026	2	11008	4	0	-1
50026	2	11009	4	0	-1
50026	2	11010	4	0	-1
50026	1	9998	1	0	-1
50026	1	9999	1	0	-1
50027	2	10007	4	0	-1
50027	2	10008	4	0	-1
50027	2	10009	4	0	-1
50027	2	10010	4	0	-1
50027	2	10011	4	0	-1
50027	2	10012	4	0	-1
50027	2	11007	4	0	-1
50027	2	11008	4	0	-1
50027	2	11009	4	0	-1
50027	2	11010	4	0	-1
50027	2	11011	4	0	-1
50027	2	11012	4	0	-1
50027	1	9998	1	0	-1
50027	1	9999	1	0	-1
50028	2	10009	4	0	-1
50028	2	10010	4	0	-1
50028	2	10011	4	0	-1
50028	2	10012	2	0	-1
50028	2	10013	2	0	-1
50028	2	10014	2	0	-1
50028	2	11009	4	0	-1
50028	2	11010	4	0	-1
50028	2	11011	4	0	-1
50028	2	11012	2	0	-1
50028	2	11013	2	0	-1
50028	2	11014	2	0	-1
50028	1	10016	1	0	-1
50028	1	9998	1	0	-1
50028	1	9999	1	0	-1
50029	2	10011	2	0	-1
50029	2	10012	2	0	-1
50029	2	10013	2	0	-1
50029	2	10014	2	0	-1
50029	2	10015	2	0	-1
50029	2	9997	2	0	-1
50029	2	11011	2	0	-1
50029	2	11012	2	0	-1
50029	2	11013	2	0	-1
50029	2	11014	2	0	-1
50029	2	11015	2	0	-1
50029	2	11016	2	0	-1
50029	1	10016	1	0	-1
50029	1	10017	1	0	-1
50029	1	10018	1	0	-1
50029	1	9998	1	0	-1
50029	1	9999	1	0	-1
50030	2	10011	2	0	-1
50030	2	10012	2	0	-1
50030	2	10013	2	0	-1
50030	2	10014	2	0	-1
50030	2	10015	2	0	-1
50030	2	9997	2	0	-1
50030	2	11011	2	0	-1
50030	2	11012	4	0	-1
50030	2	11013	2	0	-1
50030	2	11014	2	0	-1
50030	2	11015	2	0	-1
50030	2	11016	2	0	-1
50030	1	10016	1	0	-1
50030	1	10017	1	0	-1
50030	1	10018	1	0	-1
50030	1	10019	1	0	-1
50030	2	10020	2	0	-1
50030	1	9998	1	0	-1
50030	1	9999	1	0	-1
50031	2	10012	2	0	-1
50031	2	10013	2	0	-1
50031	2	10014	2	0	-1
50031	2	10015	2	0	-1
50031	2	9997	2	0	-1
50031	2	11012	2	0	-1
50031	2	11013	2	0	-1
50031	2	11014	2	0	-1
50031	2	11015	2	0	-1
50031	2	11016	2	0	-1
50031	1	10016	1	0	-1
50031	1	10017	1	0	-1
50031	1	10018	1	0	-1
50031	1	10019	1	0	-1
50031	1	10020	1	0	-1
50031	1	10021	1	0	-1
50031	1	10022	1	0	-1
50031	1	9998	1	0	-1
50031	1	9999	1	0	-1
50032	2	10013	2	0	-1
50032	2	10014	2	0	-1
50032	2	10015	2	0	-1
50032	2	9997	2	0	-1
50032	2	11013	2	0	-1
50032	2	11014	2	0	-1
50032	2	11015	2	0	-1
50032	2	11016	2	0	-1
50032	1	10016	1	0	-1
50032	1	10017	1	0	-1
50032	1	10018	1	0	-1
50032	1	10019	1	0	-1
50032	1	10020	1	0	-1
50032	1	10021	1	0	-1
50032	1	10022	1	0	-1
50032	1	10023	1	0	-1
50032	1	10024	1	0	-1
50032	1	9998	1	0	-1
50032	1	9999	1	0	-1
50033	2	10014	2	0	-1
50033	2	10015	2	0	-1
50033	2	9997	2	0	-1
50033	2	11014	2	0	-1
50033	2	11015	2	0	-1
50033	2	11016	2	0	-1
50033	1	10016	1	0	-1
50033	1	10017	1	0	-1
50033	1	10018	1	0	-1
50033	1	10019	1	0	-1
50033	1	10020	1	0	-1
50033	1	10021	1	0	-1
50033	1	10022	1	0	-1
50033	1	10023	1	0	-1
50033	1	10024	1	0	-1
50033	1	10025	1	0	-1
50033	1	10026	1	0	-1
50033	1	9998	1	0	-1
50033	1	9999	1	0	-1
50035	1	9998	1	0	-1
50035	1	9999	1	0	-1
50035	2	10009	2	0	-1
50035	2	10010	2	0	-1
50035	2	10011	2	0	-1
50035	2	10012	2	0	-1
50035	2	10013	2	0	-1
50035	2	10014	2	0	-1
50035	2	11009	2	0	-1
50035	2	11010	2	0	-1
50035	2	11011	2	0	-1
50035	2	11012	2	0	-1
50035	2	11013	2	0	-1
50035	2	11014	2	0	-1
50035	1	10016	1	0	-1
50035	1	10017	1	0	-1
50036	1	9998	1	0	-1
50036	1	9999	1	0	-1
50036	2	10010	2	0	-1
50036	2	10011	2	0	-1
50036	2	10012	2	0	-1
50036	2	10013	2	0	-1
50036	2	10014	2	0	-1
50036	1	10015	1	0	-1
50036	1	9997	1	0	-1
50036	2	11010	2	0	-1
50036	2	11011	2	0	-1
50036	2	11012	2	0	-1
50036	2	11013	2	0	-1
50036	2	11014	2	0	-1
50036	1	11015	1	0	-1
50036	1	11016	1	0	-1
50036	1	10016	1	0	-1
50036	1	10017	1	0	-1
50036	1	10018	1	0	-1
50036	1	10019	1	0	-1
50037	1	9998	1	0	-1
50037	1	9999	1	0	-1
50037	2	10012	2	0	-1
50037	2	10013	2	0	-1
50037	2	10014	2	0	-1
50037	2	10015	2	0	-1
50037	2	9997	2	0	-1
50037	2	11012	2	0	-1
50037	2	11013	2	0	-1
50037	2	11014	2	0	-1
50037	2	11015	2	0	-1
50037	2	11016	2	0	-1
50037	1	10016	1	0	-1
50037	1	10017	1	0	-1
50037	1	10018	1	0	-1
50037	1	10019	1	0	-1
50037	1	10020	1	0	-1
50037	1	10021	1	0	-1
50038	1	9998	1	0	-1
50038	1	9999	1	0	-1
50038	2	10013	2	0	-1
50038	2	10014	2	0	-1
50038	2	10015	2	0	-1
50038	2	9997	2	0	-1
50038	2	11013	2	0	-1
50038	2	11014	2	0	-1
50038	2	11015	2	0	-1
50038	2	11016	2	0	-1
50038	1	10016	1	0	-1
50038	1	10017	1	0	-1
50038	1	10018	1	0	-1
50038	1	10019	1	0	-1
50038	1	10020	1	0	-1
50038	1	10021	1	0	-1
50038	1	10022	1	0	-1
50038	1	10023	1	0	-1
50112	1	9998	1	0	-1
50112	1	9999	1	0	-1
50112	1	10014	0	0	-1
50112	1	10015	0	0	-1
50112	1	9997	0	0	-1
50112	2	11014	8	0	-1
50112	2	11015	8	0	-1
50112	2	11016	8	0	-1
50112	1	10032	1	0	-1
50112	1	10033	1	0	-1
50112	1	10034	1	0	-1
50112	1	10035	1	0	-1
50112	1	10036	1	0	-1
50112	1	10037	1	0	-1
50112	1	10038	1	0	-1
50112	1	10039	1	0	-1
50112	1	10040	0	0	-1
50112	1	10041	1	0	-1
50102	4	10005	12	0	-1
50102	4	10006	12	0	-1
50102	4	10007	12	0	-1
50102	2	10008	6	0	-1
50102	2	10009	6	0	-1
50102	2	10010	8	0	-1
50102	4	11005	12	0	-1
50102	4	11006	12	0	-1
50102	4	11007	12	0	-1
50102	2	11008	6	0	-1
50102	2	11009	6	0	-1
50102	2	11010	8	0	-1
50102	1	9998	1	0	-1
50102	1	9999	1	0	-1
50103	4	10006	12	0	-1
50103	4	10007	12	0	-1
50103	4	10008	12	0	-1
50103	2	10009	4	0	-1
50103	2	10010	4	0	-1
50103	2	10011	6	0	-1
50103	4	11006	12	0	-1
50103	4	11007	12	0	-1
50103	4	11008	12	0	-1
50103	2	11009	4	0	-1
50103	2	11010	4	0	-1
50103	2	11011	6	0	-1
50103	1	9998	1	0	-1
50103	1	9999	1	0	-1
50092	4	10007	12	0	-1
50092	4	10008	12	0	-1
50092	4	10009	8	0	-1
50092	2	10010	4	0	-1
50092	2	10011	4	0	-1
50092	2	10012	4	0	-1
50092	4	11007	12	0	-1
50092	4	11008	12	0	-1
50092	4	11009	8	0	-1
50092	2	11010	4	0	-1
50092	2	11011	4	0	-1
50092	2	11012	4	0	-1
50092	1	9998	1	0	-1
50092	1	9999	1	0	-1
50094	4	10008	12	0	-1
50094	4	10009	8	0	-1
50094	4	10010	4	0	-1
50094	2	10011	4	0	-1
50094	2	10012	4	0	-1
50094	2	10013	2	0	-1
50094	4	11008	12	0	-1
50094	4	11009	8	0	-1
50094	4	11010	4	0	-1
50094	2	11011	4	0	-1
50094	2	11012	4	0	-1
50094	2	11013	2	0	-1
50094	1	9998	1	0	-1
50094	1	9999	1	0	-1
50131	2	10009	8	0	-1
50131	2	10010	4	0	-1
50131	2	10011	4	0	-1
50131	2	10012	2	0	-1
50131	2	10013	2	0	-1
50131	2	10014	2	0	-1
50131	1	10016	1	0	-1
50131	2	11009	8	0	-1
50131	2	11010	4	0	-1
50131	2	11011	4	0	-1
50131	2	11012	2	0	-1
50131	2	11013	2	0	-1
50131	2	11014	2	0	-1
50131	1	9998	1	0	-1
50131	1	9999	1	0	-1
50132	2	10010	8	0	-1
50132	2	10011	4	0	-1
50132	2	10012	4	0	-1
50132	2	10013	2	0	-1
50132	2	10014	2	0	-1
50132	1	10015	1	0	-1
50132	1	10016	1	0	-1
50132	1	10017	1	0	-1
50132	2	11010	2	0	-1
50132	2	11011	2	0	-1
50132	2	11012	2	0	-1
50132	2	11013	2	0	-1
50132	2	11014	2	0	-1
50132	1	11015	1	0	-1
50132	1	9998	1	0	-1
50132	1	9999	1	0	-1
50052	1	10010	1	0	-1
50052	1	10011	1	0	-1
50052	1	10012	1	0	-1
50052	1	10013	1	0	-1
50052	1	10014	1	0	-1
50052	1	10015	1	0	-1
50052	1	9997	1	0	-1
50052	1	10016	1	0	-1
50052	1	10017	1	0	-1
50052	1	10018	1	0	-1
50052	2	11010	8	0	-1
50052	2	11011	4	0	-1
50052	2	11012	4	0	-1
50052	2	11013	2	0	-1
50052	2	11014	2	0	-1
50052	2	11015	2	0	-1
50052	1	11016	1	0	-1
50052	1	9998	1	0	-1
50052	1	9999	1	0	-1
50093	2	10011	8	0	-1
50093	2	10012	4	0	-1
50093	2	10013	4	0	-1
50093	2	10014	2	0	-1
50093	2	10015	2	0	-1
50093	2	9997	2	0	-1
50093	1	11011	1	0	-1
50093	1	11012	1	0	-1
50093	1	11013	1	0	-1
50093	1	11014	1	0	-1
50093	1	11015	1	0	-1
50093	1	11016	1	0	-1
50093	1	10016	1	0	-1
50093	1	10017	1	0	-1
50093	1	10018	1	0	-1
50093	1	10019	1	0	-1
50093	1	9998	1	0	-1
50093	1	9999	1	0	-1
50139	1	10011	1	0	-1
50139	1	10012	1	0	-1
50139	1	10013	1	0	-1
50139	1	10014	1	0	-1
50139	1	10015	1	0	-1
50139	1	9997	1	0	-1
50139	2	11011	8	0	-1
50139	2	11012	2	0	-1
50139	2	11013	2	0	-1
50139	2	11014	2	0	-1
50139	2	11015	2	0	-1
50139	2	11016	2	0	-1
50139	1	10016	1	0	-1
50139	1	10017	1	0	-1
50139	1	10018	1	0	-1
50139	1	10019	1	0	-1
50139	1	10020	2	0	-1
50139	1	9998	1	0	-1
50139	1	9999	1	0	-1
50155	2	10012	8	0	-1
50155	2	10013	4	0	-1
50155	2	10014	2	0	-1
50155	2	10015	2	0	-1
50155	2	9997	2	0	-1
50155	2	11012	2	0	-1
50155	1	11013	1	0	-1
50155	1	11014	1	0	-1
50155	1	11015	1	0	-1
50155	1	11016	1	0	-1
50155	1	10016	1	0	-1
50155	1	10017	1	0	-1
50155	1	10018	1	0	-1
50155	1	10019	1	0	-1
50155	1	10020	1	0	-1
50155	1	10021	1	0	-1
50155	1	9998	1	0	-1
50155	1	9999	1	0	-1
50159	1	10012	1	0	-1
50159	1	10013	1	0	-1
50159	1	10014	1	0	-1
50159	1	10015	1	0	-1
50159	1	9997	1	0	-1
50159	2	11012	8	0	-1
50159	2	11013	4	0	-1
50159	2	11014	2	0	-1
50159	2	11015	2	0	-1
50159	2	11016	2	0	-1
50159	1	10016	1	0	-1
50159	1	10017	1	0	-1
50159	1	10018	1	0	-1
50159	1	10019	1	0	-1
50159	1	10020	1	0	-1
50159	1	10021	1	0	-1
50159	1	10022	1	0	-1
50159	1	9998	1	0	-1
50159	1	9999	1	0	-1
50160	2	10013	8	0	-1
50160	2	10014	4	0	-1
50160	2	10015	2	0	-1
50160	2	9997	2	0	-1
50160	1	11013	1	0	-1
50160	1	11014	1	0	-1
50160	1	11015	1	0	-1
50160	1	11016	1	0	-1
50160	1	10016	1	0	-1
50160	1	10017	1	0	-1
50160	1	10018	1	0	-1
50160	1	10019	1	0	-1
50160	1	10020	1	0	-1
50160	1	10021	1	0	-1
50160	1	10022	1	0	-1
50160	1	10023	1	0	-1
50160	1	9998	1	0	-1
50160	1	9999	1	0	-1
50070	1	10029	0	0	-1
50070	1	10030	0	0	-1
50070	1	10031	0	0	-1
50070	1	10048	0	0	-1
50070	1	10044	7	0	-1
50070	2	10045	6	0	-1
50070	2	10046	6	0	-1
50070	2	10047	6	0	-1
50070	1	10032	1	0	-1
50070	1	10033	1	0	-1
50070	1	10034	1	0	-1
50070	1	10035	1	0	-1
50070	1	10036	2	0	-1
50070	1	10037	0	0	-1
50070	1	10038	2	0	-1
50070	1	10039	0	0	-1
50070	1	10040	1	0	-1
50070	1	9998	1	0	-1
50070	1	9999	1	0	-1
50070	4	10051	0	0	-1
50071	1	10030	0	0	-1
50071	1	10031	0	0	-1
50071	1	10048	0	0	-1
50071	1	10045	8	0	-1
50071	1	10046	8	0	-1
50071	1	10047	8	0	-1
50071	1	10032	1	0	-1
50071	1	10033	1	0	-1
50071	1	10034	1	0	-1
50071	1	10035	1	0	-1
50071	1	10036	0	0	-1
50071	1	10037	2	0	-1
50071	1	10038	0	0	-1
50071	1	10039	2	0	-1
50071	1	10040	0	0	-1
50071	1	10041	1	0	-1
50071	1	9998	1	0	-1
50071	1	9999	1	0	-1
50071	4	10051	0	0	-1
50072	1	10030	0	0	-1
50072	1	10031	0	0	-1
50072	1	10048	0	0	-1
50072	2	10045	8	0	-1
50072	2	10046	8	0	-1
50072	2	10047	8	0	-1
50072	1	10032	1	0	-1
50072	1	10033	1	0	-1
50072	1	10034	1	0	-1
50072	1	10035	1	0	-1
50072	1	10036	2	0	-1
50072	1	10037	0	0	-1
50072	1	10038	2	0	-1
50072	1	10039	0	0	-1
50072	1	10040	0	0	-1
50072	1	10041	0	0	-1
50072	1	10042	1	0	-1
50072	1	9998	1	0	-1
50072	1	9999	1	0	-1
50073	1	10031	0	0	-1
50073	1	10048	0	0	-1
50073	2	10046	12	0	-1
50073	2	10047	12	0	-1
50073	1	10032	1	0	-1
50073	1	10033	1	0	-1
50073	1	10034	1	0	-1
50073	1	10035	1	0	-1
50073	1	10036	0	0	-1
50073	1	10037	2	0	-1
50073	1	10038	0	0	-1
50073	1	10039	2	0	-1
50073	1	10040	0	0	-1
50073	1	10041	0	0	-1
50073	1	10042	0	0	-1
50073	1	10043	1	0	-1
50073	1	9998	1	0	-1
50073	1	9999	1	0	-1
50074	1	9998	1	0	-1
50074	1	9999	1	0	-1
50074	2	10004	4	0	-1
50074	2	10005	4	0	-1
50074	2	10006	4	0	-1
50074	2	10007	4	0	-1
50074	2	10008	4	0	-1
50074	2	10009	2	0	-1
50074	2	10010	2	0	-1
50074	2	11004	4	0	-1
50074	2	11005	4	0	-1
50074	2	11006	4	0	-1
50074	2	11007	4	0	-1
50074	2	11008	4	0	-1
50074	2	11009	2	0	-1
50074	2	11010	2	0	-1
50075	1	9998	1	0	-1
50075	1	9999	1	0	-1
50075	2	10005	4	0	-1
50075	2	10006	4	0	-1
50075	2	10007	4	0	-1
50075	2	10008	4	0	-1
50075	2	10009	4	0	-1
50075	2	10010	2	0	-1
50075	2	10011	2	0	-1
50075	2	11005	4	0	-1
50075	2	11006	4	0	-1
50075	2	11007	4	0	-1
50075	2	11008	4	0	-1
50075	2	11009	4	0	-1
50075	2	11010	2	0	-1
50075	2	11011	2	0	-1
50076	1	9998	1	0	-1
50076	1	9999	1	0	-1
50076	2	10006	4	0	-1
50076	2	10007	4	0	-1
50076	2	10008	4	0	-1
50076	2	10009	4	0	-1
50076	2	10010	4	0	-1
50076	2	10011	2	0	-1
50076	2	10012	2	0	-1
50076	2	11006	4	0	-1
50076	2	11007	4	0	-1
50076	2	11008	4	0	-1
50076	2	11009	4	0	-1
50076	2	11010	4	0	-1
50076	2	11011	2	0	-1
50076	2	11012	2	0	-1
50077	1	9998	1	0	-1
50077	1	9999	1	0	-1
50077	2	10007	4	0	-1
50077	2	10008	4	0	-1
50077	2	10009	4	0	-1
50077	2	10010	4	0	-1
50077	2	10011	4	0	-1
50077	2	10012	2	0	-1
50077	2	10013	2	0	-1
50077	2	11007	4	0	-1
50077	2	11008	4	0	-1
50077	2	11009	4	0	-1
50077	2	11010	4	0	-1
50077	2	11011	4	0	-1
50077	2	11012	2	0	-1
50077	2	11013	2	0	-1
50078	1	9998	1	0	-1
50078	1	9999	1	0	-1
50078	2	10008	4	0	-1
50078	2	10009	4	0	-1
50078	2	10010	4	0	-1
50078	2	10011	4	0	-1
50078	2	10012	2	0	-1
50078	2	10013	2	0	-1
50078	2	10014	2	0	-1
50078	2	11008	4	0	-1
50078	2	11009	4	0	-1
50078	2	11010	4	0	-1
50078	2	11011	4	0	-1
50078	2	11012	2	0	-1
50078	2	11013	2	0	-1
50078	2	11014	2	0	-1
50079	1	9998	1	0	-1
50079	1	9999	1	0	-1
50079	2	10009	4	0	-1
50079	2	10010	4	0	-1
50079	2	10011	4	0	-1
50079	2	10012	2	0	-1
50079	2	10013	2	0	-1
50079	2	10014	2	0	-1
50079	2	10015	2	0	-1
50079	2	11009	4	0	-1
50079	2	11010	4	0	-1
50079	2	11011	4	0	-1
50079	2	11012	2	0	-1
50079	2	11013	2	0	-1
50079	2	11014	2	0	-1
50079	2	11015	2	0	-1
50080	1	9998	1	0	-1
50080	1	9999	1	0	-1
50080	2	10009	4	0	-1
50080	2	10010	4	0	-1
50080	2	10011	4	0	-1
50080	2	10012	2	0	-1
50080	2	10013	2	0	-1
50080	2	10014	2	0	-1
50080	2	10015	2	0	-1
50080	2	9997	2	0	-1
50080	2	11009	4	0	-1
50080	2	11010	4	0	-1
50080	2	11011	4	0	-1
50080	2	11012	2	0	-1
50080	2	11013	2	0	-1
50080	2	11014	2	0	-1
50080	2	11015	2	0	-1
50080	2	11016	2	0	-1
50081	1	9998	1	0	-1
50081	1	9999	1	0	-1
50081	2	10009	4	0	-1
50081	2	10010	4	0	-1
50081	2	10011	4	0	-1
50081	2	10012	2	0	-1
50081	2	10013	2	0	-1
50081	2	10014	2	0	-1
50081	2	10015	2	0	-1
50081	2	9997	2	0	-1
50081	2	11009	4	0	-1
50081	2	11010	4	0	-1
50081	2	11011	4	0	-1
50081	2	11012	2	0	-1
50081	2	11013	2	0	-1
50081	2	11014	2	0	-1
50081	2	11015	2	0	-1
50081	2	11016	2	0	-1
50081	1	10016	1	0	-1
50082	1	9998	1	0	-1
50082	1	9999	1	0	-1
50082	2	10009	4	0	-1
50082	2	10010	4	0	-1
50082	2	10011	4	0	-1
50082	2	10012	2	0	-1
50082	2	10013	2	0	-1
50082	2	10014	2	0	-1
50082	2	10015	2	0	-1
50082	2	9997	2	0	-1
50082	2	11009	4	0	-1
50082	2	11010	4	0	-1
50082	2	11011	4	0	-1
50082	2	11012	2	0	-1
50082	2	11013	2	0	-1
50082	2	11014	2	0	-1
50082	2	11015	2	0	-1
50082	2	11016	2	0	-1
50082	1	10016	1	0	-1
50082	1	10017	1	0	-1
50083	1	9998	1	0	-1
50083	1	9999	1	0	-1
50083	2	10010	2	0	-1
50083	2	10011	2	0	-1
50083	2	10012	2	0	-1
50083	2	10013	4	0	-1
50083	2	10014	2	0	-1
50083	2	10015	2	0	-1
50083	2	9997	2	0	-1
50083	2	11010	2	0	-1
50083	2	11011	2	0	-1
50083	2	11012	2	0	-1
50083	2	11013	4	0	-1
50083	2	11014	2	0	-1
50083	2	11015	2	0	-1
50083	2	11016	2	0	-1
50083	1	10016	1	0	-1
50083	1	10017	1	0	-1
50083	1	10018	1	0	-1
50083	1	10019	1	0	-1
50084	1	9998	1	0	-1
50084	1	9999	1	0	-1
50084	2	10010	2	0	-1
50084	2	10011	2	0	-1
50084	2	10012	2	0	-1
50084	2	10013	2	0	-1
50084	2	10014	4	0	-1
50084	2	10015	2	0	-1
50084	2	9997	2	0	-1
50084	2	11010	2	0	-1
50084	2	11011	2	0	-1
50084	2	11012	2	0	-1
50084	2	11013	2	0	-1
50084	2	11014	4	0	-1
50084	2	11015	2	0	-1
50084	2	11016	2	0	-1
50084	1	10016	1	0	-1
50084	1	10017	1	0	-1
50084	1	10018	1	0	-1
50084	1	10019	1	0	-1
50084	1	10020	1	0	-1
50085	1	9998	1	0	-1
50085	1	9999	1	0	-1
50085	2	10011	2	0	-1
50085	2	10012	2	0	-1
50085	2	10013	2	0	-1
50085	2	10014	2	0	-1
50085	2	10015	4	0	-1
50085	2	9997	2	0	-1
50085	2	11011	2	0	-1
50085	2	11012	2	0	-1
50085	2	11013	2	0	-1
50085	2	11014	2	0	-1
50085	2	11015	4	0	-1
50085	2	11016	2	0	-1
50085	1	10016	1	0	-1
50085	1	10017	1	0	-1
50085	1	10018	1	0	-1
50085	1	10019	1	0	-1
50085	1	10020	1	0	-1
50085	1	10021	1	0	-1
50086	1	9998	1	0	-1
50086	1	9999	1	0	-1
50086	2	10011	2	0	-1
50086	2	10012	2	0	-1
50086	2	10013	2	0	-1
50086	2	10014	2	0	-1
50086	2	10015	2	0	-1
50086	2	9997	2	0	-1
50086	2	11011	2	0	-1
50086	2	11012	2	0	-1
50086	2	11013	2	0	-1
50086	2	11014	2	0	-1
50086	2	11015	2	0	-1
50086	2	11016	2	0	-1
50086	1	10016	1	0	-1
50086	1	10017	1	0	-1
50086	1	10018	1	0	-1
50086	1	10019	1	0	-1
