INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	STRING	STRING
4	6	738:1:10	1100	700	13:80	2	498	#00afec|【融合lv4】装备基础属性提升110%&#00afec|【守护lv4】装备被爆概率降为原来的30%	#00afec|【锁链lv4】暴击率8%[屠魔战甲lv4激活]	项链
5	6	-1	1500	800	13:100	2	498	#00afec|【融合lv5】装备基础属性提升150%&#00afec|【守护lv5】装备被爆概率降为原来的20%	#00afec|【锁链lv5】暴击率10%[屠魔战甲lv5激活]	项链
0	7	740:1:1	0	0	-1	4	498	#00afec|【融合lv0】装备基础属性提升0%&#00afec|【守护lv0】装备被爆概率降为原来的100%	#00afec|【锁链lv0】生命加成2%[屠魔腰带lv1激活]	左戒
1	7	740:1:2	200	200	18:20	4	498	#00afec|【融合lv1】装备基础属性提升20%&#00afec|【守护lv1】装备被爆概率降为原来的80%	#00afec|【锁链lv1】生命加成2%[屠魔腰带lv1激活]	左戒
2	7	740:1:4	450	400	18:40	4	498	#00afec|【融合lv2】装备基础属性提升45%&#00afec|【守护lv2】装备被爆概率降为原来的60%	#00afec|【锁链lv2】生命加成4%[屠魔腰带lv2激活]	左戒
3	7	740:1:6	750	600	18:60	4	498	#00afec|【融合lv3】装备基础属性提升75%&#00afec|【守护lv3】装备被爆概率降为原来的40%	#00afec|【锁链lv3】生命加成6%[屠魔腰带lv3激活]	左戒
4	7	740:1:10	1100	700	18:80	4	498	#00afec|【融合lv4】装备基础属性提升110%&#00afec|【守护lv4】装备被爆概率降为原来的30%	#00afec|【锁链lv4】生命加成8%[屠魔腰带lv4激活]	左戒
5	7	-1	1500	800	18:100	4	498	#00afec|【融合lv5】装备基础属性提升150%&#00afec|【守护lv5】装备被爆概率降为原来的20%	#00afec|【锁链lv5】生命加成10%[屠魔腰带lv5激活]	左戒
0	8	739:1:1	0	0	-1	6	498	#00afec|【融合lv0】装备基础属性提升0%&#00afec|【守护lv0】装备被爆概率降为原来的100%	#00afec|【锁链lv0】准确160[屠魔项链lv1激活]	右手
1	8	739:1:2	200	200	8:160	6	498	#00afec|【融合lv1】装备基础属性提升20%&#00afec|【守护lv1】装备被爆概率降为原来的80%	#00afec|【锁链lv1】准确160[屠魔项链lv1激活]	右手
2	8	739:1:4	450	400	8:320	6	498	#00afec|【融合lv2】装备基础属性提升45%&#00afec|【守护lv2】装备被爆概率降为原来的60%	#00afec|【锁链lv2】准确320[屠魔项链lv2激活]	右手
3	8	739:1:6	750	600	8:480	6	498	#00afec|【融合lv3】装备基础属性提升75%&#00afec|【守护lv3】装备被爆概率降为原来的40%	#00afec|【锁链lv3】准确480[屠魔项链lv3激活]	右手
4	8	739:1:10	1100	700	8:640	6	498	#00afec|【融合lv4】装备基础属性提升110%&#00afec|【守护lv4】装备被爆概率降为原来的30%	#00afec|【锁链lv4】准确640[屠魔项链lv4激活]	右手
5	8	-1	1500	800	8:800	6	498	#00afec|【融合lv5】装备基础属性提升150%&#00afec|【守护lv5】装备被爆概率降为原来的20%	#00afec|【锁链lv5】准确800[屠魔项链lv5激活]	右手
0	9	740:1:1	0	0	-1	8	498	#00afec|【融合lv0】装备基础属性提升0%&#00afec|【守护lv0】装备被爆概率降为原来的100%	#00afec|【锁链lv0】敏捷160[屠魔右手lv1激活]	右戒
1	9	740:1:2	200	200	9:160	8	498	#00afec|【融合lv1】装备基础属性提升20%&#00afec|【守护lv1】装备被爆概率降为原来的80%	#00afec|【锁链lv1】敏捷160[屠魔右手lv1激活]	右戒
2	9	740:1:4	450	400	9:320	8	498	#00afec|【融合lv2】装备基础属性提升45%&#00afec|【守护lv2】装备被爆概率降为原来的60%	#00afec|【锁链lv2】敏捷320[屠魔右手lv2激活]	右戒
3	9	740:1:6	750	600	9:480	8	498	#00afec|【融合lv3】装备基础属性提升75%&#00afec|【守护lv3】装备被爆概率降为原来的40%	#00afec|【锁链lv3】敏捷480[屠魔右手lv3激活]	右戒
4	9	740:1:10	1100	700	9:640	8	498	#00afec|【融合lv4】装备基础属性提升110%&#00afec|【守护lv4】装备被爆概率降为原来的30%	#00afec|【锁链lv4】敏捷640[屠魔右手lv4激活]	右戒
5	9	-1	1500	800	9:800	8	498	#00afec|【融合lv5】装备基础属性提升150%&#00afec|【守护lv5】装备被爆概率降为原来的20%	#00afec|【锁链lv5】敏捷800[屠魔右手lv5激活]	右戒
