INT	INT	STRING	INT	STRING	INT	STRING
2	8	947:1:2000|939:1:35	8	1:98200|4:735|5:1245|41:2445|42:1485	549	1:34600|4:260|5:440|41:860|42:520
2	9	947:1:2690|939:1:54	8	1:146000|4:1095|5:1850|41:3635|42:2205	549	1:47800|4:360|5:605|41:1190|42:720
2	10	-1	8	1:213000|4:1600|5:2700|41:5305|42:3215	549	1:67000|4:505|5:850|41:1670|42:1010
3	0	947:1:480	3	-1	0	-1
3	1	947:1:650	3	1:11900|4:90|5:150|41:300|42:180	0	1:11900|4:90|5:150|41:300|42:180
3	2	947:1:880	3	1:24600|4:185|5:310|41:620|42:370	0	1:12700|4:95|5:160|41:320|42:190
3	3	947:1:1180	3	1:38100|4:285|5:480|41:960|42:575	549	1:13500|4:100|5:170|41:340|42:205
3	4	947:1:1600	5	1:52700|4:395|5:665|41:1325|42:795	0	1:14600|4:110|5:185|41:365|42:220
3	5	947:1:2160	5	1:68500|4:510|5:865|41:1720|42:1035	0	1:15800|4:115|5:200|41:395|42:240
3	6	947:1:2910	5	1:85800|4:640|5:1080|41:2155|42:1295	0	1:17300|4:130|5:215|41:435|42:260
3	7	947:1:2960|940:1:22	8	1:104900|4:780|5:1320|41:2635|42:1585	549	1:19100|4:140|5:240|41:480|42:290
3	8	947:1:3300|940:1:39	8	1:161900|4:1205|5:2035|41:4065|42:2445	549	1:57000|4:425|5:715|41:1430|42:860
3	9	947:1:4440|940:1:59	8	1:240600|4:1790|5:3020|41:6040|42:3635	549	1:78700|4:585|5:985|41:1975|42:1190
3	10	-1	8	1:351100|4:2610|5:4405|41:8810|42:5305	549	1:110500|4:820|5:1385|41:2770|42:1670
4	0	947:1:670	3	-1	0	-1
4	1	947:1:900	3	1:15600|4:115|5:195|6:40|7:90|41:390|42:235	0	1:15600|4:115|5:195|6:40|7:90|41:390|42:235
4	2	947:1:1210	3	1:32100|4:240|5:400|6:85|7:190|41:800|42:485	0	1:16500|4:125|5:205|6:45|7:100|41:410|42:250
4	3	947:1:1640	3	1:49700|4:370|5:620|6:130|7:295|41:1240|42:750	549	1:17600|4:130|5:220|6:45|7:105|41:440|42:265
4	4	947:1:2210	5	1:68600|4:510|5:855|6:180|7:405|41:1715|42:1035	0	1:18900|4:140|5:235|6:50|7:110|41:475|42:285
4	5	947:1:2990	5	1:89200|4:665|5:1110|6:235|7:525|41:2230|42:1345	0	1:20600|4:155|5:255|6:55|7:120|41:515|42:310
4	6	947:1:4030	5	1:111700|4:835|5:1390|6:295|7:660|41:2790|42:1685	0	1:22500|4:170|5:280|6:60|7:135|41:560|42:340
4	7	947:1:4100|941:1:23	8	1:136500|4:1020|5:1700|6:360|7:805|41:3410|42:2060	549	1:24800|4:185|5:310|6:65|7:145|41:620|42:375
4	8	947:1:4570|941:1:40	8	1:210800|4:1575|5:2625|6:555|7:1245|41:5265|42:3180	549	1:74300|4:555|5:925|6:195|7:440|41:1855|42:1120
4	9	947:1:6140|941:1:61	8	1:313300|4:2340|5:3905|6:825|7:1850|41:7820|42:4730	549	1:102500|4:765|5:1280|6:270|7:605|41:2555|42:1550
4	10	-1	8	1:457100|4:3410|5:5700|6:1205|7:2700|41:11410|42:6900	549	1:143800|4:1070|5:1795|6:380|7:850|41:3590|42:2170
5	0	947:1:1010	3	-1	0	-1
5	1	947:1:1360	3	1:23500|4:175|5:295|6:65|7:145|41:590|42:355	0	1:23500|4:175|5:295|6:65|7:145|41:590|42:355
5	2	947:1:1840	3	1:48400|4:365|5:605|6:135|7:295|41:1215|42:730	0	1:24900|4:190|5:310|6:70|7:150|41:625|42:375
5	3	947:1:2480	3	1:75000|4:565|5:935|6:210|7:455|41:1880|42:1130	549	1:26600|4:200|5:330|6:75|7:160|41:665|42:400
5	4	947:1:3350	5	1:103600|4:780|5:1290|6:290|7:630|41:2600|42:1560	0	1:28600|4:215|5:355|6:80|7:175|41:720|42:430
5	5	947:1:4530	5	1:134700|4:1015|5:1675|6:375|7:820|41:3380|42:2030	0	1:31100|4:235|5:385|6:85|7:190|41:780|42:470
5	6	947:1:6110	5	1:168700|4:1270|5:2100|6:470|7:1025|41:4230|42:2540	0	1:34000|4:255|5:425|6:95|7:205|41:850|42:510
5	7	947:1:6220|942:1:23	8	1:206200|4:1555|5:2565|6:575|7:1255|41:5170|42:3105	549	1:37500|4:285|5:465|6:105|7:230|41:940|42:565
5	8	947:1:6930|942:1:40	8	1:318500|4:2400|5:3965|6:885|7:1940|41:7980|42:4795	549	1:112300|4:845|5:1400|6:310|7:685|41:2810|42:1690
5	9	947:1:9320|942:1:62	8	1:473500|4:3565|5:5895|6:1310|7:2880|41:11860|42:7130	549	1:155000|4:1165|5:1930|6:425|7:940|41:3880|42:2335
5	10	-1	8	1:690900|4:5200|5:8600|6:1910|7:4200|41:17305|42:10405	549	1:217400|4:1635|5:2705|6:600|7:1320|41:5445|42:3275
6	0	947:1:1400	3	-1	0	-1
6	1	947:1:1890	3	1:32600|4:245|5:410|6:90|7:200|41:815|42:490	0	1:32600|4:245|5:410|6:90|7:200|41:815|42:490
6	2	947:1:2550	3	1:67100|4:505|5:845|6:185|7:410|41:1680|42:1010	0	1:34500|4:260|5:435|6:95|7:210|41:865|42:520
6	3	947:1:3440	3	1:104000|4:785|5:1310|6:285|7:635|41:2600|42:1565	549	1:36900|4:280|5:465|6:100|7:225|41:920|42:555
6	4	947:1:4640	5	1:143700|4:1085|5:1810|6:395|7:875|41:3590|42:2165	0	1:39700|4:300|5:500|6:110|7:240|41:990|42:600
6	5	947:1:6270	5	1:186800|4:1410|5:2350|6:510|7:1135|41:4665|42:2815	0	1:43100|4:325|5:540|6:115|7:260|41:1075|42:650
6	6	947:1:8460	5	1:233900|4:1765|5:2940|6:640|7:1420|41:5840|42:3525	0	1:47100|4:355|5:590|6:130|7:285|41:1175|42:710
6	7	947:1:8610|943:1:24	8	1:285900|4:2155|5:3590|6:780|7:1735|41:7140|42:4305	549	1:52000|4:390|5:650|6:140|7:315|41:1300|42:780
6	8	947:1:9600|943:1:42	8	1:441400|4:3325|5:5540|6:1205|7:2680|41:11025|42:6645	549	1:155500|4:1170|5:1950|6:425|7:945|41:3885|42:2340
6	9	947:1:12890|943:1:64	8	1:656000|4:4940|5:8230|6:1790|7:3980|41:16385|42:9875	549	1:214600|4:1615|5:2690|6:585|7:1300|41:5360|42:3230
6	10	-1	8	1:957200|4:7205|5:12005|6:2610|7:5805|41:23905|42:14405	549	1:301200|4:2265|5:3775|6:820|7:1825|41:7520|42:4530
7	0	947:1:1790	3	-1	0	-1
7	1	947:1:2410	3	1:41600|4:315|5:520|6:115|7:250|41:1040|42:625	0	1:41600|4:315|5:520|6:115|7:250|41:1040|42:625
7	2	947:1:3250	3	1:85700|4:645|5:1070|6:235|7:515|41:2145|42:1290	0	1:44100|4:330|5:550|6:120|7:265|41:1105|42:665
7	3	947:1:4390	3	1:132800|4:1000|5:1660|6:365|7:795|41:3325|42:2000	549	1:47100|4:355|5:590|6:130|7:280|41:1180|42:710
7	4	947:1:5930	5	1:183500|4:1380|5:2295|6:500|7:1100|41:4595|42:2765	0	1:50700|4:380|5:635|6:135|7:305|41:1270|42:765
7	5	947:1:8010	5	1:238500|4:1795|5:2985|6:650|7:1430|41:5970|42:3595	0	1:55000|4:415|5:690|6:150|7:330|41:1375|42:830
7	6	947:1:10810	5	1:298700|4:2250|5:3740|6:815|7:1790|41:7475|42:4500	0	1:60200|4:455|5:755|6:165|7:360|41:1505|42:905
7	7	947:1:11000|944:1:24	8	1:365100|4:2750|5:4570|6:995|7:2185|41:9135|42:5500	549	1:66400|4:500|5:830|6:180|7:395|41:1660|42:1000
7	8	947:1:12260|944:1:43	8	1:563800|4:4245|5:7055|6:1530|7:3370|41:14105|42:8490	549	1:198700|4:1495|5:2485|6:535|7:1185|41:4970|42:2990
7	9	947:1:16470|944:1:66	8	1:838000|4:6310|5:10485|6:2270|7:5005|41:20965|42:12615	549	1:274200|4:2065|5:3430|6:740|7:1635|41:6860|42:4125
7	10	-1	8	1:1222900|4:9205|5:15300|6:3310|7:7305|41:30595|42:18405	549	1:384900|4:2895|5:4815|6:1040|7:2300|41:9630|42:5790
