INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT
37	435400	1:30710|4:1230|5:3071|6:769|7:1843|36:122900|37:12290|38:336	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
38	466600	1:32630|4:1307|5:3263|6:817|7:1958|36:130590|37:13059|38:337	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
39	500200	1:34660|4:1388|5:3466|6:868|7:2080|36:138700|37:13870|38:338	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
40	536100	1:36800|4:1473|5:3680|6:921|7:2208|36:147250|37:14725|38:339	519	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
41	574600	1:39050|4:1563|5:3905|6:977|7:2343|36:156260|37:15626|38:340	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
42	615900	1:41430|4:1658|5:4143|6:1036|7:2486|36:165760|37:16576|38:341	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
43	660200	1:43930|4:1758|5:4393|6:1099|7:2636|36:175780|37:17578|38:342	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
44	707700	1:46570|4:1864|5:4657|6:1165|7:2794|36:186340|37:18634|38:343	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
45	758500	1:49350|4:1975|5:4935|6:1235|7:2961|36:197480|37:19748|38:344	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
46	813100	1:52290|4:2092|5:5229|6:1308|7:3137|36:209220|37:20922|38:345	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
47	871500	1:55390|4:2216|5:5539|6:1385|7:3323|36:221600|37:22160|38:346	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
48	934200	1:58650|4:2347|5:5865|6:1467|7:3519|36:234660|37:23466|38:347	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
49	1001400	1:62090|4:2485|5:6209|6:1553|7:3726|36:248430|37:24843|38:348	0	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
50	1073400	1:65720|4:2630|5:6572|6:1644|7:3944|36:262950|37:26295|38:349	519	4001	5	吞噬lv5：低于6000W血以下的BOSS可以直接被吞噬	411	0	0
51	1150700	1:69550|4:2783|5:6955|6:1740|7:4174|36:278260|37:27826|38:350	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
52	1233400	1:73590|4:2944|5:7359|6:1841|7:4416|36:294400|37:29440|38:351	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
53	1322200	1:77850|4:3114|5:7785|6:1947|7:4671|36:311420|37:31142|38:352	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
54	1417300	1:82340|4:3294|5:8234|6:2059|7:4940|36:329370|37:32937|38:353	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
55	1519300	1:87070|4:3483|5:8707|6:2177|7:5224|36:348300|37:34830|38:354	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
56	1628600	1:92060|4:3683|5:9206|6:2302|7:5524|36:368270|37:36827|38:355	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
57	1745800	1:97320|4:3894|5:9732|6:2434|7:5840|36:389330|37:38933|38:356	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
58	1871400	1:102870|4:4116|5:10287|6:2573|7:6173|36:411540|37:41154|38:357	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
59	2006000	1:108730|4:4350|5:10873|6:2719|7:6524|36:434960|37:43496|38:358	0	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
60	2150400	1:114910|4:4597|5:11491|6:2873|7:6895|36:459660|37:45966|38:359	519	4001	6	吞噬lv6：低于7000W血以下的BOSS可以直接被吞噬	411	0	0
61	2305200	1:121420|4:4858|5:12142|6:3036|7:7286|36:485710|37:48571|38:360	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
62	2471100	1:128290|4:5133|5:12829|6:3208|7:7698|36:513190|37:51319|38:361	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
63	2648900	1:135540|4:5423|5:13554|6:3389|7:8133|36:542170|37:54217|38:362	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
64	2839600	1:143180|4:5729|5:14318|6:3580|7:8591|36:572740|37:57274|38:363	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
65	3043900	1:151240|4:6051|5:15124|6:3781|7:9075|36:604980|37:60498|38:364	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
66	3263000	1:159740|4:6391|5:15974|6:3994|7:9585|36:638980|37:63898|38:365	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
67	3497900	1:168710|4:6750|5:16871|6:4218|7:10123|36:674840|37:67484|38:366	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
68	3749700	1:178170|4:7128|5:17817|6:4454|7:10690|36:712670|37:71267|38:367	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
69	4019600	1:188140|4:7527|5:18814|6:4703|7:11288|36:752570|37:75257|38:368	0	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
70	4308900	1:198660|4:7948|5:19866|6:4966|7:11919|36:794650|37:79465|38:369	519	4001	7	吞噬lv7：低于8000W血以下的BOSS可以直接被吞噬	411	0	0
71	4619100	1:209760|4:8392|5:20976|6:5243|7:12585|36:839040|37:83904|38:370	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
72	4951600	1:221460|4:8860|5:22146|6:5536|7:13287|36:885860|37:88586|38:371	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
73	5308000	1:233810|4:9354|5:23381|6:5845|7:14028|36:935240|37:93524|38:372	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
74	5690100	1:246830|4:9875|5:24683|6:6171|7:14809|36:987330|37:98733|38:373	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
75	6099700	1:260570|4:10424|5:26057|6:6514|7:15633|36:1042270|37:104227|38:374	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
76	6538800	1:275060|4:11004|5:27506|6:6876|7:16502|36:1100220|37:110022|38:375	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
77	7009600	1:290340|4:11615|5:29034|6:7258|7:17419|36:1161350|37:116135|38:376	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
78	7514200	1:306460|4:12260|5:30646|6:7661|7:18386|36:1225830|37:122583|38:377	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
79	8055100	1:323460|4:12940|5:32346|6:8086|7:19406|36:1293840|37:129384|38:378	0	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
80	8635000	1:341400|4:13657|5:34140|6:8534|7:20482|36:1365580|37:136558|38:379	519	4001	8	吞噬lv8：低于9000W血以下的BOSS可以直接被吞噬	411	0	0
81	9256700	1:360320|4:14414|5:36032|6:9007|7:21617|36:1441260|37:144126|38:380	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
82	9923100	1:380280|4:15212|5:38028|6:9506|7:22814|36:1521080|37:152108|38:381	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
83	10637500	1:401330|4:16054|5:40133|6:10032|7:24077|36:1605280|37:160528|38:382	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
84	11403300	1:423530|4:16942|5:42353|6:10587|7:25409|36:1694100|37:169410|38:383	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
85	12224200	1:446950|4:17879|5:44695|6:11173|7:26814|36:1787790|37:178779|38:384	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
86	13104300	1:471660|4:18867|5:47166|6:11791|7:28296|36:1886620|37:188662|38:385	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
87	14047800	1:497720|4:19909|5:49772|6:12443|7:29860|36:1990870|37:199087|38:386	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
88	15059100	1:525210|4:21009|5:52521|6:13130|7:31509|36:2100830|37:210083|38:387	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
89	16143300	1:554210|4:22169|5:55421|6:13855|7:33249|36:2216830|37:221683|38:388	0	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
90	17305600	1:584800|4:23393|5:58480|6:14620|7:35084|36:2339190|37:233919|38:389	519	4001	9	吞噬lv9：低于10000W血以下的BOSS可以直接被吞噬	411	0	0
91	18551500	1:617070|4:24684|5:61707|6:15427|7:37020|36:2468260|37:246826|38:390	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
92	19887100	1:651110|4:26046|5:65111|6:16278|7:39062|36:2604410|37:260441|38:391	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
93	21318900	1:687010|4:27482|5:68701|6:17176|7:41216|36:2748030|37:274803|38:392	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
94	22853800	1:724880|4:28997|5:72488|6:18123|7:43488|36:2899530|37:289953|38:393	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
95	24499200	1:764830|4:30595|5:76483|6:19122|7:45885|36:3059340|37:305934|38:394	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
96	26263100	1:806970|4:32281|5:80697|6:20176|7:48414|36:3227920|37:322792|38:395	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
97	28153900	1:851430|4:34059|5:85143|6:21287|7:51081|36:3405750|37:340575|38:396	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
98	30180900	1:898330|4:35935|5:89833|6:22459|7:53895|36:3593330|37:359333|38:397	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
99	32353900	1:947800|4:37914|5:94780|6:23696|7:56863|36:3791210|37:379121|38:398	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
100	34683300	1:999950|4:40005|5:100001|6:24999|7:60000|36:3999980|37:399992|38:400	519	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
101	36235000	1:1052410|4:42103|5:105247|6:26310|7:63147|36:4209800|37:420974|38:401	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
102	37788000	1:1105140|4:44212|5:110520|6:27628|7:66311|36:4420710|37:442065|38:402	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
103	39341000	1:1158140|4:46332|5:115820|6:28953|7:69491|36:4632700|37:463264|38:403	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
104	40894000	1:1211410|4:48463|5:121147|6:30285|7:72687|36:4845780|37:484572|38:404	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
105	42447000	1:1264950|4:50605|5:126501|6:31624|7:75899|36:5059940|37:505988|38:405	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
106	44000000	1:1318760|4:52757|5:131882|6:32969|7:79128|36:5275190|37:527513|38:406	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
107	45553000	1:1372840|4:54920|5:137290|6:34321|7:82373|36:5491520|37:549146|38:407	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
108	47106000	1:1427200|4:57094|5:142726|6:35680|7:85634|36:5708940|37:570888|38:408	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
109	48658000	1:1481830|4:59279|5:148189|6:37046|7:88912|36:5927450|37:592739|38:409	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
110	50211000	1:1536730|4:61475|5:153679|6:38418|7:92206|36:6147040|37:614698|38:410	519	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
111	51764000	1:1591900|4:63682|5:159196|6:39797|7:95516|36:6367720|37:636766|38:411	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
112	53317000	1:1647340|4:65900|5:164740|6:41183|7:98842|36:6589480|37:658942|38:412	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
113	54870000	1:1703050|4:68128|5:170311|6:42576|7:102185|36:6812330|37:681227|38:413	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
114	56423000	1:1759030|4:70367|5:175909|6:43976|7:105544|36:7036270|37:703621|38:414	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
115	57976000	1:1815290|4:72617|5:181535|6:45382|7:108919|36:7261290|37:726123|38:415	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
116	59529000	1:1871820|4:74878|5:187188|6:46795|7:112311|36:7487400|37:748734|38:416	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
117	61082000	1:1928620|4:77150|5:192868|6:48215|7:115719|36:7714590|37:771453|38:417	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
118	62635000	1:1985690|4:79433|5:198575|6:49642|7:119143|36:7942870|37:794281|38:418	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
119	64187000	1:2043030|4:81727|5:204309|6:51076|7:122583|36:8172230|37:817217|38:419	0	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
120	65740000	1:2100640|4:84032|5:210070|6:52516|7:126040|36:8402680|37:840262|38:420	519	4001	10	吞噬lv10：低于12000W血以下的BOSS可以直接被吞噬	411	0	0
