INT	INT	STRING	INT	INT	INT	INT
97	1122	13:1:2:1	26	2000	600	1
98	1122	502:1:10:1	32	1000	300	1
99	1122	505:1:1:1	32	1000	300	1
100	1122	507:1:1:1	19	1000	300	1
101	1122	510:1:1:1	19	1000	300	1
102	1122	158:1:1:1	13	4000	1200	1
105	1123	605:1:25:1	697	2500	2500	0
106	1123	606:1:25:1	668	2500	2500	0
107	1123	607:1:25:1	667	2500	2500	0
108	1123	608:1:25:1	667	2500	2500	0
109	1123	609:1:25:1	667	2500	2500	0
110	1123	610:1:25:1	667	2500	2500	0
111	1123	647:1:3:1	159	900	900	0
112	1123	13:1:2:1	213	2000	2000	0
113	1123	502:1:10:1	266	1000	1000	0
114	1123	505:1:1:1	266	1000	1000	0
115	1123	507:1:1:1	159	1000	1000	0
116	1123	510:1:1:1	159	1000	1000	0
117	1123	158:1:1:1	106	4000	4000	0
118	1123	605:1:25:1	333	2500	2000	3
119	1123	606:1:25:1	333	2500	2000	3
120	1123	607:1:25:1	333	2500	2000	3
121	1123	608:1:25:1	333	2500	2000	3
122	1123	609:1:25:1	333	2500	2000	3
123	1123	610:1:25:1	333	2500	2000	3
124	1123	647:1:3:1	80	900	720	3
125	1123	13:1:2:1	106	2000	1600	3
126	1123	502:1:10:1	133	1000	800	3
127	1123	505:1:1:1	133	1000	800	3
128	1123	507:1:1:1	80	1000	800	3
129	1123	510:1:1:1	80	1000	800	3
130	1123	158:1:1:1	52	4000	3200	3
133	1123	605:1:25:1	165	2500	1250	2
134	1123	606:1:25:1	165	2500	1250	2
135	1123	607:1:25:1	165	2500	1250	2
136	1123	608:1:25:1	165	2500	1250	2
137	1123	609:1:25:1	165	2500	1250	2
138	1123	610:1:25:1	165	2500	1250	2
139	1123	647:1:3:1	39	900	450	2
140	1123	13:1:2:1	52	2000	1000	2
141	1123	502:1:10:1	67	1000	500	2
142	1123	505:1:1:1	67	1000	500	2
143	1123	507:1:1:1	39	1000	500	2
144	1123	510:1:1:1	39	1000	500	2
145	1123	158:1:1:1	26	4000	2000	2
148	1123	605:1:25:1	83	2500	750	1
149	1123	606:1:25:1	83	2500	750	1
150	1123	607:1:25:1	83	2500	750	1
151	1123	608:1:25:1	83	2500	750	1
152	1123	609:1:25:1	83	2500	750	1
153	1123	610:1:25:1	83	2500	750	1
154	1123	647:1:3:1	19	900	270	1
155	1123	13:1:2:1	26	2000	600	1
156	1123	502:1:10:1	32	1000	300	1
157	1123	505:1:1:1	32	1000	300	1
158	1123	507:1:1:1	19	1000	300	1
159	1123	510:1:1:1	19	1000	300	1
160	1123	158:1:1:1	13	4000	1200	1
163	1130	608:1:25:1	600	2500	2500	0
164	1130	609:1:25:1	571	2500	2500	0
165	1130	610:1:25:1	576	2500	2500	0
166	1130	611:1:25:1	571	2500	2500	0
167	1130	612:1:25:1	570	2500	2500	0
168	1130	613:1:25:1	570	2500	2500	0
169	1130	614:1:25:1	570	2500	2500	0
170	1130	647:1:3:1	159	900	900	0
171	1130	13:1:2:1	213	2000	2000	0
172	1130	502:1:10:1	266	1000	1000	0
173	1130	505:1:1:1	266	1000	1000	0
174	1130	507:1:1:1	159	1000	1000	0
175	1130	510:1:1:1	159	1000	1000	0
176	1130	158:1:1:1	106	4000	4000	0
177	1130	608:1:25:1	285	2500	2000	3
178	1130	609:1:25:1	285	2500	2000	3
179	1130	610:1:25:1	288	2500	2000	3
180	1130	611:1:25:1	285	2500	2000	3
181	1130	612:1:25:1	285	2500	2000	3
182	1130	613:1:25:1	285	2500	2000	3
183	1130	614:1:25:1	285	2500	2000	3
184	1130	647:1:3:1	80	900	720	3
185	1130	13:1:2:1	106	2000	1600	3
186	1130	502:1:10:1	133	1000	800	3
187	1130	505:1:1:1	133	1000	800	3
188	1130	507:1:1:1	80	1000	800	3
189	1130	510:1:1:1	80	1000	800	3
190	1130	158:1:1:1	52	4000	3200	3
193	1130	608:1:25:1	142	2500	1250	2
194	1130	609:1:25:1	142	2500	1250	2
195	1130	610:1:25:1	143	2500	1250	2
196	1130	611:1:25:1	142	2500	1250	2
197	1130	612:1:25:1	142	2500	1250	2
198	1130	613:1:25:1	142	2500	1250	2
199	1130	614:1:25:1	142	2500	1250	2
200	1130	647:1:3:1	39	900	450	2
201	1130	13:1:2:1	52	2000	1000	2
202	1130	502:1:10:1	67	1000	500	2
203	1130	505:1:1:1	67	1000	500	2
204	1130	507:1:1:1	39	1000	500	2
205	1130	510:1:1:1	39	1000	500	2
206	1130	158:1:1:1	26	4000	2000	2
209	1130	608:1:25:1	71	2500	750	1
210	1130	609:1:25:1	71	2500	750	1
211	1130	610:1:25:1	72	2500	750	1
212	1130	611:1:25:1	71	2500	750	1
213	1130	612:1:25:1	71	2500	750	1
214	1130	613:1:25:1	71	2500	750	1
215	1130	614:1:25:1	71	2500	750	1
216	1130	647:1:3:1	19	900	270	1
217	1130	13:1:2:1	26	2000	600	1
218	1130	502:1:10:1	32	1000	300	1
219	1130	505:1:1:1	32	1000	300	1
220	1130	507:1:1:1	19	1000	300	1
221	1130	510:1:1:1	19	1000	300	1
222	1130	158:1:1:1	13	4000	1200	1
