INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING
31	1	705:1:50:1	1	900	1000	963	1	9999	-1	-1
32	1	706:1:50:1	1	900	1000	963	1	9999	-1	-1
33	1	707:1:50:1	1	1800	2000	482	1	9999	-1	-1
34	1	708:1:50:1	1	900	1000	963	1	9999	-1	-1
35	1	15:1:1:1	1	150	200	1445	1	9999	-1	-1
36	1	507:1:10:1	1	700	1000	1314	1	9999	-1	-1
37	1	510:1:10:1	1	700	1000	1314	1	9999	-1	-1
38	1	568:1:10:1	1	2100	3000	657	1	9999	-1	-1
39	1	570:1:10:1	1	7000	10000	657	1	9999	295	-1
40	1	508:1:10:1	1	7000	10000	657	1	9999	-1	-1
41	1	511:1:10:1	1	7000	10000	657	1	9999	-1	-1
42	1	638:1:50:1	1	7000	10000	657	1	9999	-1	-1
43	1	619:1:2:1	1	308	440	1051	1	9999	-1	-1
44	1	620:1:2:1	1	308	440	1051	1	9999	-1	-1
45	1	621:1:2:1	1	308	440	1051	1	9999	-1	-1
46	1	601:1:30:1	1	420	600	1314	1	9999	-1	-1
47	1	564:1:40:1	1	1400	2000	1182	1	9999	-1	-1
48	1	18:1:20:1	1	1400	2000	1314	1	9999	-1	-1
49	1	566:1:20:1	1	2800	4000	788	1	9999	-1	-1
50	1	158:1:20:1	1	5600	8000	1314	1	9999	-1	-1
51	1	575:1:20:1	1	280	400	1314	1	9999	-1	-1
52	1	647:1:15:1	1	315	450	1314	1	9999	-1	-1
53	1	623:1:2:1	1	420	600	394	1	9999	-1	-1
54	1	624:1:2:1	1	420	600	394	1	9999	-1	-1
55	1	625:1:2:1	1	420	600	394	1	9999	-1	-1
56	1	565:1:10:1	1	1400	2000	263	1	9999	-1	-1
57	1	410:1:2:1	1	1400	2000	263	1	9999	295	-1
58	1	599:1:3:1	1	2100	3000	263	1	9999	-1	-1
59	1	25:8:1:1	1	7980	11400	66	1	9999	295	-1
60	1	30:8:1:1	1	7980	11400	66	1	9999	295	-1
61	1	35:8:1:1	1	7980	11400	66	1	9999	295	-1
62	1	45:8:1:1	1	15890	22700	13	1	9999	295	-1
63	1	50:8:1:1	1	15890	22700	13	1	9999	295	-1
64	1	55:8:1:1	1	15890	22700	13	1	9999	295	-1
65	1	704:1:50:1	1	1400	2000	131	1	9999	295	-1
66	1	705:1:50:1	1	700	1000	263	1	9999	295	-1
67	1	706:1:50:1	1	700	1000	263	1	9999	295	-1
68	1	707:1:50:1	1	1400	2000	131	1	9999	295	-1
69	1	708:1:50:1	1	700	1000	263	1	9999	295	-1
70	1	15:1:1:1	1	140	200	394	1	9999	-1	-1
71	1	507:1:10:1	1	500	1000	88	1	9999	-1	-1
72	1	510:1:10:1	1	500	1000	88	1	9999	-1	-1
73	1	568:1:10:1	1	1500	3000	44	1	9999	-1	-1
74	1	570:1:10:1	1	5000	10000	44	1	9999	295	-1
75	1	508:1:10:1	1	5000	10000	44	1	9999	-1	-1
76	1	511:1:10:1	1	5000	10000	44	1	9999	-1	-1
77	1	638:1:50:1	1	5000	10000	44	1	9999	-1	-1
78	1	619:1:2:1	1	220	440	70	1	9999	-1	-1
79	1	620:1:2:1	1	220	440	70	1	9999	-1	-1
80	1	621:1:2:1	1	220	440	70	1	9999	-1	-1
81	1	601:1:30:1	1	300	600	88	1	9999	-1	-1
82	1	564:1:40:1	1	1000	2000	79	1	9999	-1	-1
83	1	18:1:20:1	1	1000	2000	88	1	9999	-1	-1
84	1	566:1:20:1	1	2000	4000	53	1	9999	-1	-1
85	1	158:1:20:1	1	4000	8000	88	1	9999	-1	-1
86	1	575:1:20:1	1	200	400	88	1	9999	-1	-1
87	1	647:1:15:1	1	225	450	88	1	9999	-1	-1
88	1	623:1:2:1	1	300	600	26	1	9999	295	-1
89	1	624:1:2:1	1	300	600	26	1	9999	295	-1
90	1	625:1:2:1	1	300	600	26	1	9999	295	-1
91	1	565:1:10:1	1	1000	2000	18	1	9999	-1	-1
92	1	410:1:2:1	1	1000	2000	18	1	9999	295	-1
93	1	599:1:3:1	1	1500	3000	18	1	9999	-1	-1
94	1	25:8:1:1	1	5700	11400	4	1	9999	295	-1
95	1	30:8:1:1	1	5700	11400	4	1	9999	295	-1
96	1	35:8:1:1	1	5700	11400	4	1	9999	295	-1
97	1	45:8:1:1	1	11350	22700	1	1	9999	295	-1
98	1	50:8:1:1	1	11350	22700	1	1	9999	295	-1
99	1	55:8:1:1	1	11350	22700	1	1	9999	295	-1
100	1	704:1:50:1	1	1000	2000	9	1	9999	295	-1
101	1	705:1:50:1	1	500	1000	18	1	9999	-1	-1
102	1	706:1:50:1	1	500	1000	18	1	9999	-1	-1
103	1	707:1:50:1	1	1000	2000	9	1	9999	295	-1
104	1	708:1:50:1	1	500	1000	18	1	9999	-1	-1
105	1	15:1:1:1	1	100	200	26	1	9999	-1	-1
1000	2	507:1:10:1	1	900	1000	5869	1	9999	-1	-1
1001	2	510:1:10:1	1	900	1000	5869	1	9999	-1	-1
1002	2	568:1:3:1	1	810	900	4402	1	9999	-1	-1
1003	2	570:1:2:1	1	1800	2000	2348	1	9999	256	-1
1004	2	508:1:2:1	1	1800	2000	4402	1	9999	-1	-1
1005	2	511:1:2:1	1	1800	2000	4402	1	9999	-1	-1
1006	2	638:1:15:1	1	2700	3000	2054	1	9999	-1	-1
1007	2	619:1:2:1	1	396	440	4402	1	9999	-1	-1
1008	2	620:1:2:1	1	396	440	4402	1	9999	-1	-1
1009	2	621:1:2:1	1	396	440	4402	1	9999	-1	-1
1010	2	601:1:30:1	1	540	600	5869	1	9999	-1	-1
1011	2	564:1:20:1	1	900	1000	4402	1	9999	-1	-1
1012	2	18:1:10:1	1	900	1000	4402	1	9999	-1	-1
1013	2	566:1:10:1	1	1800	2000	2934	1	9999	-1	-1
1014	2	158:1:10:1	1	3600	4000	4402	1	9999	-1	-1
1015	2	575:1:10:1	1	180	200	5869	1	9999	-1	-1
1016	2	647:1:15:1	1	405	450	2934	1	9999	-1	-1
1017	2	623:1:2:1	1	540	600	1761	1	9999	-1	-1
1018	2	624:1:2:1	1	540	600	1761	1	9999	-1	-1
1019	2	625:1:2:1	1	540	600	1761	1	9999	-1	-1
1020	2	565:1:10:1	1	1800	2000	880	1	9999	-1	-1
1021	2	410:1:2:1	1	1800	2000	880	1	9999	-1	-1
1022	2	599:1:3:1	1	2700	3000	880	1	9999	-1	-1
1023	2	25:8:1:1	1	10260	11400	147	1	9999	256	-1
1024	2	30:8:1:1	1	10260	11400	147	1	9999	256	-1
1025	2	35:8:1:1	1	10260	11400	147	1	9999	256	-1
1026	2	45:8:1:1	1	20430	22700	29	1	9999	256	-1
1027	2	50:8:1:1	1	20430	22700	29	1	9999	256	-1
1028	2	55:8:1:1	1	20430	22700	29	1	9999	256	-1
1029	2	507:1:10:1	1	700	1000	939	1	9999	-1	-1
1030	2	510:1:10:1	1	700	1000	939	1	9999	-1	-1
1031	2	568:1:3:1	1	630	900	704	1	9999	-1	-1
1032	2	570:1:2:1	1	1400	2000	376	1	9999	256	-1
1033	2	508:1:2:1	1	1400	2000	704	1	9999	-1	-1
1034	2	511:1:2:1	1	1400	2000	704	1	9999	-1	-1
1035	2	638:1:15:1	1	2100	3000	329	1	9999	-1	-1
1036	2	619:1:2:1	1	308	440	704	1	9999	-1	-1
1037	2	620:1:2:1	1	308	440	704	1	9999	-1	-1
1038	2	621:1:2:1	1	308	440	704	1	9999	-1	-1
1039	2	601:1:30:1	1	420	600	939	1	9999	-1	-1
1040	2	564:1:20:1	1	700	1000	704	1	9999	-1	-1
1041	2	18:1:10:1	1	700	1000	704	1	9999	-1	-1
1042	2	566:1:10:1	1	1400	2000	470	1	9999	-1	-1
1043	2	158:1:10:1	1	2800	4000	704	1	9999	-1	-1
1044	2	575:1:10:1	1	140	200	939	1	9999	-1	-1
1045	2	647:1:15:1	1	315	450	470	1	9999	-1	-1
1046	2	623:1:2:1	1	420	600	282	1	9999	-1	-1
1047	2	624:1:2:1	1	420	600	282	1	9999	-1	-1
1048	2	625:1:2:1	1	420	600	282	1	9999	-1	-1
1049	2	565:1:10:1	1	1400	2000	141	1	9999	-1	-1
1050	2	410:1:2:1	1	1400	2000	141	1	9999	256	-1
1051	2	599:1:3:1	1	2100	3000	141	1	9999	-1	-1
1052	2	25:8:1:1	1	7980	11400	23	1	9999	256	-1
1053	2	30:8:1:1	1	7980	11400	23	1	9999	256	-1
1054	2	35:8:1:1	1	7980	11400	23	1	9999	256	-1
1055	2	45:8:1:1	1	15890	22700	5	1	9999	256	-1
1056	2	50:8:1:1	1	15890	22700	5	1	9999	256	-1
1057	2	55:8:1:1	1	15890	22700	5	1	9999	256	-1
1058	2	507:1:10:1	1	500	1000	117	1	9999	-1	-1
1059	2	510:1:10:1	1	500	1000	117	1	9999	-1	-1
1060	2	568:1:3:1	1	450	900	88	1	9999	-1	-1
1061	2	570:1:2:1	1	1000	2000	47	1	9999	256	-1
1062	2	508:1:2:1	1	1000	2000	88	1	9999	-1	-1
1063	2	511:1:2:1	1	1000	2000	88	1	9999	-1	-1
1064	2	638:1:15:1	1	1500	3000	41	1	9999	-1	-1
1065	2	619:1:2:1	1	220	440	88	1	9999	-1	-1
1066	2	620:1:2:1	1	220	440	88	1	9999	-1	-1
1067	2	621:1:2:1	1	220	440	88	1	9999	-1	-1
1068	2	601:1:30:1	1	300	600	117	1	9999	-1	-1
1069	2	564:1:20:1	1	500	1000	88	1	9999	-1	-1
1070	2	18:1:10:1	1	500	1000	88	1	9999	-1	-1
1071	2	566:1:10:1	1	1000	2000	59	1	9999	-1	-1
1072	2	158:1:10:1	1	2000	4000	88	1	9999	-1	-1
1073	2	575:1:10:1	1	100	200	117	1	9999	-1	-1
1074	2	647:1:15:1	1	225	450	59	1	9999	-1	-1
1075	2	623:1:2:1	1	300	600	35	1	9999	-1	-1
1076	2	624:1:2:1	1	300	600	35	1	9999	-1	-1
1077	2	625:1:2:1	1	300	600	35	1	9999	-1	-1
1078	2	565:1:10:1	1	1000	2000	18	1	9999	-1	-1
1079	2	410:1:2:1	1	1000	2000	18	1	9999	256	-1
1080	2	599:1:3:1	1	1500	3000	18	1	9999	-1	-1
1081	2	25:8:1:1	1	5700	11400	3	1	9999	256	-1
1082	2	30:8:1:1	1	5700	11400	3	1	9999	256	-1
1083	2	35:8:1:1	1	5700	11400	3	1	9999	256	-1
1084	2	45:8:1:1	1	11350	22700	1	1	9999	256	-1
1085	2	50:8:1:1	1	11350	22700	1	1	9999	256	-1
1086	2	55:8:1:1	1	11350	22700	1	1	9999	256	-1
1087	2	566:1:20:1	1	3600	4000	1200	1	9999	-1	-1
1088	2	566:1:20:1	1	2800	4000	200	1	9999	-1	-1
1089	2	566:1:20:1	1	2000	4000	20	1	9999	-1	-1
1087	2	566:1:50:1	1	9000	10000	290	1	9999	-1	-1
1088	2	566:1:50:1	1	7000	10000	47	1	9999	-1	-1
1089	2	566:1:50:1	1	5000	10000	5	1	9999	-1	-1
