INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT
10100	1	2118	118	39	1	0	-1	0	1	-1	-1	0
10101	1	2119	88	51	1	0	-1	0	1	-1	-1	0
10102	1	2119	110	64	1	0	-1	0	1	-1	-1	0
10103	1	2119	91	76	1	0	-1	0	1	-1	-1	0
10104	1	2119	65	64	1	0	-1	0	1	-1	-1	0
10105	1	2119	66	48	1	0	-1	0	1	-1	-1	0
10106	1	2119	110	33	1	0	-1	0	1	-1	-1	0
10107	1	2119	138	54	1	0	-1	0	1	-1	-1	0
10108	1	2119	111	49	1	0	-1	0	1	-1	-1	0
10109	1	2119	137	78	1	0	-1	0	1	-1	-1	0
10110	1	2119	112	98	1	0	-1	0	1	-1	-1	0
10111	1	2119	112	81	1	0	-1	0	1	-1	-1	0
10112	1	2119	72	99	1	0	-1	0	1	-1	-1	0
10113	1	2119	42	80	1	0	-1	0	1	-1	-1	0
10114	1	2119	66	80	1	0	-1	0	1	-1	-1	0
10115	1	2119	41	53	1	0	-1	0	1	-1	-1	0
10116	1	2119	72	27	1	0	-1	0	1	-1	-1	0
10117	1	2119	61	39	1	0	-1	0	1	-1	-1	0
10118	1	2119	56	89	1	0	-1	0	1	-1	-1	0
10119	1	2119	123	87	1	0	-1	0	1	-1	-1	0
10120	1	2119	118	39	1	0	-1	0	1	-1	-1	0
10121	1	2120	88	51	1	0	-1	0	1	-1	-1	0
10122	1	2120	110	64	1	0	-1	0	1	-1	-1	0
10123	1	2120	91	76	1	0	-1	0	1	-1	-1	0
10124	1	2120	65	64	1	0	-1	0	1	-1	-1	0
10125	1	2120	66	48	1	0	-1	0	1	-1	-1	0
10126	1	2120	110	33	1	0	-1	0	1	-1	-1	0
10127	1	2120	138	54	1	0	-1	0	1	-1	-1	0
10128	1	2120	111	49	1	0	-1	0	1	-1	-1	0
10129	1	2120	137	78	1	0	-1	0	1	-1	-1	0
10130	1	2120	112	98	1	0	-1	0	1	-1	-1	0
10131	1	2120	112	81	1	0	-1	0	1	-1	-1	0
10132	1	2120	72	99	1	0	-1	0	1	-1	-1	0
10133	1	2120	42	80	1	0	-1	0	1	-1	-1	0
10134	1	2120	66	80	1	0	-1	0	1	-1	-1	0
10135	1	2120	41	53	1	0	-1	0	1	-1	-1	0
10136	1	2120	72	27	1	0	-1	0	1	-1	-1	0
10137	1	2120	61	39	1	0	-1	0	1	-1	-1	0
10138	1	2120	56	89	1	0	-1	0	1	-1	-1	0
10139	1	2120	123	87	1	0	-1	0	1	-1	-1	0
10140	1	2120	118	39	1	0	-1	0	1	-1	-1	0
10141	1	2121	88	51	1	0	-1	0	1	-1	-1	0
10142	1	2121	110	64	1	0	-1	0	1	-1	-1	0
10143	1	2121	91	76	1	0	-1	0	1	-1	-1	0
10144	1	2121	65	64	1	0	-1	0	1	-1	-1	0
10145	1	2121	66	48	1	0	-1	0	1	-1	-1	0
10146	1	2121	110	33	1	0	-1	0	1	-1	-1	0
10147	1	2121	138	54	1	0	-1	0	1	-1	-1	0
10148	1	2121	111	49	1	0	-1	0	1	-1	-1	0
10149	1	2121	137	78	1	0	-1	0	1	-1	-1	0
10150	1	2121	112	98	1	0	-1	0	1	-1	-1	0
10151	1	2121	112	81	1	0	-1	0	1	-1	-1	0
10152	1	2121	72	99	1	0	-1	0	1	-1	-1	0
10153	1	2121	42	80	1	0	-1	0	1	-1	-1	0
10154	1	2121	66	80	1	0	-1	0	1	-1	-1	0
10155	1	2121	41	53	1	0	-1	0	1	-1	-1	0
10156	1	2121	72	27	1	0	-1	0	1	-1	-1	0
10157	1	2121	61	39	1	0	-1	0	1	-1	-1	0
10158	1	2121	56	89	1	0	-1	0	1	-1	-1	0
10159	1	2121	123	87	1	0	-1	0	1	-1	-1	0
10160	1	2121	118	39	1	0	-1	0	1	-1	-1	0
10161	1	2122	88	51	1	0	-1	0	1	-1	-1	0
10162	1	2122	110	64	1	0	-1	0	1	-1	-1	0
10163	1	2122	91	76	1	0	-1	0	1	-1	-1	0
10164	1	2122	65	64	1	0	-1	0	1	-1	-1	0
10165	1	2122	66	48	1	0	-1	0	1	-1	-1	0
10166	1	2122	110	33	1	0	-1	0	1	-1	-1	0
10167	1	2122	138	54	1	0	-1	0	1	-1	-1	0
10168	1	2122	111	49	1	0	-1	0	1	-1	-1	0
10169	1	2122	137	78	1	0	-1	0	1	-1	-1	0
10170	1	2122	112	98	1	0	-1	0	1	-1	-1	0
10171	1	2122	112	81	1	0	-1	0	1	-1	-1	0
10172	1	2122	72	99	1	0	-1	0	1	-1	-1	0
10173	1	2122	42	80	1	0	-1	0	1	-1	-1	0
10174	1	2122	66	80	1	0	-1	0	1	-1	-1	0
10175	1	2122	41	53	1	0	-1	0	1	-1	-1	0
10176	1	2122	72	27	1	0	-1	0	1	-1	-1	0
10177	1	2122	61	39	1	0	-1	0	1	-1	-1	0
10178	1	2122	56	89	1	0	-1	0	1	-1	-1	0
10179	1	2122	123	87	1	0	-1	0	1	-1	-1	0
10180	1	2122	118	39	1	0	-1	0	1	-1	-1	0
10181	1	2123	88	51	1	0	-1	0	1	-1	-1	0
10182	1	2123	110	64	1	0	-1	0	1	-1	-1	0
10183	1	2123	91	76	1	0	-1	0	1	-1	-1	0
10184	1	2123	65	64	1	0	-1	0	1	-1	-1	0
10185	1	2123	66	48	1	0	-1	0	1	-1	-1	0
10186	1	2123	110	33	1	0	-1	0	1	-1	-1	0
10187	1	2123	138	54	1	0	-1	0	1	-1	-1	0
10188	1	2123	111	49	1	0	-1	0	1	-1	-1	0
10189	1	2123	137	78	1	0	-1	0	1	-1	-1	0
10190	1	2123	112	98	1	0	-1	0	1	-1	-1	0
10191	1	2123	112	81	1	0	-1	0	1	-1	-1	0
10192	1	2123	72	99	1	0	-1	0	1	-1	-1	0
10193	1	2123	42	80	1	0	-1	0	1	-1	-1	0
10194	1	2123	66	80	1	0	-1	0	1	-1	-1	0
10195	1	2123	41	53	1	0	-1	0	1	-1	-1	0
10196	1	2123	72	27	1	0	-1	0	1	-1	-1	0
10197	1	2123	61	39	1	0	-1	0	1	-1	-1	0
10198	1	2123	56	89	1	0	-1	0	1	-1	-1	0
10199	1	2123	123	87	1	0	-1	0	1	-1	-1	0
10200	1	2123	118	39	1	0	-1	0	1	-1	-1	0
10201	1	2124	88	51	1	0	-1	0	1	-1	-1	0
10202	1	2124	110	64	1	0	-1	0	1	-1	-1	0
10203	1	2124	91	76	1	0	-1	0	1	-1	-1	0
10204	1	2124	65	64	1	0	-1	0	1	-1	-1	0
10205	1	2124	66	48	1	0	-1	0	1	-1	-1	0
10206	1	2124	110	33	1	0	-1	0	1	-1	-1	0
10207	1	2124	138	54	1	0	-1	0	1	-1	-1	0
10208	1	2124	111	49	1	0	-1	0	1	-1	-1	0
10209	1	2124	137	78	1	0	-1	0	1	-1	-1	0
10210	1	2124	112	98	1	0	-1	0	1	-1	-1	0
10211	1	2124	112	81	1	0	-1	0	1	-1	-1	0
10212	1	2124	72	99	1	0	-1	0	1	-1	-1	0
10213	1	2124	42	80	1	0	-1	0	1	-1	-1	0
10214	1	2124	66	80	1	0	-1	0	1	-1	-1	0
10215	1	2124	41	53	1	0	-1	0	1	-1	-1	0
10216	1	2124	72	27	1	0	-1	0	1	-1	-1	0
10217	1	2124	61	39	1	0	-1	0	1	-1	-1	0
10218	1	2124	56	89	1	0	-1	0	1	-1	-1	0
10219	1	2124	123	87	1	0	-1	0	1	-1	-1	0
10220	1	2124	118	39	1	0	-1	0	1	-1	-1	0
10221	1	2125	88	51	1	0	-1	0	1	-1	-1	0
10222	1	2125	110	64	1	0	-1	0	1	-1	-1	0
10223	1	2125	91	76	1	0	-1	0	1	-1	-1	0
10224	1	2125	65	64	1	0	-1	0	1	-1	-1	0
10225	1	2125	66	48	1	0	-1	0	1	-1	-1	0
10226	1	2125	110	33	1	0	-1	0	1	-1	-1	0
10227	1	2125	138	54	1	0	-1	0	1	-1	-1	0
10228	1	2125	111	49	1	0	-1	0	1	-1	-1	0
10229	1	2125	137	78	1	0	-1	0	1	-1	-1	0
10230	1	2125	112	98	1	0	-1	0	1	-1	-1	0
10231	1	2125	112	81	1	0	-1	0	1	-1	-1	0
10232	1	2125	72	99	1	0	-1	0	1	-1	-1	0
10233	1	2125	42	80	1	0	-1	0	1	-1	-1	0
10234	1	2125	66	80	1	0	-1	0	1	-1	-1	0
10235	1	2125	41	53	1	0	-1	0	1	-1	-1	0
10236	1	2125	72	27	1	0	-1	0	1	-1	-1	0
10237	1	2125	61	39	1	0	-1	0	1	-1	-1	0
10238	1	2125	56	89	1	0	-1	0	1	-1	-1	0
10239	1	2125	123	87	1	0	-1	0	1	-1	-1	0
10240	1	2125	118	39	1	0	-1	0	1	-1	-1	0
10241	1	2126	88	51	1	0	-1	0	1	-1	-1	0
10242	1	2126	110	64	1	0	-1	0	1	-1	-1	0
10243	1	2126	91	76	1	0	-1	0	1	-1	-1	0
10244	1	2126	65	64	1	0	-1	0	1	-1	-1	0
10245	1	2126	66	48	1	0	-1	0	1	-1	-1	0
10246	1	2126	110	33	1	0	-1	0	1	-1	-1	0
10247	1	2126	138	54	1	0	-1	0	1	-1	-1	0
10248	1	2126	111	49	1	0	-1	0	1	-1	-1	0
10249	1	2126	137	78	1	0	-1	0	1	-1	-1	0
10250	1	2126	112	98	1	0	-1	0	1	-1	-1	0
10251	1	2126	112	81	1	0	-1	0	1	-1	-1	0
10252	1	2126	72	99	1	0	-1	0	1	-1	-1	0
10253	1	2126	42	80	1	0	-1	0	1	-1	-1	0
10254	1	2126	66	80	1	0	-1	0	1	-1	-1	0
10255	1	2126	41	53	1	0	-1	0	1	-1	-1	0
10256	1	2126	72	27	1	0	-1	0	1	-1	-1	0
10257	1	2126	61	39	1	0	-1	0	1	-1	-1	0
10258	1	2126	56	89	1	0	-1	0	1	-1	-1	0
10259	1	2126	123	87	1	0	-1	0	1	-1	-1	0
10260	1	2126	118	39	1	0	-1	0	1	-1	-1	0
10261	1	2101	153	64	1	0	-1	0	1	-1	-1	0
10262	1	2101	88	19	1	0	-1	0	1	-1	-1	0
10263	1	2101	25	66	1	0	-1	0	1	-1	-1	0
10264	1	2101	89	112	1	0	-1	0	1	-1	-1	0
10265	1	2102	153	64	1	0	-1	0	1	-1	-1	0
10266	1	2102	88	19	1	0	-1	0	1	-1	-1	0
10267	1	2102	25	66	1	0	-1	0	1	-1	-1	0
10268	1	2102	89	112	1	0	-1	0	1	-1	-1	0
10269	1	2103	153	64	1	0	-1	0	1	-1	-1	0
10270	1	2103	88	19	1	0	-1	0	1	-1	-1	0
10271	1	2103	25	66	1	0	-1	0	1	-1	-1	0
10272	1	2103	89	112	1	0	-1	0	1	-1	-1	0
10273	1	2104	153	64	1	0	-1	0	1	-1	-1	0
10274	1	2104	88	19	1	0	-1	0	1	-1	-1	0
10275	1	2104	25	66	1	0	-1	0	1	-1	-1	0
10276	1	2104	89	112	1	0	-1	0	1	-1	-1	0
10277	1	2105	153	64	1	0	-1	0	1	-1	-1	0
10278	1	2105	88	19	1	0	-1	0	1	-1	-1	0
10279	1	2105	25	66	1	0	-1	0	1	-1	-1	0
10280	1	2105	89	112	1	0	-1	0	1	-1	-1	0
10281	1	2106	153	64	1	0	-1	0	1	-1	-1	0
10282	1	2106	88	19	1	0	-1	0	1	-1	-1	0
10283	1	2106	25	66	1	0	-1	0	1	-1	-1	0
10284	1	2106	89	112	1	0	-1	0	1	-1	-1	0
10285	1	2107	153	64	1	0	-1	0	1	-1	-1	0
10286	1	2107	88	19	1	0	-1	0	1	-1	-1	0
10287	1	2107	25	66	1	0	-1	0	1	-1	-1	0
10288	1	2107	89	112	1	0	-1	0	1	-1	-1	0
10289	1	2108	153	64	1	0	-1	0	1	-1	-1	0
10290	1	2108	88	19	1	0	-1	0	1	-1	-1	0
10291	1	2108	25	66	1	0	-1	0	1	-1	-1	0
10292	1	2108	89	112	1	0	-1	0	1	-1	-1	0
10293	1	2109	153	64	1	0	-1	0	1	-1	-1	0
10294	1	2109	88	19	1	0	-1	0	1	-1	-1	0
10295	1	2109	25	66	1	0	-1	0	1	-1	-1	0
10296	1	2109	89	112	1	0	-1	0	1	-1	-1	0
10297	1	2110	153	64	1	0	-1	0	1	-1	-1	0
10298	1	2110	88	19	1	0	-1	0	1	-1	-1	0
10299	1	2110	25	66	1	0	-1	0	1	-1	-1	0
10300	1	2110	89	112	1	0	-1	0	1	-1	-1	0
10301	1	2111	153	64	1	0	-1	0	1	-1	-1	0
10302	1	2111	88	19	1	0	-1	0	1	-1	-1	0
10303	1	2111	25	66	1	0	-1	0	1	-1	-1	0
10304	1	2111	89	112	1	0	-1	0	1	-1	-1	0
10305	1	2112	153	64	1	0	-1	0	1	-1	-1	0
10306	1	2112	88	19	1	0	-1	0	1	-1	-1	0
10307	1	2112	25	66	1	0	-1	0	1	-1	-1	0
10308	1	2112	89	112	1	0	-1	0	1	-1	-1	0
10309	1	2113	153	64	1	0	-1	0	1	-1	-1	0
10310	1	2113	88	19	1	0	-1	0	1	-1	-1	0
10311	1	2113	25	66	1	0	-1	0	1	-1	-1	0
10312	1	2113	89	112	1	0	-1	0	1	-1	-1	0
11001	1	2028	66	49	1	0	-1	0	1	-1	-1	0
12001	1	2015	34	42	1	0	-1	0	1	-1	-1	0
12002	1	2015	43	34	1	0	-1	0	1	-1	-1	0
12003	1	2015	58	38	1	0	-1	0	1	-1	-1	0
12004	1	2015	50	46	1	0	-1	0	1	-1	-1	0
12005	1	2015	39	58	1	0	-1	0	1	-1	-1	0
12006	1	2015	52	65	1	0	-1	0	1	-1	-1	0
12007	1	2015	71	63	1	0	-1	0	1	-1	-1	0
12008	1	2015	68	47	1	0	-1	0	1	-1	-1	0
12009	1	2015	71	35	1	0	-1	0	1	-1	-1	0
12010	1	2015	63	27	1	0	-1	0	1	-1	-1	0
13001	1	33000	54	35	1	0	-1	0	1	-1	-1	0
13002	1	33001	54	35	1	0	-1	0	1	-1	-1	0
13003	1	33002	54	35	1	0	-1	0	1	-1	-1	0
13004	1	33002	54	35	1	0	-1	0	1	-1	-1	0
13005	1	33003	54	35	1	0	-1	0	1	-1	-1	0
13006	1	33003	54	35	1	0	-1	0	1	-1	-1	0
13007	1	33004	54	35	1	0	-1	0	1	-1	-1	0
14001	1	40022	51	129	1	0	-1	0	1	-1	-1	0
14002	1	40023	69	87	1	0	-1	0	1	-1	-1	0
14003	1	40024	137	66	1	0	-1	0	1	-1	-1	0
14004	1	40025	177	129	1	0	-1	0	1	-1	-1	0
14005	1	40026	47	229	1	0	-1	0	1	-1	-1	0
14006	1	40027	93	263	1	0	-1	0	1	-1	-1	0
14007	1	40028	166	269	1	0	-1	0	1	-1	-1	0
14008	1	40029	157	191	1	0	-1	0	1	-1	-1	0
14009	2	40030	108	158	1	0	-1	0	1	-1	-1	0
14010	3	40031	16	109	1	0	-1	0	1	-1	-1	0
14011	3	40031	26	118	1	0	-1	0	1	-1	-1	0
14012	3	40031	44	116	1	0	-1	0	1	-1	-1	0
14013	3	40031	55	139	1	0	-1	0	1	-1	-1	0
14014	3	40031	65	119	1	0	-1	0	1	-1	-1	0
14015	3	40031	86	109	1	0	-1	0	1	-1	-1	0
14016	3	40031	72	95	1	0	-1	0	1	-1	-1	0
14017	3	40031	93	89	1	0	-1	0	1	-1	-1	0
14018	3	40031	101	107	1	0	-1	0	1	-1	-1	0
14019	3	40031	123	91	1	0	-1	0	1	-1	-1	0
14020	3	40031	108	74	1	0	-1	0	1	-1	-1	0
14021	3	40031	94	52	1	0	-1	0	1	-1	-1	0
14022	3	40031	80	48	1	0	-1	0	1	-1	-1	0
14023	3	40031	123	71	1	0	-1	0	1	-1	-1	0
14024	3	40031	136	102	1	0	-1	0	1	-1	-1	0
14025	3	40031	122	126	1	0	-1	0	1	-1	-1	0
14026	3	40031	157	118	1	0	-1	0	1	-1	-1	0
14027	3	40031	169	146	1	0	-1	0	1	-1	-1	0
14028	3	40031	186	145	1	0	-1	0	1	-1	-1	0
14029	3	40031	180	109	1	0	-1	0	1	-1	-1	0
14030	3	40031	198	99	1	0	-1	0	1	-1	-1	0
14031	3	40031	206	79	1	0	-1	0	1	-1	-1	0
14032	3	40031	212	61	1	0	-1	0	1	-1	-1	0
14033	3	40031	178	53	1	0	-1	0	1	-1	-1	0
14034	3	40031	83	187	1	0	-1	0	1	-1	-1	0
14035	3	40031	99	197	1	0	-1	0	1	-1	-1	0
14036	3	40031	113	213	1	0	-1	0	1	-1	-1	0
14037	3	40031	134	236	1	0	-1	0	1	-1	-1	0
14038	3	40031	108	248	1	0	-1	0	1	-1	-1	0
14039	3	40031	112	272	1	0	-1	0	1	-1	-1	0
14040	3	40031	85	279	1	0	-1	0	1	-1	-1	0
14041	3	40031	79	239	1	0	-1	0	1	-1	-1	0
14042	3	40031	99	227	1	0	-1	0	1	-1	-1	0
14043	3	40031	73	217	1	0	-1	0	1	-1	-1	0
14044	3	40031	71	265	1	0	-1	0	1	-1	-1	0
14045	3	40031	45	257	1	0	-1	0	1	-1	-1	0
14046	3	40031	37	275	1	0	-1	0	1	-1	-1	0
14047	3	40031	119	287	1	0	-1	0	1	-1	-1	0
14048	3	40031	143	295	1	0	-1	0	1	-1	-1	0
14049	3	40031	123	317	1	0	-1	0	1	-1	-1	0
14050	3	40031	139	257	1	0	-1	0	1	-1	-1	0
14051	3	40031	160	282	1	0	-1	0	1	-1	-1	0
14052	3	40031	175	284	1	0	-1	0	1	-1	-1	0
14053	3	40031	185	240	1	0	-1	0	1	-1	-1	0
14054	3	40031	160	232	1	0	-1	0	1	-1	-1	0
14055	3	40031	147	214	1	0	-1	0	1	-1	-1	0
14056	3	40031	171	196	1	0	-1	0	1	-1	-1	0
14057	3	40031	153	181	1	0	-1	0	1	-1	-1	0
14058	2	40032	108	158	1	0	-1	0	1	-1	-1	0
14059	2	40033	108	158	1	0	-1	0	1	-1	-1	0
14060	1	40034	51	129	1	0	-1	0	1	-1	-1	0
14061	1	40035	69	87	1	0	-1	0	1	-1	-1	0
14062	1	40036	137	66	1	0	-1	0	1	-1	-1	0
14063	1	40037	177	129	1	0	-1	0	1	-1	-1	0
14064	1	40038	47	229	1	0	-1	0	1	-1	-1	0
14065	1	40039	93	263	1	0	-1	0	1	-1	-1	0
14066	1	40040	166	269	1	0	-1	0	1	-1	-1	0
14067	1	40041	157	191	1	0	-1	0	1	-1	-1	0
14068	1	40042	51	129	1	0	-1	0	1	-1	-1	0
14069	1	40043	69	87	1	0	-1	0	1	-1	-1	0
14070	1	40044	137	66	1	0	-1	0	1	-1	-1	0
14071	1	40045	177	129	1	0	-1	0	1	-1	-1	0
14072	1	40046	47	229	1	0	-1	0	1	-1	-1	0
14073	1	40047	93	263	1	0	-1	0	1	-1	-1	0
14074	1	40048	166	269	1	0	-1	0	1	-1	-1	0
14075	1	40049	157	191	1	0	-1	0	1	-1	-1	0
15000	1	2033	59	58	1	0	-1	0	1	-1	-1	0
15001	2	40100	26	50	1	0	-1	0	1	-1	-1	0
15002	2	40100	18	68	1	0	-1	0	1	-1	-1	0
15003	2	40100	28	82	1	0	-1	0	1	-1	-1	0
15004	2	40100	50	100	1	0	-1	0	1	-1	-1	0
15005	2	40100	80	84	1	0	-1	0	1	-1	-1	0
15006	2	40100	104	56	1	0	-1	0	1	-1	-1	0
15007	2	40100	60	74	1	0	-1	0	1	-1	-1	0
15008	2	40100	36	28	1	0	-1	0	1	-1	-1	0
15009	2	40100	41	59	1	0	-1	0	1	-1	-1	0
15010	2	40100	84	52	1	0	-1	0	1	-1	-1	0
15011	2	40100	47	74	1	0	-1	0	1	-1	-1	0
15012	2	40100	31	67	1	0	-1	0	1	-1	-1	0
15013	2	40100	10	53	1	0	-1	0	1	-1	-1	0
15014	2	40100	55	44	1	0	-1	0	1	-1	-1	0
15015	3	40101	40	38	1	0	-1	0	1	-1	-1	0
15016	3	40102	64	62	1	0	-1	0	1	-1	-1	0
15017	3	40103	86	84	1	0	-1	0	1	-1	-1	0
15018	3	40101	33	27	1	0	-1	0	1	-1	-1	0
15019	3	40102	76	66	1	0	-1	0	1	-1	-1	0
15020	3	40103	54	47	1	0	-1	0	1	-1	-1	0
15021	3	40101	17	47	1	0	-1	0	1	-1	-1	0
15022	3	40102	76	68	1	0	-1	0	1	-1	-1	0
15023	3	40103	43	23	1	0	-1	0	1	-1	-1	0
16001	1	38001	31	47	1	0	-1	0	1	-1	-1	0
16002	1	38002	31	47	1	0	-1	0	1	-1	-1	0
16003	1	38003	31	47	1	0	-1	0	1	-1	-1	0
16004	1	38004	31	47	1	0	-1	0	1	-1	-1	0
16005	1	38005	31	47	1	0	-1	0	1	-1	-1	0
16006	2	38006	58	45	1	0	58,45:34,9	0	1	-1	-1	25
16007	2	38006	55	48	1	0	55,48:31,12	0	1	-1	-1	25
16008	2	38006	52	51	1	0	52,51:28,15	0	1	-1	-1	25
16009	2	38006	49	54	1	0	49,54:25,18	0	1	-1	-1	25
16010	2	38006	46	57	1	0	46,57:22,21	0	1	-1	-1	25
16011	2	38006	43	60	1	0	43,60:19,24	0	1	-1	-1	25
16012	2	38006	40	63	1	0	40,63:16,27	0	1	-1	-1	25
16013	2	38006	45	63	1	0	45,63:13,30	0	1	-1	-1	25
16014	2	38006	38	65	1	0	38,65:10,33	0	1	-1	-1	25
16015	2	38006	24	65	1	0	24,65:49,40	0	1	-1	-1	25
16016	2	38006	21	62	1	0	21,62:46,37	0	1	-1	-1	25
