INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT
35	圣妖之甲【神】	5	35	圣妖之甲【神】	35	0	7	600	9999
36	圣妖之链【神】	5	36	圣妖之链【神】	36	0	7	600	9999
37	圣妖之镯【神】	5	37	圣妖之镯【神】	37	0	7	600	9999
38	圣妖之鞋【神】	5	38	圣妖之鞋【神】	38	0	7	600	9999
101	圣妖皇冠【魔】	11	101	圣妖皇冠【魔】	1	0	7	300	9999
102	圣妖皇冠【仙】	11	102	圣妖皇冠【仙】	2	0	7	400	9999
103	圣妖皇冠【神】	11	103	圣妖皇冠【神】	3	0	7	500	9999
104	圣妖皇冠【圣】	11	104	圣妖皇冠【圣】	4	0	7	600	9999
201	白羊守护【妖】	12	201	白羊守护【妖】	1	0	7	100	9999
202	金牛守护【妖】	12	202	金牛守护【妖】	2	0	7	100	9999
203	双子守护【妖】	12	203	双子守护【妖】	3	0	7	100	9999
204	巨蟹守护【妖】	12	204	巨蟹守护【妖】	4	0	7	100	9999
205	狮子守护【妖】	12	205	狮子守护【妖】	5	0	7	100	9999
206	处女守护【妖】	12	206	处女守护【妖】	6	0	7	100	9999
207	天秤守护【妖】	12	207	天秤守护【妖】	7	0	7	100	9999
208	天蝎守护【妖】	12	208	天蝎守护【妖】	8	0	7	100	9999
209	射手守护【妖】	12	209	射手守护【妖】	9	0	7	100	9999
210	摩羯守护【妖】	12	210	摩羯守护【妖】	10	0	7	100	9999
211	水瓶守护【妖】	12	211	水瓶守护【妖】	11	0	7	100	9999
212	双鱼守护【妖】	12	212	双鱼守护【妖】	12	0	7	100	9999
213	白羊守护【魔】	13	213	白羊守护【魔】	13	0	7	300	9999
214	金牛守护【魔】	13	214	金牛守护【魔】	14	0	7	300	9999
215	双子守护【魔】	13	215	双子守护【魔】	15	0	7	300	9999
216	巨蟹守护【魔】	13	216	巨蟹守护【魔】	16	0	7	300	9999
217	狮子守护【魔】	13	217	狮子守护【魔】	17	0	7	300	9999
218	处女守护【魔】	13	218	处女守护【魔】	18	0	7	300	9999
219	天秤守护【魔】	13	219	天秤守护【魔】	19	0	7	300	9999
220	天蝎守护【魔】	13	220	天蝎守护【魔】	20	0	7	300	9999
221	射手守护【魔】	13	221	射手守护【魔】	21	0	7	300	9999
222	摩羯守护【魔】	13	222	摩羯守护【魔】	22	0	7	300	9999
223	水瓶守护【魔】	13	223	水瓶守护【魔】	23	0	7	300	9999
224	双鱼守护【魔】	13	224	双鱼守护【魔】	24	0	7	300	9999
225	白羊守护【仙】	14	225	白羊守护【仙】	25	0	7	400	9999
226	金牛守护【仙】	14	226	金牛守护【仙】	26	0	7	400	9999
227	双子守护【仙】	14	227	双子守护【仙】	27	0	7	400	9999
228	巨蟹守护【仙】	14	228	巨蟹守护【仙】	28	0	7	400	9999
229	狮子守护【仙】	14	229	狮子守护【仙】	29	0	7	400	9999
230	处女守护【仙】	14	230	处女守护【仙】	30	0	7	400	9999
231	天秤守护【仙】	14	231	天秤守护【仙】	31	0	7	400	9999
232	天蝎守护【仙】	14	232	天蝎守护【仙】	32	0	7	400	9999
233	射手守护【仙】	14	233	射手守护【仙】	33	0	7	400	9999
234	摩羯守护【仙】	14	234	摩羯守护【仙】	34	0	7	400	9999
235	水瓶守护【仙】	14	235	水瓶守护【仙】	35	0	7	400	9999
236	双鱼守护【仙】	14	236	双鱼守护【仙】	36	0	7	400	9999
237	白羊守护【神】	15	237	白羊守护【神】	37	0	7	500	9999
238	金牛守护【神】	15	238	金牛守护【神】	38	0	7	500	9999
239	双子守护【神】	15	239	双子守护【神】	39	0	7	500	9999
240	巨蟹守护【神】	15	240	巨蟹守护【神】	40	0	7	500	9999
241	狮子守护【神】	15	241	狮子守护【神】	41	0	7	500	9999
242	处女守护【神】	15	242	处女守护【神】	42	0	7	500	9999
243	天秤守护【神】	15	243	天秤守护【神】	43	0	7	500	9999
244	天蝎守护【神】	15	244	天蝎守护【神】	44	0	7	500	9999
245	射手守护【神】	15	245	射手守护【神】	45	0	7	500	9999
246	摩羯守护【神】	15	246	摩羯守护【神】	46	0	7	500	9999
247	水瓶守护【神】	15	247	水瓶守护【神】	47	0	7	500	9999
248	双鱼守护【神】	15	248	双鱼守护【神】	48	0	7	500	9999
301	高级藏宝图	16	301	高级藏宝图	1	0	4	200	9999
302	江山如画	16	302	江山如画	2	0	5	200	9999
303	魔界秘钥·三	16	303	魔界秘钥·三	3	0	4	400	9999
304	魔界秘钥·四	16	304	魔界秘钥·四	4	0	4	500	9999
305	等级丹(超级)	17	305	等级丹(超级)	3	0	5	200	299
306	等级丹(妖级)	17	306	等级丹(妖级)	4	0	6	300	399
307	等级丹(魔级)	17	307	等级丹(魔级)	5	0	7	400	499
308	等级丹(仙级)	17	308	等级丹(仙级)	6	0	7	500	599
309	圣体盾	16	309	圣体盾	6	0	7	250	9999
310	十步一杀	16	310	十步一杀	5	0	7	250	9999
311	等级丹(神级)	17	311	等级丹(神级)	7	0	7	600	9999
401	石化·暗影战魂	18	401	石化·暗影战魂	1	0	7	400	9999
402	赤焰·纵横传说	18	402	赤焰·纵横传说	2	0	7	400	9999
403	紫电·天地圣裁	18	403	紫电·天地圣裁	3	0	7	400	9999
404	重生·逍遥圣墟	18	404	重生·逍遥圣墟	4	0	7	400	9999
405	九霄·玄冰灵魄	18	405	九霄·玄冰灵魄	5	0	7	400	9999
406	救赎·修罗神火	18	406	救赎·修罗神火	6	0	7	400	9999
407	石化·遮天蔽日	19	407	石化·遮天蔽日	7	0	7	500	9999
408	赤焰·执掌乾坤	19	408	赤焰·执掌乾坤	8	0	7	500	9999
409	紫电·雷霆万钧	19	409	紫电·雷霆万钧	9	0	7	500	9999
410	重生·不死不灭	19	410	重生·不死不灭	10	0	7	500	9999
411	九霄·杀神诛仙	19	411	九霄·杀神诛仙	11	0	7	500	9999
412	救赎·无尽毁灭	19	412	救赎·无尽毁灭	12	0	7	500	9999
413	石化·诸神黄昏	20	413	石化·诸神黄昏	13	0	7	550	9999
414	赤焰·天地无极	20	414	赤焰·天地无极	14	0	7	550	9999
415	紫电·幽冥血煞	20	415	紫电·幽冥血煞	15	0	7	550	9999
416	重生·永生不灭	20	416	重生·永生不灭	16	0	7	550	9999
417	九霄·虚空主宰	20	417	九霄·虚空主宰	17	0	7	550	9999
418	救赎·至尊荣耀	20	418	救赎·至尊荣耀	18	0	7	550	9999
419	石化·万剑归一	38	419	石化·万剑归一	19	0	7	600	9999
420	赤焰·万剑归一	38	420	赤焰·万剑归一	20	0	7	600	9999
421	紫电·万剑归一	38	421	紫电·万剑归一	21	0	7	600	9999
422	重生·万剑归一	38	422	重生·万剑归一	22	0	7	600	9999
423	九霄·万剑归一	38	423	九霄·万剑归一	23	0	7	600	9999
424	救赎·万剑归一	38	424	救赎·万剑归一	24	0	7	600	9999
501	2级生命宝石	21	501	2级生命宝石	1	0	3	300	9999
502	3级生命宝石	21	502	3级生命宝石	2	0	4	300	9999
503	4级生命宝石	21	503	4级生命宝石	3	0	4	300	9999
504	5级生命宝石	21	504	5级生命宝石	4	0	5	300	9999
505	6级生命宝石	21	505	6级生命宝石	5	0	5	300	9999
506	7级生命宝石	21	506	7级生命宝石	6	0	6	300	9999
507	8级生命宝石	21	507	8级生命宝石	7	0	6	300	9999
508	9级生命宝石	21	508	9级生命宝石	8	0	7	350	9999
509	10级生命宝石	21	509	10级生命宝石	9	0	7	350	9999
510	11级生命宝石	21	510	11级生命宝石	10	0	7	400	9999
511	12级生命宝石	21	511	12级生命宝石	11	0	7	450	9999
512	13级生命宝石	21	512	13级生命宝石	12	0	7	500	9999
513	14级生命宝石	21	513	14级生命宝石	13	0	7	550	9999
514	15级生命宝石	21	514	15级生命宝石	14	0	7	600	9999
521	2级攻击宝石	22	521	2级攻击宝石	15	0	3	300	9999
522	3级攻击宝石	22	522	3级攻击宝石	16	0	4	300	9999
523	4级攻击宝石	22	523	4级攻击宝石	17	0	4	300	9999
524	5级攻击宝石	22	524	5级攻击宝石	18	0	5	300	9999
525	6级攻击宝石	22	525	6级攻击宝石	19	0	5	300	9999
526	7级攻击宝石	22	526	7级攻击宝石	20	0	6	300	9999
527	8级攻击宝石	22	527	8级攻击宝石	21	0	6	300	9999
528	9级攻击宝石	22	528	9级攻击宝石	22	0	7	350	9999
529	10级攻击宝石	22	529	10级攻击宝石	23	0	7	350	9999
530	11级攻击宝石	22	530	11级攻击宝石	24	0	7	400	9999
531	12级攻击宝石	22	531	12级攻击宝石	25	0	7	450	9999
532	13级攻击宝石	22	532	13级攻击宝石	26	0	7	500	9999
533	14级攻击宝石	22	533	14级攻击宝石	27	0	7	550	9999
534	15级攻击宝石	22	534	15级攻击宝石	28	0	7	600	9999
541	2级防御宝石	23	541	2级防御宝石	29	0	3	300	9999
542	3级防御宝石	23	542	3级防御宝石	30	0	4	300	9999
543	4级防御宝石	23	543	4级防御宝石	31	0	4	300	9999
544	5级防御宝石	23	544	5级防御宝石	32	0	5	300	9999
545	6级防御宝石	23	545	6级防御宝石	33	0	5	300	9999
546	7级防御宝石	23	546	7级防御宝石	34	0	6	300	9999
547	8级防御宝石	23	547	8级防御宝石	35	0	6	300	9999
548	9级防御宝石	23	548	9级防御宝石	36	0	7	350	9999
549	10级防御宝石	23	549	10级防御宝石	37	0	7	350	9999
550	11级防御宝石	23	550	11级防御宝石	38	0	7	400	9999
551	12级防御宝石	23	551	12级防御宝石	39	0	7	450	9999
552	13级防御宝石	23	552	13级防御宝石	40	0	7	500	9999
553	14级防御宝石	23	553	14级防御宝石	41	0	7	550	9999
554	15级防御宝石	23	554	15级防御宝石	42	0	7	600	9999
561	2级韧性宝石	24	561	2级韧性宝石	43	0	3	300	9999
562	3级韧性宝石	24	562	3级韧性宝石	44	0	4	300	9999
563	4级韧性宝石	24	563	4级韧性宝石	45	0	4	300	9999
564	5级韧性宝石	24	564	5级韧性宝石	46	0	5	300	9999
565	6级韧性宝石	24	565	6级韧性宝石	47	0	5	300	9999
566	7级韧性宝石	24	566	7级韧性宝石	48	0	6	300	9999
567	8级韧性宝石	24	567	8级韧性宝石	49	0	6	300	9999
568	9级韧性宝石	24	568	9级韧性宝石	50	0	7	350	9999
569	10级韧性宝石	24	569	10级韧性宝石	51	0	7	350	9999
570	11级韧性宝石	24	570	11级韧性宝石	52	0	7	400	9999
571	12级韧性宝石	24	571	12级韧性宝石	53	0	7	450	9999
572	13级韧性宝石	24	572	13级韧性宝石	54	0	7	500	9999
573	14级韧性宝石	24	573	14级韧性宝石	55	0	7	550	9999
574	15级韧性宝石	24	574	15级韧性宝石	56	0	7	600	9999
601	太初飞羽【妖】	25	601	太初飞羽【妖】	1	0	7	350	9999
602	两仪肩翼【妖】	25	602	两仪肩翼【妖】	2	0	7	350	9999
603	三才纤羽【妖】	25	603	三才纤羽【妖】	3	0	7	350	9999
604	四象尾翼【妖】	25	604	四象尾翼【妖】	4	0	7	350	9999
605	五行翎羽【妖】	25	605	五行翎羽【妖】	5	0	7	350	9999
606	六合甲翼【妖】	25	606	六合甲翼【妖】	6	0	7	350	9999
607	太初飞羽【魔】	26	607	太初飞羽【魔】	7	0	7	400	9999
608	两仪肩翼【魔】	26	608	两仪肩翼【魔】	8	0	7	400	9999
609	三才纤羽【魔】	26	609	三才纤羽【魔】	9	0	7	400	9999
610	四象尾翼【魔】	26	610	四象尾翼【魔】	10	0	7	400	9999
611	五行翎羽【魔】	26	611	五行翎羽【魔】	11	0	7	400	9999
612	六合甲翼【魔】	26	612	六合甲翼【魔】	12	0	7	400	9999
613	太初飞羽【仙】	27	613	太初飞羽【仙】	13	0	7	450	9999
614	两仪肩翼【仙】	27	614	两仪肩翼【仙】	14	0	7	450	9999
615	三才纤羽【仙】	27	615	三才纤羽【仙】	15	0	7	450	9999
616	四象尾翼【仙】	27	616	四象尾翼【仙】	16	0	7	450	9999
617	五行翎羽【仙】	27	617	五行翎羽【仙】	17	0	7	450	9999
618	六合甲翼【仙】	27	618	六合甲翼【仙】	18	0	7	450	9999
619	太初飞羽【神】	28	619	太初飞羽【神】	19	0	7	500	9999
620	两仪肩翼【神】	28	620	两仪肩翼【神】	20	0	7	500	9999
621	三才纤羽【神】	28	621	三才纤羽【神】	21	0	7	500	9999
622	四象尾翼【神】	28	622	四象尾翼【神】	22	0	7	500	9999
623	五行翎羽【神】	28	623	五行翎羽【神】	23	0	7	500	9999
624	六合甲翼【神】	28	624	六合甲翼【神】	24	0	7	500	9999
625	太初飞羽【圣】	29	625	太初飞羽【圣】	25	0	7	550	9999
626	两仪肩翼【圣】	29	626	两仪肩翼【圣】	26	0	7	550	9999
627	三才纤羽【圣】	29	627	三才纤羽【圣】	27	0	7	550	9999
628	四象尾翼【圣】	29	628	四象尾翼【圣】	28	0	7	550	9999
629	五行翎羽【圣】	29	629	五行翎羽【圣】	29	0	7	550	9999
630	六合甲翼【圣】	29	630	六合甲翼【圣】	30	0	7	550	9999
701	远古魔符容器	30	701	远古魔符容器	1	0	7	350	9999
801	巨眼魔符【太古】	31	801	巨眼魔符【太古】	2	0	7	350	9999
802	猎首魔符【太古】	31	802	猎首魔符【太古】	3	0	7	350	9999
803	獠牙魔符【太古】	31	803	獠牙魔符【太古】	4	0	7	350	9999
804	脊甲魔符【太古】	31	804	脊甲魔符【太古】	5	0	7	350	9999
805	圣羽魔符【太古】	31	805	圣羽魔符【太古】	6	0	7	350	9999
806	利爪魔符【太古】	31	806	利爪魔符【太古】	7	0	7	350	9999
807	禁锢魔符【太古】	31	807	禁锢魔符【太古】	8	0	7	350	9999
808	死灵魔符【太古】	31	808	死灵魔符【太古】	9	0	7	350	9999
809	燃晶魔符【太古】	31	809	燃晶魔符【太古】	10	0	7	350	9999
810	巨眼魔符【创世】	32	810	巨眼魔符【创世】	11	0	7	350	9999
811	猎首魔符【创世】	32	811	猎首魔符【创世】	12	0	7	350	9999
812	獠牙魔符【创世】	32	812	獠牙魔符【创世】	13	0	7	350	9999
813	脊甲魔符【创世】	32	813	脊甲魔符【创世】	14	0	7	350	9999
814	圣羽魔符【创世】	32	814	圣羽魔符【创世】	15	0	7	350	9999
815	利爪魔符【创世】	32	815	利爪魔符【创世】	16	0	7	350	9999
816	禁锢魔符【创世】	32	816	禁锢魔符【创世】	17	0	7	350	9999
817	死灵魔符【创世】	32	817	死灵魔符【创世】	18	0	7	350	9999
818	燃晶魔符【创世】	32	818	燃晶魔符【创世】	19	0	7	350	9999
910	巨眼魔符【灭世】	33	900	巨眼魔符【灭世】	20	0	7	350	9999
911	猎首魔符【灭世】	33	901	猎首魔符【灭世】	21	0	7	350	9999
912	獠牙魔符【灭世】	33	902	獠牙魔符【灭世】	22	0	7	350	9999
913	脊甲魔符【灭世】	33	903	脊甲魔符【灭世】	23	0	7	350	9999
914	圣羽魔符【灭世】	33	904	圣羽魔符【灭世】	24	0	7	350	9999
915	利爪魔符【灭世】	33	905	利爪魔符【灭世】	25	0	7	350	9999
916	禁锢魔符【灭世】	33	906	禁锢魔符【灭世】	26	0	7	350	9999
917	死灵魔符【灭世】	33	907	死灵魔符【灭世】	27	0	7	350	9999
918	燃晶魔符【灭世】	33	908	燃晶魔符【灭世】	28	0	7	350	9999
819	希望特戒	39	819	希望特戒	1	0	7	100	9999
820	信仰特戒	39	820	信仰特戒	2	0	7	100	9999
821	永恒特戒	39	821	永恒特戒	3	0	7	100	9999
822	命运特戒	39	822	命运特戒	4	0	7	100	9999
823	末日特戒	39	823	末日特戒	5	0	7	100	9999
824	毁灭特戒	39	824	毁灭特戒	6	0	7	100	9999
825	希望特戒【妖】	40	825	希望特戒【妖】	7	0	7	250	9999
826	信仰特戒【妖】	40	826	信仰特戒【妖】	8	0	7	250	9999
827	永恒特戒【妖】	40	827	永恒特戒【妖】	9	0	7	250	9999
828	命运特戒【妖】	40	828	命运特戒【妖】	10	0	7	250	9999
829	末日特戒【妖】	40	829	末日特戒【妖】	11	0	7	250	9999
830	毁灭特戒【妖】	40	830	毁灭特戒【妖】	12	0	7	250	9999
831	希望特戒【魔】	41	831	希望特戒【魔】	13	0	7	350	9999
832	信仰特戒【魔】	41	832	信仰特戒【魔】	14	0	7	350	9999
833	永恒特戒【魔】	41	833	永恒特戒【魔】	15	0	7	350	9999
834	命运特戒【魔】	41	834	命运特戒【魔】	16	0	7	350	9999
835	末日特戒【魔】	41	835	末日特戒【魔】	17	0	7	350	9999
836	毁灭特戒【魔】	41	836	毁灭特戒【魔】	18	0	7	350	9999
837	希望特戒【仙】	42	837	希望特戒【仙】	19	0	7	450	9999
838	信仰特戒【仙】	42	838	信仰特戒【仙】	20	0	7	450	9999
839	永恒特戒【仙】	42	839	永恒特戒【仙】	21	0	7	450	9999
840	命运特戒【仙】	42	840	命运特戒【仙】	22	0	7	450	9999
841	末日特戒【仙】	42	841	末日特戒【仙】	23	0	7	450	9999
842	毁灭特戒【仙】	42	842	毁灭特戒【仙】	24	0	7	450	9999
843	希望特戒【神】	43	843	希望特戒【神】	25	0	7	550	9999
844	信仰特戒【神】	43	844	信仰特戒【神】	26	0	7	550	9999
845	永恒特戒【神】	43	845	永恒特戒【神】	27	0	7	550	9999
846	命运特戒【神】	43	846	命运特戒【神】	28	0	7	550	9999
847	末日特戒【神】	43	847	末日特戒【神】	29	0	7	550	9999
848	毁灭特戒【神】	43	848	毁灭特戒【神】	30	0	7	550	9999
849	兽盔【妖】	44	849	兽盔【妖】	1	0	7	1	9999
850	背甲【妖】	44	850	背甲【妖】	2	0	7	1	9999
851	项圈【妖】	44	851	项圈【妖】	3	0	7	1	9999
852	利爪【妖】	44	852	利爪【妖】	4	0	7	1	9999
853	挂件【妖】	44	853	挂件【妖】	5	0	7	1	9999
854	徽章【妖】	44	854	徽章【妖】	6	0	7	1	9999
855	兽盔【魔】	45	855	兽盔【魔】	7	0	7	1	9999
856	背甲【魔】	45	856	背甲【魔】	8	0	7	1	9999
857	项圈【魔】	45	857	项圈【魔】	9	0	7	1	9999
858	利爪【魔】	45	858	利爪【魔】	10	0	7	1	9999
859	挂件【魔】	45	859	挂件【魔】	11	0	7	1	9999
860	徽章【魔】	45	860	徽章【魔】	12	0	7	1	9999
861	兽盔【仙】	46	861	兽盔【仙】	13	0	7	1	9999
862	背甲【仙】	46	862	背甲【仙】	14	0	7	1	9999
863	项圈【仙】	46	863	项圈【仙】	15	0	7	1	9999
864	利爪【仙】	46	864	利爪【仙】	16	0	7	1	9999
865	挂件【仙】	46	865	挂件【仙】	17	0	7	1	9999
866	徽章【仙】	46	866	徽章【仙】	18	0	7	1	9999
867	兽盔【神】	47	867	兽盔【神】	19	0	7	1	9999
868	背甲【神】	47	868	背甲【神】	20	0	7	1	9999
869	项圈【神】	47	869	项圈【神】	21	0	7	1	9999
870	利爪【神】	47	870	利爪【神】	22	0	7	1	9999
871	挂件【神】	47	871	挂件【神】	23	0	7	1	9999
872	徽章【神】	47	872	徽章【神】	24	0	7	1	9999
873	兽盔【圣】	48	873	兽盔【圣】	25	0	7	1	9999
874	背甲【圣】	48	874	背甲【圣】	26	0	7	1	9999
875	项圈【圣】	48	875	项圈【圣】	27	0	7	1	9999
876	利爪【圣】	48	876	利爪【圣】	28	0	7	1	9999
877	挂件【圣】	48	877	挂件【圣】	29	0	7	1	9999
878	徽章【圣】	48	878	徽章【圣】	30	0	7	1	9999
