INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	STRING	STRING
52	双11首冲	2	102	48	双11每日首冲	openPanel|activityEveryDayChargePanel|0	0	0	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
53	护送圣兽	2	102	49	护送与劫杀，谁能最终获胜，谁就将获得巨额的奖励	NPC|374017	1	26	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
54	魔域打年	2	110	52	点击查看魔域打年活动	openPanel|moYuFuBenEnterPanel|0	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
55	情人节BOSS	2	18	62	点击前往击杀情人节BOSS	autoPath|1|80011|9|69	1	27	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
56	魔·雪域走廊	3	11	55	魔·雪域走廊，掉落大量女神之泪	openPanel|iceBossPanel|1	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
57	黑市	2	97	56	在黑市中可以购买到一些别处没有的珍惜物品	openPanel|blackMarketPanel|1	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
58	星辰目标	3	10	60	完成星辰目标，获得强大属性	openPanel|xingChenPanel|1	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
59	V计划	2	4	64	点击查看360V计划	openPanel|vPlanPanel|1	0	0	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
60	360加速特权	2	5	65	点击领取360加速特权礼包	openPanel|speed360RewardPanel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
61	老玩家召回	2	105	68	点击查看回归福利活动	openPanel|playerBackPanel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
62	360卫士特权	2	80	70	点击查看360卫士特权	openPanel|teQuan360RewardPanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	1	-1	-1
63	手机验证	2	7	72	手机验证领取豪华大礼	openPanel|phone37wanPanel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
64	搜狗大厅	2	210	74	搜狗游戏大厅登陆领好礼	openPanel|app360Panel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
65	迅雷大厅	2	3	75	迅雷游戏大厅登陆领好礼	openPanel|app360Panel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
66	超级会员	2	8	76	超级会员特权	openPanel|SuperVipPanel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
67	搜狗皮肤	2	210	77	搜狗皮肤特权	openPanel|skinEnterGamePanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	1	-1	-1
68	情义大礼包	2	108	79	免费领取情义佩大礼包	openPanel|qingYiGiftPanel|0	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
69	37游戏盒子	2	3	78	37游戏盒子登陆领好礼	openPanel|app360Panel|1	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
70	顺网会员礼包	2	9	83	达到顺网会员等级，可领取游戏礼包奖励	openPanel|shunWangVipPanel|1	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
71	跨服奖池	2	111	85	点击查看跨服钻石奖池	openPanel|kuaFuTurntablePanel|0	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
72	顺网微信礼包	2	1	88	扫二维码关注送专属微信礼包	openPanel|weiXin360Panel|1	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
73	黄钻特权	2	221	89	点击查看黄钻特权	openPanel|yellowDiamondPanel|1	0	0	1	0	0	1|2	1	0	1	-1	-1	0	qq	-1
74	邀请好友	2	9	90	邀请好友	invite	0	0	0	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
75	蓝钻特权状态1	2	220	91	蓝钻贵族享受以下特权：\n1、每日特权礼包\n2、蓝钻年费每日奖额外领取超级奖励\n3、蓝钻超级新人礼包\n4、蓝钻尊贵标志\n5、升级领取游戏奖励\n6、充值享受8折优惠	openPanel|blueDiamondPanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	0	qq	-1
76	续费蓝钻	2	225	93	限时续费蓝钻获得超值礼包！	openPanel|blueDiamondXuFeiPanel|1	1	0	0	0	1	1|2	0	1	1	-1	-1	0	qq	-1
77	蓝钻特权状态2	2	226	94	蓝钻贵族享受以下特权：\n1、每日特权礼包\n2、蓝钻年费每日奖额外领取超级奖励\n3、蓝钻超级新人礼包\n4、蓝钻尊贵标志\n5、升级领取游戏奖励\n6、充值享受8折优惠	openPanel|blueDiamondPanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	0	qq	-1
78	七日登录	2	112	2012	七日登录极致体验	openPanel|SevenDayLoginPanel	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
79	TGP特权	2	4	96	点击查看TGP特权	openPanel|QQTGPTeQuanPanel|1	0	0	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
80	心怡会员	2	210	97	查看心怡会员特权	openPanel|GS360Panel	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
81	大厅特权	2	4	98	点击查看大厅特权	openPanel|QQTGPTeQuanPanel|1	0	0	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
82	世界事件	3	39	2006	世界事件	openPanel|worldEventPanel|0	0	0	1	1	1	1|2	1	0	40	-1	-1	1	-1	-1
83	世界事件1	3	39	20	第一章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170101	1	-1	-1
84	世界事件2	3	39	20	第二章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170102	1	-1	-1
85	世界事件3	3	39	20	第三章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170103	1	-1	-1
86	世界事件4	3	39	20	第四章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170104	1	-1	-1
87	世界事件5	3	39	20	第五章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170105	1	-1	-1
88	世界事件6	3	39	20	第六章节世界事件	autoPath|1|1007|14|136	1	28	1	1	1	1|2	1	0	40	-1	170106	1	-1	-1
89	副本大厅	3	1	2001	副本大厅	openPanel|fuBenEnterPanel|1	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
90	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170107	1	-1	-1
91	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170108	1	-1	-1
92	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170109	1	-1	-1
93	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170110	1	-1	-1
94	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170111	1	-1	-1
95	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170112	1	-1	-1
96	世界BOSS	3	12	20	世界BOSS	openPanel|BOSSPanel|5	1	29	1	1	1	1|2	1	0	1	-1	170113	1	-1	-1
97	赫拉迪姆卡牌	3	20	2004	赫拉迪姆卡牌	openPanel|cardBagPanel|0	0	0	0	0	1	1|2	0	0	120	-1	-1	1	-1	-1
98	赫拉迪姆议会	3	19	2007	赫拉迪姆议会	openPanel|parliamentPanel|1	0	0	0	0	1	1|2	0	0	2	-1	-1	1	-1	-1
99	至高天秘境	3	22	20	至高天秘境	openPanel|parliamentLieFengTab	1	30	1	0	1	1|2	0	0	200	-1	-1	1	-1	-1
100	神秘庇护所	3	23	20	神秘庇护所	openPanel|parliamentLieFengTab	1	31	1	0	1	1|2	0	0	200	-1	-1	1	-1	-1
101	爵位任务	3	24	2008	爵位任务	openPanel|JueWeiPromotionPanel	0	0	0	0	1	1|2	0	0	200	-1	-1	1	-1	-1
103	开服活动	2	26	118	开服活动	openPanel|zongHeYunYingHDPanel	0	0	1	0	1	1|2	0	0	1	-1	-1	1	-1	-1
104	副本找回	2	28	20	副本找回	openPanel|SearchBackPanel	1	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
105	七日登录	2	29	109	七日登录	openPanel|SevenDayLoginPanel	0	0	1	0	1	1|2	0	0	105	-1	-1	1	-1	-1
106	宏伟秘境	3	26	2009	宏伟秘境	openPanel|daMiJingPanel	0	0	1	0	1	1|2	0	0	1	-1	-1	1	-1	-1
107	无尽荒野	2	114	2013	无尽荒野	openPanel|wuJinHuangYePanel	0	0	1	0	1	1|2	0	0	300	-1	-1	1	-1	-1
108	你提我改	3	36	123	你提我改	openPanel|SubmitErrorPanel	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
109	等级炼制	2	30	115	等级炼制	openPanel|ExpPanelView	0	0	0	0	1	1|2	1	1	110	-1	-1	1	-1	-1
110	极限挑战	3	50	107	超高爆率，终极装备等你来	NPC|1103	1	37	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
111	双倍押镖	3	32	106	双倍押镖	openPanel|ActivityPanel|1	1	38	1	1	1	1|2	0	0	130	-1	-1	1	-1	-1
112	双倍押镖	3	32	106	双倍押镖	openPanel|ActivityPanel|1	1	39	1	1	1	1|2	0	0	130	-1	-1	1	-1	-1
113	双倍押镖	3	32	106	双倍押镖	openPanel|ActivityPanel|1	1	40	1	1	1	1|2	0	0	130	-1	-1	1	-1	-1
114	元宝悬赏	3	31	120	元宝悬赏	openPanel|coinsRewardPanel	0	0	0	0	1	1|2	1	0	100	-1	-1	1	-1	-1
115	功能开启	2	34	121	功能开启	openPanel|toolOpenPanel	0	0	0	1	1	1|2	0	0	99999	-1	-1	1	-1	-1
116	封测活动	2	35	122	封测活动	openPanel|sealTestPanel	0	0	1	0	1	1|2	0	0	1	-1	-1	1	-1	-1
117	QQ群	3	38	124	QQ群	openPanel|qqQunPanel	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
118	微端登录	3	37	125	微端登录	openPanel|weiDuanLoadPanel	0	0	1	0	1	1|2	0	1	100	-1	-1	1	-1	-1
119	激情泡点	3	51	126	挂机领神秘积分	NPC|2020	1	41	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
120	活跃度	2	36	127	活跃度	openPanel|huoYueDuPanelUI	0	0	1	0	1	1|3	0	0	140	-1	-1	1	-1	-1
121	超值特惠	1	1	129	超值特惠	openPanel|chaoZhiTeHuiGiftPanel	0	0	1	0	1	1|3	0	0	100	-1	-1	1	-1	-1
122	珍宝阁	2	41	130	珍宝阁	openPanel|zhenBaoGePanel	0	0	1	0	1	1|3	0	0	100	-1	-1	1	-1	-1
123	切割契约	2	42	131	切割契约	openPanel|shenShouJiangLinPanel	0	0	0	0	1	1|2	0	0	100	-1	-1	1	-1	-1
124	夜叉降临	3	53	132	银翅夜叉降临	openPanel|openServerActivityPanel|9	1	42	1	1	1	1|2	0	0	1	-1	-1	1	-1	-1
125	夏日狂欢	2	11	118	夏日狂欢	-1	0	0	1	0	1	1|2	0	0	1	-1	-1	1	-1	-1
126	福利转盘	3	33	133	福利转盘	openPanel|fuLiTurntablePanel	0	0	0	0	1	1|2	0	0	130	-1	-1	1	-1	-1
127	幻羽盛宴	3	54	35	饕餮巨兽降临	autoPath|1|50001|145|75	1	43	1	1	1	1|2	0	0	300	-1	-1	1	-1	-1
128	公测活动	2	110	1125	点击查看活动	openPanel|betaActivityPanel|0	0	0	0	0	1	1|2	0	1	100	-1	-1	1	-1	-1
129	公测BOSS	3	54	35	地狱魔蛆★★★★降临	autoPath|1|50133|108|96	1	44	1	1	1	1|2	0	0	220	-1	-1	1	-1	-1
130	平台庆典	2	199	140	点击查看360平台公测活动	callJs|OpenWin|w360	0	0	0	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
131	魔界商人	2	180	147	魔界商人提供超值器灵材料	openPanel|moJieBusinessmanPanel	0	0	0	0	1	1|2	0	0	300	-1	-1	1	-1	-1
132	跨服战场	3	58	149	跨服战场	openPanel|kuaFuActivityPanel|1	0	45	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
133	超级投资	3	290	202	投资钻石100%收益	openPanel|touZi30Panel	0	0	1	0	1	1|2	0	1	100	-1	-1	1	-1	-1
134	七日投资	3	290	201	投资钻石100%收益	openPanel|touZi7Panel	0	0	1	0	1	1|2	0	1	100	-1	-1	1	-1	-1
135	活动BOSS	3	54	35	活动BOSS	autoPath|1|50133|108|96	1	46	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
136	跨服战场	3	58	149	跨服战场	openPanel|kuaFuActivityPanel|3	1	48	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
137	天工熔炉	2	37	209	天工熔炉	openPanel|equipRongLianEnterPanel	0	0	0	1	1	1|2	0	1	200	-1	-1	1	-1	-1
138	七日封神	2	43	220	七日封神奖励	openPanel|sevenDayGodPanel	0	0	1	0	1	1|2	0	0	100	-1	-1	1	-1	-1
139	魔界封印	3	32	14	魔界封印	enterActivity|17	1	0	0	1	1	1|2	0	0	100	-1	-1	1	-1	-1
140	魔界封印	3	32	14	魔界封印	enterActivity|18	1	0	0	1	1	1|2	0	0	100	-1	-1	1	-1	-1
141	贵族俱乐部	3	29	10	VIP贵族尊享福利\n精彩不容错过	openPanel|VipClubPanel|0	0	0	0	0	0	1|2	0	1	70	-1	-1	1	-1	-1
142	跨服·圣域争霸	2	32	1166	跨服·圣域争霸	openPanel|kuaFuActivityPanel|6	1	56	1	1	1	1|2	0	0	350	-1	-1	1	-1	-1
168	QQ空间大厅	2	220	157	来自QQ空间游戏中心的问候	openPanel|qZonePanel|1	0	0	0	0	0	1|2	1	1	1	-1	-1	0	qq	-1
169	黄钻新手礼包	2	223	156	黄钻新手礼包	openPanel|yellowDiamondPanel|2	0	0	0	0	0	1|2	1	1	99999	-1	-1	0	qq	-1
172	黄钻特权	2	222	89	黄钻特权	openPanel|yellowDiamondPanel|1	0	0	0	0	0	1|2	1	1	1	-1	-1	0	qq	-1
173	QQ游戏大厅	2	224	158	QQ游戏大厅登录游戏享受以下特权：\n1、大厅用户新手礼包\n2、每日活跃礼包\n3、游戏成长礼包	openPanel|qqGamePanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	0	qq	-1
174	0元购宠	2	45	101	0元购灵宠，拾取装备更轻松	openPanel|zeroBuyPetPanel	0	0	0	0	1	1|3	0	1	120	-1	-1	1	-1	-1
175	充值豪礼	2	338	265	累计充值，豪礼相送	openPanel|chargeBigGiftPanel	0	0	0	0	1	1|2	0	1	100	-1	-1	1	-1	-1
176	宝藏猎人	2	339	266	寻宝返利	openPanel|treasureHunterPanel	0	0	0	0	1	1|2	0	1	150	-1	-1	1	-1	-1
1000	-1	2	3	74	-1	-1	0	0	0	0	1	1|2	1	1	9999	-1	-1	1	-1	-1
1001	-1	2	9	83	-1	-1	0	0	0	0	1	1|2	1	1	9999	-1	-1	1	-1	-1
1002	-1	2	1	88	-1	-1	0	0	1	0	1	1|2	1	1	9999	-1	-1	1	-1	-1
1003	多玩微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	duowanclouds	-1
1004	多玩大厅特权	2	201	74	多玩大厅特权	openPanel|yyDaTingPanel	0	0	0	0	0	1|2	1	1	1	-1	-1	1	duowanclouds	-1
1005	YY会员特权	2	202	138	多玩会员特权	openPanel|YYVipViewPanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	1	duowanclouds	-1
1008	搜狗大厅特权	2	205	134	搜狗大厅特权	openPanel|sougouHallPanel|1	0	0	0	0	1	1|2	0	1	1	-1	-1	1	sogou	-1
1009	搜狗超级会员	2	206	76	搜狗超级会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	sogou	-1
1011	趣酷超级会员	2	208	76	趣酷超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	17kxgame	-1
1012	飞火手机认证	2	209	72	飞火手机认证	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	feihuo	-1
1013	飞火超级会员	2	210	76	飞火超级会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	feihuo	-1
1015	迅雷盒子	2	212	75	迅雷游戏盒子	openPanel|xunLeiBoxPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	niuxyx	-1
1016	顺网超级VIP	2	213	76	超级VIP客服	openPanel|SuperVipPanel|1	0	0	0	0	1	1|2	1	1	1	-1	-1	1	swjoy	-1
1018	迅雷盒子下载	2	215	137	迅雷游戏盒子下载	openPanel|xunLeiBoxLoadPanel	0	0	0	0	0	1|2	1	1	1	-1	-1	1	niuxyx	-1
1019	迅雷金钻大厅	2	216	136	迅雷金钻大厅	openPanel|xunLeiJinZuanPanel	0	0	0	0	0	1|2	1	1	1	-1	-1	1	niuxyx	-1
1020	易乐玩超级会员	2	217	76	易乐玩超级会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	yilewan	-1
1021	贵宾服务	2	218	76	迅雷贵宾服务	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	niuxyx	-1
1022	迅雷手机绑定	2	214	72	迅雷手机认证	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	niuxyx	-1
1023	ku25超级会员	2	208	76	ku25超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ku25	-1
1026	2217福利	2	213	141	2217福利大厅	openPanel|skinEnterGamePanel|1	0	0	0	0	1	1|2	1	1	1	-1	-1	1	2217	-1
1027	2217身份验证	2	210	142	2217身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	2217	-1
1028	2217手机绑定	2	210	72	2217手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	2217	-1
1029	2217超级会员	2	208	76	2217超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	2217	-1
1030	搜狗手机认证	2	211	72	搜狗手机认证	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	sogou	-1
1031	超级会员	2	208	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	pps	-1
1032	4366特权大厅	2	210	143	4366特权大厅	openPanel|daTingPanel	0	0	1	0	0	1|2	1	1	1	-1	-1	1	4366	-1
1033	特牛大厅特权	2	220	145	特牛大厅特权	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	te6	-1
1034	特牛会员	2	221	146	特牛会员	openPanel|daTingVipPanel	0	0	1	0	0	1|2	1	1	1	-1	-1	1	te6	-1
1036	特牛手机绑定	2	210	72	特牛手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	9999	-1	-1	1	te6	-1
1037	602手机绑定	2	210	72	602手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	602	-1
1038	顺网微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	swjoy	-1
1039	酷趣微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	17kxgame	-1
1040	迅雷微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	niuxyx	-1
1041	ku25微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ku25	-1
1042	2217微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	2217	-1
1043	602微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	602	-1
