INT	STRING	INT	STRING	STRING	STRING	INT	STRING
44	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|27%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|30%|#debc6a|物理伤害。	72	-1
45	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|30%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|33%|#debc6a|物理伤害。	72	-1
46	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|33%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|37%|#debc6a|物理伤害。	72	-1
47	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|37%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|41%|#debc6a|物理伤害。	72	-1
48	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|41%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|45%|#debc6a|物理伤害。	72	-1
49	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|45%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|50%|#debc6a|物理伤害。	72	-1
50	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|50%|#debc6a|物理伤害。	#debc6a|满级效果谁与争锋	72	-1
61	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害80#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升5%	4	-1
62	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害85#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升5%	4	-1
63	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害90#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升5%	4	-1
64	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害95#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升5%	4	-1
65	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害100#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升52.1%	4	-1
66	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害152.1#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升1.5%	4	-1
67	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害153.6#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升1.6%	4	-1
68	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害155.2#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升1.5%	4	-1
69	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害156.7#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|造成的伤害提升3%	4	-1
70	旋风斩	1	物理	每0.5秒对周围4格内最多6个敌人造成基础伤害159.7#1%的物理伤害，旋风斩期间无法被控制技能影响，持续3秒	#00ff00|技能已达到最高等级	4	-1
71	加速陷阱	1	无	玩家拾取加速buff	#00ff00|技能已达到最高等级	11	-1
72	加防陷阱	1	无	玩家拾取加防buff	#00ff00|技能已达到最高等级	11	-1
73	加攻陷阱	1	无	玩家拾取加攻buff	#00ff00|技能已达到最高等级	11	-1
74	自爆	1	物理	僵尸自爆	#00ff00|技能已达到最高等级	11	-1
151	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害80%的物理伤害	#00ff00|造成的伤害提升5%	11	-1
152	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害85%的物理伤害	#00ff00|造成的伤害提升5%	11	-1
153	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害90%的物理伤害	#00ff00|造成的伤害提升5%	11	-1
154	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害95%的物理伤害	#00ff00|造成的伤害提升5%	11	-1
155	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害100%的物理伤害	#00ff00|造成的伤害提升246.8%	11	-1
156	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害346.8%的物理伤害	#00ff00|造成的伤害提升33.8%	11	-1
157	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害380.6%的物理伤害	#00ff00|造成的伤害提升33.8%	11	-1
158	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害414.4%的物理伤害	#00ff00|造成的伤害提升33.9%	11	-1
159	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害448.3%的物理伤害	#00ff00|造成的伤害提升67.6%	11	-1
160	战斗之吼	1	物理	对周围4格内最多4个敌人造成基础伤害515.9%的物理伤害	#00ff00|技能已达到最高等级	11	-1
171	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加57.5%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
172	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加60%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
173	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加62.5%的防御值，持续10#7秒	#00ff00|额外提升3%的防御值	12	-1
174	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加65.5%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
175	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加68%的防御值，持续10#7秒	#00ff00|额外提升5%的防御值	12	-1
176	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加73%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
177	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加75.5%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
178	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加78%的防御值，持续10#7秒	#00ff00|额外提升2.5%的防御值	12	-1
179	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加80.5%的防御值，持续10#7秒	#00ff00|额外提升5.5%的防御值	12	-1
180	警示之吼	1	无	发出示警的怒吼，给周围12格内的小队成员增加86%的防御值，持续10#7秒	#00ff00|技能已达到最高等级	12	-1
191	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
192	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
193	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
194	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
195	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
196	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
197	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
198	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
199	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|造成的伤害提升0%	13	-1
200	血性之吼	1	无	对周围6格内最多5个敌人造成基础伤害0%的无伤害	#00ff00|技能已达到最高等级	13	-1
211	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害80#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
212	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害85#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
213	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害90#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
214	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害95#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
215	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害100#1%的物理伤害	#00ff00|造成的伤害提升88%	14	-1
216	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害418#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
217	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害462#1%的物理伤害	#00ff00|造成的伤害提升44%	14	-1
218	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害506#1%的物理伤害	#00ff00|造成的伤害提升45%	14	-1
219	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害551#1%的物理伤害	#00ff00|造成的伤害提升88%	14	-1
220	狂暴怒吼	1	物理	对周围5格内最多6个敌人造成基础伤害639#1%的物理伤害	#00ff00|技能已达到最高等级	14	-1
301	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害80%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
302	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害85%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
303	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害90%的神圣伤害	#00ff00|造成的伤害提升36%	21	-1
304	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害95%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
305	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害100%的神圣伤害	#00ff00|造成的伤害提升70%	21	-1
306	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害433.4%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
307	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害479.6%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
308	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害525.7%的神圣伤害	#00ff00|造成的伤害提升35%	21	-1
309	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害571.9%的神圣伤害	#00ff00|造成的伤害提升71%	21	-1
310	圣光斩	1	神圣	将圣光凝聚在剑刃上斩出，对前方8格内单个敌人造成基础伤害664.3%的神圣伤害	#00ff00|技能已达到最高等级	21	-1
321	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害80%的无伤害	#00ff00|造成的伤害提升0%	22	-1
322	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害85%的无伤害	#00ff00|造成的伤害提升0%	22	-1
323	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害90%的无伤害	#00ff00|造成的伤害提升0%	22	-1
324	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害95%的无伤害	#00ff00|造成的伤害提升0%	22	-1
325	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害100%的无伤害	#00ff00|造成的伤害提升0%	22	-1
326	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害152.1%的无伤害	#00ff00|造成的伤害提升0%	22	-1
327	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害153.6%的无伤害	#00ff00|造成的伤害提升0%	22	-1
328	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害155.2%的无伤害	#00ff00|造成的伤害提升0%	22	-1
329	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害156.7%的无伤害	#00ff00|造成的伤害提升0%	22	-1
330	牺牲	1	无	在自己身边召唤出神圣法锤，对周围格内最多6个敌人造成基础伤害159.7%的无伤害	#00ff00|技能已达到最高等级	22	-1
341	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害80#1%的神圣伤害	#00ff00|造成的伤害提升1%	23	-1
342	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害85#1%的神圣伤害	#00ff00|造成的伤害提升2%	23	-1
343	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害90#1%的神圣伤害	#00ff00|造成的伤害提升2%	23	-1
344	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害95#1%的神圣伤害	#00ff00|造成的伤害提升2%	23	-1
345	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害100#1%的神圣伤害	#00ff00|造成的伤害提升3%	23	-1
346	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害126#1%的神圣伤害	#00ff00|造成的伤害提升2%	23	-1
347	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害128#1%的神圣伤害	#00ff00|造成的伤害提升1%	23	-1
348	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害129#1%的神圣伤害	#00ff00|造成的伤害提升2%	23	-1
349	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害131#1%的神圣伤害	#00ff00|造成的伤害提升4%	23	-1
350	祝福之锤	1	神圣	在自己身边召唤出神圣法锤，每1秒对周围格内最多6个敌人造成基础伤害135#1%的神圣伤害	#00ff00|技能已达到最高等级	23	-1
361	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害154#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
362	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害198#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
363	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害242#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
364	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害286#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
365	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害330#1%的神圣伤害	#00ff00|造成的伤害提升88%	24	-1
366	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害418#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
367	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害462#1%的神圣伤害	#00ff00|造成的伤害提升44%	24	-1
368	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害506#1%的神圣伤害	#00ff00|造成的伤害提升45%	24	-1
369	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害551#1%的神圣伤害	#00ff00|造成的伤害提升88%	24	-1
370	天堂之拳	1	神圣	在指定位置降下天堂之拳，对周围3#4格内最多6个敌人造成基础伤害639#1%的神圣伤害	#00ff00|技能已达到最高等级	24	-1
451	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害145%的冰霜伤害，并有20%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
452	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害180%的冰霜伤害，并有20%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
453	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害215%的冰霜伤害，并有20%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升36%	31	-1
454	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害251%的冰霜伤害，并有20%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
455	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害286%的冰霜伤害，并有20%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升70%，降低敌人移动速度的概率提升5%	31	-1
456	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害356%的冰霜伤害，并有25%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
457	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害391%的冰霜伤害，并有25%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
458	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害426%的冰霜伤害，并有25%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	31	-1
459	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害461%的冰霜伤害，并有25%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|造成的伤害提升71%，降低敌人移动速度的概率提升5%	31	-1
460	冰锥术	1	冰霜	对8格内单个敌人造成基础伤害532%的冰霜伤害，并有30%的概率使其移动速度降低，持续3秒|n（可作为默认1号技能）	#00ff00|技能已达到最高等级	31	-1
471	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害18%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
472	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害20%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
473	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害22%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
474	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害24%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
475	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害26%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
476	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害28%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
477	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害30%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
478	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害32%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
479	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害34%的冰霜伤害	#00ff00|造成的伤害提升2%	32	-1
480	冰封球	1	冰霜	释放出向指定位置不断向前移动的冰封法球，每1秒对接触到的最多6个敌人造成基础伤害36%的冰霜伤害	#00ff00|技能已达到最高等级	32	-1
491	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害73%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
492	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害84%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
493	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害95%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
494	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害106%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
495	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害117%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
496	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害128%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
497	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害139%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
498	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害150%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
499	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害161%的冰霜伤害	#00ff00|造成的伤害提升11%	33	-1
500	多重冰锥术	1	冰霜	创造出数个冰锥穿刺8格内单个敌人对敌人造成基础伤害172%的冰霜伤害	#00ff00|技能已达到最高等级	33	-1
511	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害155#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升2%	34	-1
512	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害157#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升1%	34	-1
513	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害158#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升2%	34	-1
514	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害160#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升1%	34	-1
515	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害161#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升4%	34	-1
516	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害165#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升1%	34	-1
517	暴风雪	1	冰霜	在指定8#4格区域内降下暴风雪，每1秒对范围内最多6#2个敌人造成基础伤害166#1%的冰霜伤害，并有50#6%的概率降低敌人的移动速度，持续5#7秒	#00ff00|造成的伤害提升2%	34	-1
