INT	INT	INT	INT	INT	INT	INT	INT
7039	2	13	1	4	1	0	0
7041	1	13	1	2	1	0	0
7041	2	575	1	5	1	0	0
7041	3	502	1	10	1	0	0
7041	4	504	1	10	1	0	0
6001	1	13	1	2	1	0	0
6001	2	6002	1	1	1	0	5
6002	1	505	1	3	1	0	0
6002	2	575	1	5	1	0	0
6002	3	6003	1	1	1	0	5
6003	1	13	1	10	1	0	0
6003	2	647	1	30	1	0	0
6003	3	507	1	3	1	0	0
6003	4	6004	1	1	1	0	6
6004	1	13	1	10	1	0	0
6004	2	409	1	1	1	0	0
6004	3	578	1	2	1	0	0
6005	1	406	1	1	1	0	0
6006	1	635	1	2	1	0	0
6006	2	6007	1	1	1	0	5
6007	1	13	1	3	1	0	0
6007	2	619	1	1	1	0	0
6007	3	620	1	1	1	0	0
6007	4	621	1	1	1	0	0
6007	5	6008	1	1	1	0	5
6008	1	636	1	2	1	0	0
6008	2	13	1	10	1	0	0
6008	3	511	1	1	1	0	0
6008	4	6009	1	1	1	0	6
6009	1	36	8	1	1	0	0
6009	2	13	1	10	1	0	0
6009	3	578	1	2	1	0	0
6010	1	410	1	1	1	0	0
6010	2	6005	1	1	1	0	7
7045	1	18	1	2	1	0	0
7045	2	567	1	2	1	0	0
7045	3	158	1	1	1	0	0
7046	1	18	1	4	1	0	0
7046	2	568	1	2	1	0	0
7046	3	158	1	2	1	0	0
7047	1	18	1	5	1	0	0
7047	2	570	1	1	1	0	0
7047	3	158	1	3	1	0	0
7051	1	13	1	1	1	0	0
7051	2	575	1	3	1	0	0
7051	3	9	1	2	1	0	0
7053	1	645	1	5	1	0	0
6011	1	567	1	1	1	0	0
6011	2	575	1	2	1	0	0
6011	3	6012	1	1	1	0	7
6012	1	568	1	1	1	0	0
6012	2	644	1	1	1	0	0
6012	3	505	1	5	1	0	0
6012	4	601	1	20	1	0	0
6012	5	6013	1	1	1	0	7
6013	1	564	1	20	1	0	0
6013	2	644	1	1	1	0	0
6013	3	507	1	10	1	0	0
6013	4	16	1	5	1	0	0
6013	5	6014	1	1	1	0	7
6014	1	564	1	30	1	0	0
6014	2	644	1	2	1	0	0
6014	3	510	1	15	1	0	0
6014	4	13	1	5	1	0	0
6014	5	6015	1	1	1	0	7
6015	1	564	1	30	1	0	0
6015	2	710	1	5	1	0	0
6015	3	565	1	5	1	0	0
6015	4	13	1	5	1	0	0
6015	5	5327	1	1	1	0	0
6016	1	568	1	2	1	0	0
6016	2	13	1	5	1	0	0
6016	3	635	1	5	1	0	0
6016	4	158	1	5	1	0	0
6016	5	6017	1	1	1	0	0
6017	1	568	1	2	1	0	0
6017	2	13	1	8	1	0	0
6017	3	635	1	10	1	0	0
6017	4	158	1	10	1	0	0
6017	5	6018	1	1	1	0	0
6018	1	570	1	1	1	0	0
6018	2	644	1	5	1	0	0
6018	3	635	1	15	1	0	0
6018	4	601	1	166	1	0	0
6018	5	6019	1	1	1	0	0
6019	1	570	1	2	1	0	0
6019	2	644	1	10	1	0	0
6019	3	565	1	3	1	0	0
6019	4	647	1	166	1	0	0
6019	5	6020	1	1	1	0	0
6020	1	570	1	3	1	0	0
6020	2	644	1	15	1	0	0
6020	3	565	1	5	1	0	0
6020	4	647	1	266	1	0	0
6021	1	570	1	3	1	0	0
6021	2	503	1	6	1	0	0
6021	3	636	1	6	1	0	0
6021	4	566	1	11	1	0	0
6022	1	565	1	8	1	0	0
6022	2	511	1	6	1	0	0
6022	3	644	1	4	1	0	0
6022	4	16	1	24	1	0	0
6023	1	710	1	4	1	0	0
6023	2	506	1	6	1	0	0
6023	3	13	1	13	1	0	0
6023	4	601	1	88	1	0	0
6024	1	564	1	40	1	0	0
6024	2	508	1	6	1	0	0
6024	3	597	1	19	1	0	0
6024	4	152	1	20	1	0	0
6025	1	564	1	80	1	0	0
6025	2	503	1	12	1	0	0
6025	3	636	1	18	1	0	0
6025	4	16	1	45	1	0	0
6026	1	570	1	5	1	0	0
6026	2	511	1	12	1	0	0
6026	3	644	1	10	1	0	0
6026	4	601	1	200	1	0	0
6027	1	565	1	20	1	0	0
6027	2	506	1	12	1	0	0
6027	3	13	1	28	1	0	0
6027	4	152	1	66	1	0	0
6028	1	710	1	9	1	0	0
6028	2	508	1	12	1	0	0
6028	3	564	1	100	1	0	0
6028	4	566	1	35	1	0	0
6029	1	710	1	20	1	0	0
6029	2	503	1	30	1	0	0
6029	3	636	1	33	1	0	0
6029	4	601	1	333	1	0	0
6030	1	564	1	200	1	0	0
6030	2	511	1	30	1	0	0
6030	3	644	1	20	1	0	0
6030	4	152	1	133	1	0	0
6031	1	570	1	15	1	0	0
6031	2	506	1	30	1	0	0
6031	3	13	1	33	1	0	0
6031	4	601	1	333	1	0	0
6032	1	565	1	50	1	0	0
6032	2	508	1	30	1	0	0
6032	3	564	1	200	1	0	0
6032	4	16	1	42	1	0	0
6033	1	565	1	98	1	0	0
6033	2	503	1	60	1	0	0
6033	3	636	1	33	1	0	0
6033	4	152	1	34	1	0	0
6033	5	647	1	1222	1	0	0
6034	1	710	1	40	1	0	0
6034	2	511	1	60	1	0	0
6034	3	644	1	35	1	0	0
6034	4	597	1	50	1	0	0
6034	5	647	1	1222	1	0	0
6035	1	564	1	400	1	0	0
6035	2	506	1	60	1	0	0
6035	3	13	1	56	1	0	0
6035	4	16	1	99	1	0	0
6035	5	647	1	1222	1	0	0
6036	1	570	1	18	1	0	0
6036	2	508	1	60	1	0	0
6036	3	644	1	20	1	0	0
6036	4	601	1	460	1	0	0
6036	5	647	1	1222	1	0	0
6037	1	565	1	200	1	0	0
6037	2	503	1	120	1	0	0
6037	3	566	1	255	1	0	0
6037	4	16	1	166	1	0	0
6037	5	647	1	2266	1	0	0
6038	1	710	1	80	1	0	0
6038	2	511	1	120	1	0	0
6038	3	644	1	86	1	0	0
6038	4	601	1	1066	1	0	0
6038	5	647	1	2266	1	0	0
6039	1	564	1	800	1	0	0
6039	2	506	1	120	1	0	0
6039	3	13	1	86	1	0	0
6039	4	152	1	555	1	0	0
6039	5	647	1	2266	1	0	0
6040	1	570	1	36	1	0	0
6040	2	508	1	120	1	0	0
6040	3	565	1	216	1	0	0
6040	4	597	1	25	1	0	0
6040	5	647	1	2266	1	0	0
745	1	8107	3	1	1	0	0
745	2	8207	3	1	1	0	0
745	3	8007	3	1	1	0	0
761	1	13	1	20	1	0	0
761	2	301	1	10	1	0	0
761	3	718	1	30	1	0	0
7061	1	568	1	1	1	0	0
7061	2	13	1	2	1	0	0
7061	3	16	1	3	1	0	0
7061	4	575	1	10	1	0	0
6041	1	13	1	2	1	0	0
6041	2	505	1	5	1	0	0
6041	3	568	1	1	1	0	0
6041	4	601	1	20	1	0	0
6041	5	6042	1	1	1	0	0
6042	1	13	1	5	1	0	0
6042	2	564	1	10	1	0	0
6042	3	565	1	2	1	0	0
6042	4	601	1	40	1	0	0
6042	5	6043	1	1	1	0	0
6043	1	8003	3	2	1	0	0
6043	2	710	1	2	1	0	0
6043	3	565	1	5	1	0	0
6043	4	16	1	10	1	0	0
6043	5	6044	1	1	1	0	0
6044	1	8206	3	1	1	0	0
6044	2	564	1	15	1	0	0
6044	3	16	1	10	1	0	0
6044	4	601	1	60	1	0	0
6044	5	6045	1	1	1	0	0
6045	1	8006	3	1	1	0	0
6045	2	644	1	4	1	0	0
6045	3	8106	3	1	1	0	0
6045	4	601	1	80	1	0	0
6045	5	5344	1	1	1	0	0
6046	1	564	1	5	1	0	0
6046	2	13	1	2	1	0	0
6046	3	601	1	20	1	0	0
6046	4	152	1	3	1	0	0
6046	5	6047	1	1	1	0	0
6047	1	565	1	3	1	0	0
6047	2	644	1	3	1	0	0
6047	3	636	1	3	1	0	0
6047	4	13	1	3	1	0	0
6047	5	6048	1	1	1	0	0
6048	1	565	1	5	1	0	0
6048	2	710	1	2	1	0	0
6048	3	16	1	10	1	0	0
6048	4	601	1	30	1	0	0
6048	5	6049	1	1	1	0	0
6049	1	564	1	15	1	0	0
6049	2	644	1	6	1	0	0
6049	3	636	1	6	1	0	0
6049	4	716	1	10	1	0	0
6049	5	6050	1	1	1	0	0
6050	1	8106	3	1	1	0	0
6050	2	710	1	3	1	0	0
6050	3	8306	3	1	1	0	0
6050	4	601	1	80	1	0	0
6050	5	5345	1	1	1	0	0
6051	1	21	8	1	1	0	0
6052	1	22	8	1	1	0	0
6053	1	23	8	1	1	0	0
6054	1	24	8	1	1	0	0
6055	1	25	8	1	1	0	0
6056	1	26	8	1	1	0	0
6057	1	27	8	1	1	0	0
6058	1	28	8	1	1	0	0
6059	1	29	8	1	1	0	0
6060	1	30	8	1	1	0	0
6061	1	31	8	1	1	0	0
6062	1	32	8	1	1	0	0
6063	1	33	8	1	1	0	0
6064	1	34	8	1	1	0	0
6065	1	35	8	1	1	0	0
6066	1	36	8	1	1	0	0
6067	1	37	8	1	1	0	0
6068	1	38	8	1	1	0	0
6069	1	39	8	1	1	0	0
6070	1	40	8	1	1	0	0
6071	1	41	8	1	1	0	0
6072	1	42	8	1	1	0	0
6073	1	43	8	1	1	0	0
6074	1	44	8	1	1	0	0
6075	1	45	8	1	1	0	0
6076	1	46	8	1	1	0	0
6077	1	47	8	1	1	0	0
6078	1	48	8	1	1	0	0
6079	1	49	8	1	1	0	0
6080	1	50	8	1	1	0	0
6081	1	51	8	1	1	0	0
6082	1	52	8	1	1	0	0
6083	1	53	8	1	1	0	0
6084	1	54	8	1	1	0	0
6085	1	55	8	1	1	0	0
6086	1	56	8	1	1	0	0
6087	1	57	8	1	1	0	0
6088	1	58	8	1	1	0	0
6089	1	59	8	1	1	0	0
6090	1	60	8	1	1	0	0
6091	1	61	8	1	1	0	0
6092	1	62	8	1	1	0	0
6093	1	63	8	1	1	0	0
6094	1	64	8	1	1	0	0
6095	1	65	8	1	1	0	0
6096	1	66	8	1	1	0	0
6097	1	67	8	1	1	0	0
6098	1	68	8	1	1	0	0
6099	1	69	8	1	1	0	0
6100	1	70	8	1	1	0	0
6101	1	71	8	1	1	0	0
6102	1	72	8	1	1	0	0
6103	1	73	8	1	1	0	0
6104	1	74	8	1	1	0	0
6105	1	75	8	1	1	0	0
6106	1	76	8	1	1	0	0
6107	1	77	8	1	1	0	0
6108	1	78	8	1	1	0	0
6109	1	79	8	1	1	0	0
6110	1	80	8	1	1	0	0
6111	1	81	8	1	1	0	0
6112	1	82	8	1	1	0	0
6113	1	83	8	1	1	0	0
6114	1	84	8	1	1	0	0
6115	1	85	8	1	1	0	0
6116	1	86	8	1	1	0	0
6117	1	87	8	1	1	0	0
6118	1	88	8	1	1	0	0
6119	1	89	8	1	1	0	0
6120	1	90	8	1	1	0	0
6121	1	91	8	1	1	0	0
6122	1	92	8	1	1	0	0
6123	1	93	8	1	1	0	0
6124	1	94	8	1	1	0	0
6125	1	95	8	1	1	0	0
6126	1	96	8	1	1	0	0
6127	1	97	8	1	1	0	0
6128	1	98	8	1	1	0	0
6129	1	99	8	1	1	0	0
6130	1	100	8	1	1	0	0
6131	1	21	8	1	0	0	0
6132	1	22	8	1	0	0	0
6133	1	23	8	1	0	0	0
6134	1	24	8	1	0	0	0
6135	1	25	8	1	0	0	0
6136	1	26	8	1	0	0	0
6137	1	27	8	1	0	0	0
6138	1	28	8	1	0	0	0
6139	1	29	8	1	0	0	0
6140	1	30	8	1	0	0	0
6141	1	31	8	1	0	0	0
6142	1	32	8	1	0	0	0
6143	1	33	8	1	0	0	0
6144	1	34	8	1	0	0	0
6145	1	35	8	1	0	0	0
6146	1	36	8	1	0	0	0
6147	1	37	8	1	0	0	0
6148	1	38	8	1	0	0	0
6149	1	39	8	1	0	0	0
6150	1	40	8	1	0	0	0
6151	1	41	8	1	0	0	0
6152	1	42	8	1	0	0	0
6153	1	43	8	1	0	0	0
6154	1	44	8	1	0	0	0
6155	1	45	8	1	0	0	0
6156	1	46	8	1	0	0	0
6157	1	47	8	1	0	0	0
6158	1	48	8	1	0	0	0
6159	1	49	8	1	0	0	0
6160	1	50	8	1	0	0	0
6161	1	51	8	1	0	0	0
6162	1	52	8	1	0	0	0
6163	1	53	8	1	0	0	0
6164	1	54	8	1	0	0	0
6165	1	55	8	1	0	0	0
6166	1	56	8	1	0	0	0
6167	1	57	8	1	0	0	0
6168	1	58	8	1	0	0	0
6169	1	59	8	1	0	0	0
6170	1	60	8	1	0	0	0
6171	1	61	8	1	0	0	0
6172	1	62	8	1	0	0	0
6173	1	63	8	1	0	0	0
6174	1	64	8	1	0	0	0
6175	1	65	8	1	0	0	0
6176	1	66	8	1	0	0	0
6177	1	67	8	1	0	0	0
6178	1	68	8	1	0	0	0
6179	1	69	8	1	0	0	0
6180	1	70	8	1	0	0	0
6181	1	71	8	1	0	0	0
6182	1	72	8	1	0	0	0
6183	1	73	8	1	0	0	0
6184	1	74	8	1	0	0	0
6185	1	75	8	1	0	0	0
6186	1	76	8	1	0	0	0
6187	1	77	8	1	0	0	0
6188	1	78	8	1	0	0	0
6189	1	79	8	1	0	0	0
6190	1	80	8	1	0	0	0
6191	1	81	8	1	0	0	0
6192	1	82	8	1	0	0	0
6193	1	83	8	1	0	0	0
6194	1	84	8	1	0	0	0
6195	1	85	8	1	0	0	0
6196	1	86	8	1	0	0	0
6197	1	87	8	1	0	0	0
6198	1	88	8	1	0	0	0
6199	1	89	8	1	0	0	0
6200	1	90	8	1	0	0	0
6201	1	91	8	1	0	0	0
6202	1	92	8	1	0	0	0
6203	1	93	8	1	0	0	0
6204	1	94	8	1	0	0	0
6205	1	95	8	1	0	0	0
6206	1	96	8	1	0	0	0
6207	1	97	8	1	0	0	0
6208	1	98	8	1	0	0	0
6209	1	99	8	1	0	0	0
6210	1	100	8	1	0	0	0
7062	1	13	1	6	1	0	0
7062	2	7063	1	1	1	0	3
7063	1	40010	2	1	1	0	0
7063	2	40011	2	1	1	0	0
7063	3	40012	2	1	1	0	0
7063	4	40013	2	1	1	0	0
7063	5	40014	2	1	1	0	0
7063	6	40015	2	1	1	0	0
7064	1	728	1	1	1	0	0
7064	2	645	1	20	1	0	0
7064	3	722	1	4	1	0	0
6211	1	570	1	1	1	0	0
6211	2	511	1	2	1	0	0
6211	3	506	1	2	1	0	0
6211	4	16	1	8	1	0	0
6212	1	710	1	2	1	0	0
6212	2	506	1	2	1	0	0
6212	3	568	1	3	1	0	0
6212	4	601	1	33	1	0	0
6213	1	565	1	5	1	0	0
6213	2	13	1	8	1	0	0
6213	3	508	1	2	1	0	0
6213	4	566	1	6	1	0	0
6214	1	564	1	20	1	0	0
6214	2	597	1	10	1	0	0
6214	3	511	1	2	1	0	0
6214	4	152	1	10	1	0	0
7065	1	13	1	10	1	0	0
7065	2	597	1	20	1	0	0
7065	3	564	1	60	1	0	0
7065	4	158	1	10	1	0	0
7065	5	5361	1	1	1	0	0
6218	1	13	1	2	1	0	0
6218	2	647	1	33	1	0	0
6219	1	158	1	3	1	0	0
6219	2	647	1	33	1	0	0
6220	1	511	1	1	1	0	0
6220	2	647	1	66	1	0	0
6221	1	566	1	5	1	0	0
6221	2	647	1	66	1	0	0
6222	1	599	1	2	1	0	0
6222	2	647	1	66	1	0	0
6223	1	564	1	40	1	0	0
6223	2	647	1	66	1	0	0
6224	1	637	1	3	1	0	0
6224	2	647	1	66	1	0	0
6225	1	720	1	5	1	0	0
6225	2	647	1	88	1	0	0
6226	1	570	1	3	1	0	0
6226	2	647	1	99	1	0	0
6227	1	566	1	25	1	0	0
6227	2	647	1	166	1	0	0
6228	1	506	1	10	1	0	0
6228	2	647	1	199	1	0	0
6229	1	8006	3	1	1	0	0
6229	2	8106	3	1	1	0	0
6229	3	8206	3	1	1	0	0
6229	4	647	1	355	1	0	0
6230	1	568	1	3	1	0	0
6230	2	564	1	5	1	0	0
6230	3	565	1	3	1	0	0
6230	4	507	1	15	1	0	0
6230	5	647	1	88	1	0	0
7067	1	13	1	10	1	0	0
7067	2	7068	1	1	1	0	3
7068	1	770	1	52	1	0	0
6231	1	8004	3	2	1	0	0
6231	2	565	1	3	1	0	0
6231	3	16	1	6	1	0	0
6231	4	647	1	78	1	0	0
6232	1	710	1	4	1	0	0
6232	2	564	1	30	1	0	0
6232	3	568	1	3	1	0	0
6232	4	5339	1	1	1	0	0
6233	1	8206	3	1	1	0	0
6233	2	8306	3	1	1	0	0
6233	3	565	1	20	1	0	0
6233	4	5326	1	1	1	0	0
6234	1	8106	3	2	1	0	0
6234	2	8306	3	2	1	0	0
6234	3	565	1	40	1	0	0
6234	4	730	1	1	1	0	0
6234	5	564	1	120	1	0	0
6235	1	710	1	200	1	0	0
6235	2	564	1	2200	1	0	0
6235	3	503	1	250	1	0	0
6235	4	13	1	200	1	0	0
6235	5	647	1	5566	1	0	0
6236	1	565	1	400	1	0	0
6236	2	8007	3	8	1	0	0
6236	3	508	1	250	1	0	0
6236	4	601	1	2566	1	0	0
6236	5	647	1	5566	1	0	0
6237	1	570	1	55	1	0	0
6237	2	566	1	500	1	0	0
6237	3	506	1	250	1	0	0
6237	4	153	1	666	1	0	0
6237	5	647	1	5566	1	0	0
6238	1	8307	3	5	1	0	0
6238	2	565	1	500	1	0	0
6238	3	511	1	250	1	0	0
6238	4	16	1	666	1	0	0
6238	5	647	1	5566	1	0	0
7069	1	13	1	2	1	0	0
7069	2	567	1	2	1	0	0
7069	3	158	1	1	1	0	0
7070	1	13	1	4	1	0	0
7070	2	568	1	2	1	0	0
7070	3	158	1	2	1	0	0
7071	1	13	1	5	1	0	0
7071	2	570	1	1	1	0	0
7071	3	158	1	3	1	0	0
7072	1	13	1	2	1	0	0
7072	2	575	1	8	1	0	0
7072	3	16	1	3	1	0	0
7073	1	568	1	3	1	0	0
7073	2	158	1	3	1	0	0
7073	3	16	1	5	1	0	0
7074	1	13	1	2	1	0	0
7074	2	575	1	5	1	0	0
7074	3	601	1	5	1	0	0
7075	1	13	1	3	1	0	0
7075	2	575	1	10	1	0	0
7075	3	16	1	3	1	0	0
6239	1	13	1	3	1	0	0
6239	2	568	1	2	1	0	0
6239	3	158	1	3	1	0	0
6239	4	575	1	20	1	0	0
6239	5	6240	1	1	1	0	0
6240	1	644	1	3	1	0	0
6240	2	564	1	18	1	0	0
6240	3	16	1	15	1	0	0
6240	4	565	1	3	1	0	0
6240	5	6241	1	1	1	0	0
6241	1	644	1	3	1	0	0
6241	2	565	1	5	1	0	0
6241	3	13	1	10	1	0	0
6241	4	8204	3	3	1	0	0
6241	5	6242	1	1	1	0	0
6242	1	570	1	1	1	0	0
6242	2	564	1	60	1	0	0
6242	3	710	1	2	1	0	0
6242	4	8006	3	1	1	0	0
6242	5	6243	1	1	1	0	0
6243	1	570	1	3	1	0	0
6243	2	8306	3	2	1	0	0
6243	3	710	1	4	1	0	0
6243	4	564	1	100	1	0	0
6243	5	5344	1	1	1	0	0
6244	1	13	1	2	1	0	0
6244	2	601	1	15	1	0	0
6244	3	16	1	5	1	0	0
6244	4	575	1	15	1	0	0
6244	5	6245	1	1	1	0	0
6245	1	568	1	1	1	0	0
6245	2	16	1	10	1	0	0
6245	3	13	1	3	1	0	0
6245	4	647	1	66	1	0	0
6245	5	6246	1	1	1	0	0
6246	1	565	1	2	1	0	0
6246	2	564	1	50	1	0	0
6246	3	13	1	5	1	0	0
6246	4	647	1	111	1	0	0
6246	5	6247	1	1	1	0	0
6247	1	568	1	3	1	0	0
6247	2	710	1	2	1	0	0
6247	3	158	1	5	1	0	0
6247	4	647	1	222	1	0	0
6247	5	6248	1	1	1	0	0
6248	1	570	1	2	1	0	0
6248	2	8306	3	2	1	0	0
6248	3	565	1	10	1	0	0
6248	4	647	1	288	1	0	0
6248	5	5345	1	1	1	0	0
7080	1	10291	2	1	1	0	0
7083	1	786	1	30	1	0	0
7083	2	776	1	10	1	0	0
7083	3	788	1	2	1	0	0
7084	1	786	1	25	1	0	0
7084	2	776	1	6	1	0	0
7084	3	788	1	2	1	0	0
7085	1	786	1	20	1	0	0
7085	2	776	1	4	1	0	0
7085	3	788	1	2	1	0	0
7086	1	786	1	10	1	0	0
7086	2	776	1	2	1	0	0
7086	3	788	1	2	1	0	0
7089	1	13	1	10	1	0	0
7089	2	7090	1	1	1	0	0
7090	1	793	1	106	1	0	0
7094	1	7091	1	3	1	0	0
7094	2	8003	3	1	1	0	0
7094	3	601	1	20	1	0	0
7094	4	508	1	1	1	0	0
7095	1	7091	1	3	1	0	0
7095	2	8103	3	1	1	0	0
7095	3	158	1	1	1	0	0
7095	4	511	1	1	1	0	0
7096	1	7091	1	3	1	0	0
7096	2	8203	3	1	1	0	0
7096	3	601	1	20	1	0	0
7096	4	564	1	20	1	0	0
7097	1	7091	1	3	1	0	0
7097	2	8303	3	1	1	0	0
7097	3	158	1	1	1	0	0
7097	4	720	1	2	1	0	0
7098	1	7091	1	10	1	0	0
7098	2	8006	3	1	1	0	0
7098	3	601	1	100	1	0	0
7098	4	7108	1	1	1	0	0
7099	1	7091	1	10	1	0	0
7099	2	8106	3	1	1	0	0
7099	3	156	1	1	1	0	0
7099	4	5400	1	1	1	0	0
7100	1	7091	1	5	1	0	0
7100	2	8004	3	1	1	0	0
7100	3	601	1	40	1	0	0
7100	4	710	1	4	1	0	0
7101	1	7091	1	5	1	0	0
7101	2	704	1	50	1	0	0
7101	3	705	1	50	1	0	0
7101	4	706	1	50	1	0	0
7102	1	7091	1	5	1	0	0
7102	2	8104	3	1	1	0	0
7102	3	158	1	2	1	0	0
7102	4	7106	1	1	1	0	0
7103	1	7091	1	5	1	0	0
7103	2	707	1	50	1	0	0
7103	3	708	1	50	1	0	0
7103	4	709	1	50	1	0	0
7104	1	7091	1	5	1	0	0
7104	2	8204	3	1	1	0	0
7104	3	601	1	40	1	0	0
7104	4	720	1	4	1	0	0
7105	1	7091	1	5	1	0	0
7105	2	8304	3	1	1	0	0
7105	3	158	1	2	1	0	0
7105	4	7108	1	1	1	0	0
7109	1	565	1	1	1	0	0
7109	2	720	1	1	1	0	0
7109	3	758	1	5	1	0	0
7109	4	410	1	1	1	0	0
7110	1	565	1	2	1	0	0
7110	2	720	1	2	1	0	0
7110	3	758	1	10	1	0	0
7110	4	410	1	1	1	0	0
7111	1	565	1	3	1	0	0
7111	2	720	1	3	1	0	0
7111	3	758	1	15	1	0	0
7111	4	410	1	1	1	0	0
7112	1	565	1	4	1	0	0
7112	2	720	1	4	1	0	0
7112	3	758	1	20	1	0	0
7112	4	710	1	4	1	0	0
7113	1	565	1	5	1	0	0
7113	2	720	1	5	1	0	0
7113	3	758	1	25	1	0	0
7113	4	710	1	5	1	0	0
7115	1	40010	2	1	1	0	0
7115	2	40011	2	1	1	0	0
7115	3	40012	2	1	1	0	0
7115	4	40013	2	1	1	0	0
7115	5	40014	2	1	1	0	0
7115	6	40015	2	1	1	0	0
7116	1	53001	2	1	1	0	0
7117	1	53002	2	1	1	0	0
7118	1	53003	2	1	1	0	0
7119	1	53004	2	1	1	0	0
7120	1	53005	2	1	1	0	0
7121	1	53006	2	1	1	0	0
7124	1	13	1	10	1	0	0
7124	2	931	1	3	1	0	0
7124	3	7125	1	1	1	0	3
7125	1	931	1	188	1	0	0
7126	1	13	1	10	1	0	0
7126	2	7127	1	1	1	0	1
7127	1	937	1	10	1	0	0
7127	2	938	1	5	1	0	0
7127	3	7128	1	1	1	0	3
7128	1	938	1	15	1	0	0
7128	2	939	1	10	1	0	0
7131	1	13	1	5	1	0	0
7131	2	507	1	5	1	0	0
7131	3	510	1	5	1	0	0
7131	4	7132	1	1	1	0	7
7132	1	650	1	1	1	0	0
7132	2	564	1	10	1	0	0
7132	3	572	1	5	1	0	0
7132	4	567	1	5	1	0	0
7132	5	7133	1	1	1	0	7
7133	1	572	1	100	1	0	0
7133	2	710	1	10	1	0	0
7133	3	568	1	5	1	0	0
7133	4	510	1	10	1	0	0
7133	5	758	1	10	1	0	0
7133	6	759	1	5	1	0	0
7142	1	13	1	5	1	0	0
7142	2	507	1	5	1	0	0
7142	3	510	1	5	1	0	0
7142	4	572	1	20	1	0	0
7142	5	564	1	40	1	0	0
7142	6	710	1	4	1	0	0
7143	1	502	1	10	1	0	0
7143	2	568	1	2	1	0	0
7143	3	578	1	1	1	0	0
7143	4	505	1	4	1	0	0
7143	5	575	1	10	1	0	0
7144	1	502	1	10	1	0	0
7144	2	568	1	1	1	0	0
7144	3	153	1	1	1	0	0
7144	4	505	1	4	1	0	0
7144	5	575	1	10	1	0	0
6249	1	570	1	5	1	0	0
6249	2	564	1	60	1	0	0
6249	3	13	1	20	1	0	0
6249	4	566	1	40	1	0	0
6249	5	503	1	2	1	0	0
6250	1	564	1	100	1	0	0
6250	2	710	1	10	1	0	0
6250	3	637	1	10	1	0	0
6250	4	16	1	50	1	0	0
6250	5	566	1	75	1	0	0
6251	1	710	1	40	1	0	0
6251	2	503	1	25	1	0	0
6251	3	637	1	25	1	0	0
6251	4	601	1	500	1	0	0
6251	5	570	1	20	1	0	0
6252	1	565	1	200	1	0	0
6252	2	572	1	200	1	0	0
