INT	INT	STRING	INT	INT
204	1	257:1:1:0	1000	2016
205	1	257:1:1:0	1000	2016
206	1	257:1:1:0	1000	2016
207	1	257:1:1:0	1000	2016
208	1	257:1:1:0	1000	2016
209	1	257:1:1:0	1000	2016
210	2	411:1:20:0	10000	2016
211	2	412:1:20:0	10000	2016
212	2	413:1:20:0	10000	2016
213	2	414:1:20:0	10000	2016
214	2	415:1:20:0	10000	2016
215	2	417:1:20:0	10000	2016
216	2	502:1:4:0	10000	2016
217	2	505:1:4:0	10000	2016
218	2	507:1:4:0	10000	2016
219	2	510:1:4:0	10000	2016
220	2	564:1:10:0	10000	2016
221	3	40010:2:1:0	4000	2016
222	3	40011:2:1:0	4000	2016
223	3	40012:2:1:0	4000	2016
224	3	40013:2:1:0	4000	2016
225	3	40014:2:1:0	2500	2016
226	3	40015:2:1:0	2500	2016
227	3	40016:2:1:0	4000	2016
228	3	40017:2:1:0	4000	2016
229	3	40018:2:1:0	4000	2016
230	3	40019:2:1:0	4000	2016
231	3	40020:2:1:0	1500	2016
232	3	40021:2:1:0	1500	2016
233	3	410:1:1:0	3000	2016
234	4	508:1:4:0	3000	2016
235	4	511:1:4:0	3000	2016
236	4	509:1:3:0	1200	2016
237	4	512:1:3:0	1200	2016
238	4	50008:2:1:0	1500	2016
239	4	50038:2:1:0	1500	2016
240	5	50009:2:1:0	600	2016
241	5	50039:2:1:0	600	2016
242	5	406:1:1:0	300	2016
