INT	INT	INT	STRING	STRING
138	138	112400	-1	
139	139	112200	-1	
140	140	112000	-1	
141	141	111800	-1	
142	142	111600	-1	
143	143	111400	-1	
144	144	111200	-1	
145	145	111000	-1	
146	146	110800	-1	
147	147	110600	-1	
148	148	110400	-1	
149	149	110200	-1	
150	150	110000	-1	
151	151	109800	-1	
152	152	109600	-1	
153	153	109400	-1	
154	154	109200	-1	
155	155	109000	-1	
156	156	108800	-1	
157	157	108600	-1	
158	158	108400	-1	
159	159	108200	-1	
160	160	108000	-1	
161	161	107800	-1	
162	162	107600	-1	
163	163	107400	-1	
164	164	107200	-1	
165	165	107000	-1	
166	166	106800	-1	
167	167	106600	-1	
168	168	106400	-1	
169	169	106200	-1	
170	170	106000	-1	
171	171	105800	-1	
172	172	105600	-1	
173	173	105400	-1	
174	174	105200	-1	
175	175	105000	-1	
176	176	104800	-1	
177	177	104600	-1	
178	178	104400	-1	
179	179	104200	-1	
180	180	104000	-1	
181	181	103800	-1	
182	182	103600	-1	
183	183	103400	-1	
184	184	103200	-1	
185	185	103000	-1	
186	186	102800	-1	
187	187	102600	-1	
188	188	102400	-1	
189	189	102200	-1	
190	190	102000	-1	
191	191	101800	-1	
192	192	101600	-1	
193	193	101400	-1	
194	194	101200	-1	
195	195	101000	-1	
196	196	100800	-1	
197	197	100600	-1	
198	198	100400	-1	
199	199	100200	-1	
200	200	100000	-1	
201	201	99950	-1	
202	202	99900	-1	
203	203	99850	-1	
204	204	99800	-1	
205	205	99750	-1	
206	206	99700	-1	
207	207	99650	-1	
208	208	99600	-1	
209	209	99550	-1	
210	210	99500	-1	
211	211	99450	-1	
212	212	99400	-1	
213	213	99350	-1	
214	214	99300	-1	
215	215	99250	-1	
216	216	99200	-1	
217	217	99150	-1	
218	218	99100	-1	
219	219	99050	-1	
220	220	99000	-1	
221	221	98950	-1	
222	222	98900	-1	
223	223	98850	-1	
224	224	98800	-1	
225	225	98750	-1	
226	226	98700	-1	
227	227	98650	-1	
228	228	98600	-1	
229	229	98550	-1	
230	230	98500	-1	
231	231	98450	-1	
232	232	98400	-1	
233	233	98350	-1	
234	234	98300	-1	
235	235	98250	-1	
236	236	98200	-1	
237	237	98150	-1	
238	238	98100	-1	
239	239	98050	-1	
240	240	98000	-1	
241	241	97950	-1	
242	242	97900	-1	
243	243	97850	-1	
244	244	97800	-1	
245	245	97750	-1	
246	246	97700	-1	
247	247	97650	-1	
248	248	97600	-1	
249	249	97550	-1	
250	250	97500	-1	
251	251	97450	-1	
252	252	97400	-1	
253	253	97350	-1	
254	254	97300	-1	
255	255	97250	-1	
256	256	97200	-1	
257	257	97150	-1	
258	258	97100	-1	
259	259	97050	-1	
260	260	97000	-1	
261	261	96950	-1	
262	262	96900	-1	
263	263	96850	-1	
264	264	96800	-1	
265	265	96750	-1	
266	266	96700	-1	
267	267	96650	-1	
268	268	96600	-1	
269	269	96550	-1	
270	270	96500	-1	
271	271	96450	-1	
272	272	96400	-1	
273	273	96350	-1	
274	274	96300	-1	
275	275	96250	-1	
276	276	96200	-1	
277	277	96150	-1	
278	278	96100	-1	
279	279	96050	-1	
280	280	96000	-1	
281	281	95950	-1	
282	282	95900	-1	
283	283	95850	-1	
284	284	95800	-1	
285	285	95750	-1	
286	286	95700	-1	
287	287	95650	-1	
288	288	95600	-1	
289	289	95550	-1	
290	290	95500	-1	
291	291	95450	-1	
292	292	95400	-1	
293	293	95350	-1	
294	294	95300	-1	
295	295	95250	-1	
296	296	95200	-1	
297	297	95150	-1	
298	298	95100	-1	
299	299	95050	-1	
300	300	95000	-1	
301	301	94950	-1	
302	302	94900	-1	
303	303	94850	-1	
304	304	94800	-1	
305	305	94750	-1	
306	306	94700	-1	
307	307	94650	-1	
308	308	94600	-1	
309	309	94550	-1	
310	310	94500	-1	
311	311	94450	-1	
312	312	94400	-1	
313	313	94350	-1	
314	314	94300	-1	
315	315	94250	-1	
316	316	94200	-1	
317	317	94150	-1	
318	318	94100	-1	
319	319	94050	-1	
320	320	94000	-1	
321	321	93950	-1	
322	322	93900	-1	
323	323	93850	-1	
324	324	93800	-1	
325	325	93750	-1	
326	326	93700	-1	
327	327	93650	-1	
328	328	93600	-1	
329	329	93550	-1	
330	330	93500	-1	
331	331	93450	-1	
332	332	93400	-1	
333	333	93350	-1	
334	334	93300	-1	
335	335	93250	-1	
336	336	93200	-1	
337	337	93150	-1	
338	338	93100	-1	
339	339	93050	-1	
340	340	93000	-1	
341	341	92950	-1	
342	342	92900	-1	
343	343	92850	-1	
344	344	92800	-1	
345	345	92750	-1	
346	346	92700	-1	
347	347	92650	-1	
348	348	92600	-1	
349	349	92550	-1	
350	350	92500	-1	
351	351	92450	-1	
352	352	92400	-1	
353	353	92350	-1	
354	354	92300	-1	
355	355	92250	-1	
356	356	92200	-1	
357	357	92150	-1	
358	358	92100	-1	
359	359	92050	-1	
360	360	92000	-1	
361	361	91950	-1	
362	362	91900	-1	
363	363	91850	-1	
364	364	91800	-1	
365	365	91750	-1	
366	366	91700	-1	
367	367	91650	-1	
368	368	91600	-1	
369	369	91550	-1	
370	370	91500	-1	
371	371	91450	-1	
372	372	91400	-1	
373	373	91350	-1	
374	374	91300	-1	
375	375	91250	-1	
376	376	91200	-1	
377	377	91150	-1	
378	378	91100	-1	
379	379	91050	-1	
380	380	91000	-1	
381	381	90950	-1	
382	382	90900	-1	
383	383	90850	-1	
384	384	90800	-1	
385	385	90750	-1	
386	386	90700	-1	
387	387	90650	-1	
388	388	90600	-1	
389	389	90550	-1	
390	390	90500	-1	
391	391	90450	-1	
392	392	90400	-1	
393	393	90350	-1	
394	394	90300	-1	
395	395	90250	-1	
396	396	90200	-1	
397	397	90150	-1	
398	398	90100	-1	
399	399	90050	-1	
400	400	90000	-1	
401	401	89950	-1	
402	402	89900	-1	
403	403	89850	-1	
404	404	89800	-1	
405	405	89750	-1	
406	406	89700	-1	
407	407	89650	-1	
408	408	89600	-1	
409	409	89550	-1	
410	410	89500	-1	
411	411	89450	-1	
412	412	89400	-1	
413	413	89350	-1	
414	414	89300	-1	
415	415	89250	-1	
416	416	89200	-1	
417	417	89150	-1	
418	418	89100	-1	
419	419	89050	-1	
420	420	89000	-1	
421	421	88950	-1	
422	422	88900	-1	
423	423	88850	-1	
424	424	88800	-1	
425	425	88750	-1	
426	426	88700	-1	
427	427	88650	-1	
428	428	88600	-1	
429	429	88550	-1	
430	430	88500	-1	
431	431	88450	-1	
432	432	88400	-1	
433	433	88350	-1	
434	434	88300	-1	
435	435	88250	-1	
436	436	88200	-1	
437	437	88150	-1	
438	438	88100	-1	
439	439	88050	-1	
440	440	88000	-1	
441	441	87950	-1	
442	442	87900	-1	
443	443	87850	-1	
444	444	87800	-1	
445	445	87750	-1	
446	446	87700	-1	
447	447	87650	-1	
448	448	87600	-1	
449	449	87550	-1	
450	450	87500	-1	
451	451	87450	-1	
452	452	87400	-1	
453	453	87350	-1	
454	454	87300	-1	
455	455	87250	-1	
456	456	87200	-1	
457	457	87150	-1	
458	458	87100	-1	
459	459	87050	-1	
460	460	87000	-1	
461	461	86950	-1	
462	462	86900	-1	
463	463	86850	-1	
464	464	86800	-1	
465	465	86750	-1	
466	466	86700	-1	
467	467	86650	-1	
468	468	86600	-1	
469	469	86550	-1	
470	470	86500	-1	
471	471	86450	-1	
472	472	86400	-1	
473	473	86350	-1	
474	474	86300	-1	
475	475	86250	-1	
476	476	86200	-1	
477	477	86150	-1	
478	478	86100	-1	
479	479	86050	-1	
480	480	86000	-1	
481	481	85950	-1	
482	482	85900	-1	
483	483	85850	-1	
484	484	85800	-1	
485	485	85750	-1	
486	486	85700	-1	
487	487	85650	-1	
488	488	85600	-1	
489	489	85550	-1	
490	490	85500	-1	
491	491	85450	-1	
492	492	85400	-1	
493	493	85350	-1	
494	494	85300	-1	
495	495	85250	-1	
496	496	85200	-1	
497	497	85150	-1	
498	498	85100	-1	
499	499	85050	-1	
500	500	85000	-1	
501	501	84980	-1	
502	502	84960	-1	
503	503	84940	-1	
504	504	84920	-1	
505	505	84900	-1	
506	506	84880	-1	
507	507	84860	-1	
508	508	84840	-1	
509	509	84820	-1	
510	510	84800	-1	
511	511	84780	-1	
512	512	84760	-1	
513	513	84740	-1	
514	514	84720	-1	
515	515	84700	-1	
516	516	84680	-1	
517	517	84660	-1	
518	518	84640	-1	
519	519	84620	-1	
520	520	84600	-1	
521	521	84580	-1	
522	522	84560	-1	
523	523	84540	-1	
524	524	84520	-1	
525	525	84500	-1	
526	526	84480	-1	
527	527	84460	-1	
528	528	84440	-1	
529	529	84420	-1	
530	530	84400	-1	
531	531	84380	-1	
532	532	84360	-1	
533	533	84340	-1	
534	534	84320	-1	
535	535	84300	-1	
536	536	84280	-1	
537	537	84260	-1	
538	538	84240	-1	
539	539	84220	-1	
540	540	84200	-1	
541	541	84180	-1	
542	542	84160	-1	
543	543	84140	-1	
544	544	84120	-1	
545	545	84100	-1	
546	546	84080	-1	
547	547	84060	-1	
548	548	84040	-1	
549	549	84020	-1	
550	550	84000	-1	
551	551	83980	-1	
552	552	83960	-1	
553	553	83940	-1	
554	554	83920	-1	
555	555	83900	-1	
556	556	83880	-1	
557	557	83860	-1	
558	558	83840	-1	
559	559	83820	-1	
560	560	83800	-1	
561	561	83780	-1	
562	562	83760	-1	
563	563	83740	-1	
564	564	83720	-1	
565	565	83700	-1	
566	566	83680	-1	
567	567	83660	-1	
568	568	83640	-1	
569	569	83620	-1	
570	570	83600	-1	
571	571	83580	-1	
572	572	83560	-1	
573	573	83540	-1	
574	574	83520	-1	
575	575	83500	-1	
576	576	83480	-1	
577	577	83460	-1	
578	578	83440	-1	
579	579	83420	-1	
580	580	83400	-1	
581	581	83380	-1	
582	582	83360	-1	
583	583	83340	-1	
584	584	83320	-1	
585	585	83300	-1	
586	586	83280	-1	
587	587	83260	-1	
588	588	83240	-1	
589	589	83220	-1	
590	590	83200	-1	
591	591	83180	-1	
592	592	83160	-1	
593	593	83140	-1	
594	594	83120	-1	
595	595	83100	-1	
596	596	83080	-1	
597	597	83060	-1	
598	598	83040	-1	
599	599	83020	-1	
600	600	83000	-1	
601	601	82980	-1	
602	602	82960	-1	
603	603	82940	-1	
604	604	82920	-1	
605	605	82900	-1	
606	606	82880	-1	
607	607	82860	-1	
608	608	82840	-1	
609	609	82820	-1	
610	610	82800	-1	
611	611	82780	-1	
612	612	82760	-1	
613	613	82740	-1	
614	614	82720	-1	
615	615	82700	-1	
616	616	82680	-1	
617	617	82660	-1	
618	618	82640	-1	
619	619	82620	-1	
620	620	82600	-1	
621	621	82580	-1	
622	622	82560	-1	
623	623	82540	-1	
624	624	82520	-1	
625	625	82500	-1	
626	626	82480	-1	
627	627	82460	-1	
628	628	82440	-1	
629	629	82420	-1	
630	630	82400	-1	
631	631	82380	-1	
632	632	82360	-1	
633	633	82340	-1	
634	634	82320	-1	
635	635	82300	-1	
636	636	82280	-1	
637	637	82260	-1	
638	638	82240	-1	
639	639	82220	-1	
640	640	82200	-1	
641	641	82180	-1	
642	642	82160	-1	
643	643	82140	-1	
644	644	82120	-1	
645	645	82100	-1	
646	646	82080	-1	
647	647	82060	-1	
648	648	82040	-1	
649	649	82020	-1	
650	650	82000	-1	
651	651	81980	-1	
652	652	81960	-1	
653	653	81940	-1	
654	654	81920	-1	
655	655	81900	-1	
656	656	81880	-1	
657	657	81860	-1	
658	658	81840	-1	
659	659	81820	-1	
660	660	81800	-1	
661	661	81780	-1	
662	662	81760	-1	
663	663	81740	-1	
664	664	81720	-1	
665	665	81700	-1	
666	666	81680	-1	
667	667	81660	-1	
668	668	81640	-1	
669	669	81620	-1	
670	670	81600	-1	
671	671	81580	-1	
672	672	81560	-1	
673	673	81540	-1	
674	674	81520	-1	
675	675	81500	-1	
676	676	81480	-1	
677	677	81460	-1	
678	678	81440	-1	
679	679	81420	-1	
680	680	81400	-1	
681	681	81380	-1	
682	682	81360	-1	
683	683	81340	-1	
684	684	81320	-1	
685	685	81300	-1	
686	686	81280	-1	
687	687	81260	-1	
688	688	81240	-1	
689	689	81220	-1	
690	690	81200	-1	
691	691	81180	-1	
692	692	81160	-1	
693	693	81140	-1	
694	694	81120	-1	
695	695	81100	-1	
696	696	81080	-1	
697	697	81060	-1	
698	698	81040	-1	
699	699	81020	-1	
700	700	81000	-1	
701	701	80980	-1	
702	702	80960	-1	
703	703	80940	-1	
704	704	80920	-1	
705	705	80900	-1	
706	706	80880	-1	
707	707	80860	-1	
708	708	80840	-1	
709	709	80820	-1	
710	710	80800	-1	
711	711	80780	-1	
712	712	80760	-1	
713	713	80740	-1	
714	714	80720	-1	
715	715	80700	-1	
716	716	80680	-1	
717	717	80660	-1	
718	718	80640	-1	
719	719	80620	-1	
720	720	80600	-1	
721	721	80580	-1	
722	722	80560	-1	
723	723	80540	-1	
724	724	80520	-1	
725	725	80500	-1	
726	726	80480	-1	
727	727	80460	-1	
728	728	80440	-1	
729	729	80420	-1	
730	730	80400	-1	
731	731	80380	-1	
732	732	80360	-1	
733	733	80340	-1	
734	734	80320	-1	
735	735	80300	-1	
736	736	80280	-1	
737	737	80260	-1	
738	738	80240	-1	
739	739	80220	-1	
740	740	80200	-1	
741	741	80180	-1	
742	742	80160	-1	
743	743	80140	-1	
744	744	80120	-1	
745	745	80100	-1	
746	746	80080	-1	
747	747	80060	-1	
748	748	80040	-1	
749	749	80020	-1	
750	750	80000	-1	
751	751	79980	-1	
752	752	79960	-1	
753	753	79940	-1	
754	754	79920	-1	
755	755	79900	-1	
756	756	79880	-1	
757	757	79860	-1	
758	758	79840	-1	
759	759	79820	-1	
760	760	79800	-1	
761	761	79780	-1	
762	762	79760	-1	
763	763	79740	-1	
764	764	79720	-1	
765	765	79700	-1	
766	766	79680	-1	
767	767	79660	-1	
768	768	79640	-1	
769	769	79620	-1	
770	770	79600	-1	
771	771	79580	-1	
772	772	79560	-1	
773	773	79540	-1	
774	774	79520	-1	
775	775	79500	-1	
776	776	79480	-1	
777	777	79460	-1	
778	778	79440	-1	
779	779	79420	-1	
780	780	79400	-1	
781	781	79380	-1	
782	782	79360	-1	
783	783	79340	-1	
784	784	79320	-1	
785	785	79300	-1	
786	786	79280	-1	
787	787	79260	-1	
788	788	79240	-1	
789	789	79220	-1	
790	790	79200	-1	
791	791	79180	-1	
792	792	79160	-1	
793	793	79140	-1	
794	794	79120	-1	
795	795	79100	-1	
796	796	79080	-1	
797	797	79060	-1	
798	798	79040	-1	
799	799	79020	-1	
800	800	79000	-1	
801	801	78980	-1	
802	802	78960	-1	
803	803	78940	-1	
804	804	78920	-1	
805	805	78900	-1	
806	806	78880	-1	
807	807	78860	-1	
808	808	78840	-1	
809	809	78820	-1	
810	810	78800	-1	
811	811	78780	-1	
812	812	78760	-1	
813	813	78740	-1	
814	814	78720	-1	
815	815	78700	-1	
816	816	78680	-1	
817	817	78660	-1	
818	818	78640	-1	
819	819	78620	-1	
820	820	78600	-1	
821	821	78580	-1	
822	822	78560	-1	
823	823	78540	-1	
824	824	78520	-1	
825	825	78500	-1	
826	826	78480	-1	
827	827	78460	-1	
828	828	78440	-1	
829	829	78420	-1	
830	830	78400	-1	
831	831	78380	-1	
832	832	78360	-1	
833	833	78340	-1	
834	834	78320	-1	
835	835	78300	-1	
836	836	78280	-1	
837	837	78260	-1	
838	838	78240	-1	
839	839	78220	-1	
840	840	78200	-1	
841	841	78180	-1	
842	842	78160	-1	
843	843	78140	-1	
844	844	78120	-1	
845	845	78100	-1	
846	846	78080	-1	
847	847	78060	-1	
848	848	78040	-1	
849	849	78020	-1	
850	850	78000	-1	
851	851	77980	-1	
852	852	77960	-1	
853	853	77940	-1	
854	854	77920	-1	
855	855	77900	-1	
856	856	77880	-1	
857	857	77860	-1	
858	858	77840	-1	
859	859	77820	-1	
860	860	77800	-1	
861	861	77780	-1	
862	862	77760	-1	
863	863	77740	-1	
864	864	77720	-1	
865	865	77700	-1	
866	866	77680	-1	
867	867	77660	-1	
868	868	77640	-1	
869	869	77620	-1	
870	870	77600	-1	
871	871	77580	-1	
872	872	77560	-1	
873	873	77540	-1	
874	874	77520	-1	
875	875	77500	-1	
876	876	77480	-1	
877	877	77460	-1	
878	878	77440	-1	
879	879	77420	-1	
880	880	77400	-1	
881	881	77380	-1	
882	882	77360	-1	
883	883	77340	-1	
884	884	77320	-1	
885	885	77300	-1	
886	886	77280	-1	
887	887	77260	-1	
888	888	77240	-1	
889	889	77220	-1	
890	890	77200	-1	
891	891	77180	-1	
892	892	77160	-1	
893	893	77140	-1	
894	894	77120	-1	
895	895	77100	-1	
896	896	77080	-1	
897	897	77060	-1	
898	898	77040	-1	
899	899	77020	-1	
900	900	77000	-1	
901	901	76980	-1	
902	902	76960	-1	
903	903	76940	-1	
904	904	76920	-1	
905	905	76900	-1	
906	906	76880	-1	
907	907	76860	-1	
908	908	76840	-1	
909	909	76820	-1	
910	910	76800	-1	
911	911	76780	-1	
912	912	76760	-1	
913	913	76740	-1	
914	914	76720	-1	
915	915	76700	-1	
916	916	76680	-1	
917	917	76660	-1	
918	918	76640	-1	
919	919	76620	-1	
920	920	76600	-1	
921	921	76580	-1	
922	922	76560	-1	
923	923	76540	-1	
924	924	76520	-1	
925	925	76500	-1	
926	926	76480	-1	
927	927	76460	-1	
928	928	76440	-1	
929	929	76420	-1	
930	930	76400	-1	
931	931	76380	-1	
932	932	76360	-1	
933	933	76340	-1	
934	934	76320	-1	
935	935	76300	-1	
936	936	76280	-1	
937	937	76260	-1	
938	938	76240	-1	
939	939	76220	-1	
940	940	76200	-1	
941	941	76180	-1	
942	942	76160	-1	
943	943	76140	-1	
944	944	76120	-1	
945	945	76100	-1	
946	946	76080	-1	
947	947	76060	-1	
948	948	76040	-1	
949	949	76020	-1	
950	950	76000	-1	
951	951	75980	-1	
952	952	75960	-1	
953	953	75940	-1	
954	954	75920	-1	
955	955	75900	-1	
956	956	75880	-1	
957	957	75860	-1	
958	958	75840	-1	
959	959	75820	-1	
960	960	75800	-1	
961	961	75780	-1	
962	962	75760	-1	
963	963	75740	-1	
964	964	75720	-1	
965	965	75700	-1	
966	966	75680	-1	
967	967	75660	-1	
968	968	75640	-1	
969	969	75620	-1	
970	970	75600	-1	
971	971	75580	-1	
972	972	75560	-1	
973	973	75540	-1	
974	974	75520	-1	
975	975	75500	-1	
976	976	75480	-1	
977	977	75460	-1	
978	978	75440	-1	
979	979	75420	-1	
980	980	75400	-1	
981	981	75380	-1	
982	982	75360	-1	
983	983	75340	-1	
984	984	75320	-1	
985	985	75300	-1	
986	986	75280	-1	
987	987	75260	-1	
988	988	75240	-1	
989	989	75220	-1	
990	990	75200	-1	
991	991	75180	-1	
992	992	75160	-1	
993	993	75140	-1	
994	994	75120	-1	
995	995	75100	-1	
996	996	75080	-1	
997	997	75060	-1	
998	998	75040	-1	
999	999	75020	-1	
1000	1000	75000	-1	
1001	1001	74980	-1	
1002	1002	74960	-1	
1003	1003	74940	-1	
1004	1004	74920	-1	
1005	1005	74900	-1	
1006	1006	74880	-1	
1007	1007	74860	-1	
1008	1008	74840	-1	
1009	1009	74820	-1	
1010	1010	74800	-1	
1011	1011	74780	-1	
1012	1012	74760	-1	
1013	1013	74740	-1	
1014	1014	74720	-1	
1015	1015	74700	-1	
1016	1016	74680	-1	
1017	1017	74660	-1	
1018	1018	74640	-1	
1019	1019	74620	-1	
1020	1020	74600	-1	
1021	1021	74580	-1	
1022	1022	74560	-1	
1023	1023	74540	-1	
1024	1024	74520	-1	
1025	1025	74500	-1	
1026	1026	74480	-1	
1027	1027	74460	-1	
1028	1028	74440	-1	
1029	1029	74420	-1	
1030	1030	74400	-1	
1031	1031	74380	-1	
1032	1032	74360	-1	
1033	1033	74340	-1	
1034	1034	74320	-1	
1035	1035	74300	-1	
1036	1036	74280	-1	
1037	1037	74260	-1	
1038	1038	74240	-1	
1039	1039	74220	-1	
1040	1040	74200	-1	
1041	1041	74180	-1	
1042	1042	74160	-1	
1043	1043	74140	-1	
1044	1044	74120	-1	
1045	1045	74100	-1	
1046	1046	74080	-1	
1047	1047	74060	-1	
1048	1048	74040	-1	
1049	1049	74020	-1	
1050	1050	74000	-1	
1051	1051	73980	-1	
1052	1052	73960	-1	
1053	1053	73940	-1	
1054	1054	73920	-1	
1055	1055	73900	-1	
1056	1056	73880	-1	
1057	1057	73860	-1	
1058	1058	73840	-1	
1059	1059	73820	-1	
1060	1060	73800	-1	
1061	1061	73780	-1	
1062	1062	73760	-1	
1063	1063	73740	-1	
1064	1064	73720	-1	
1065	1065	73700	-1	
1066	1066	73680	-1	
1067	1067	73660	-1	
1068	1068	73640	-1	
1069	1069	73620	-1	
1070	1070	73600	-1	
1071	1071	73580	-1	
1072	1072	73560	-1	
1073	1073	73540	-1	
1074	1074	73520	-1	
1075	1075	73500	-1	
1076	1076	73480	-1	
1077	1077	73460	-1	
1078	1078	73440	-1	
1079	1079	73420	-1	
1080	1080	73400	-1	
1081	1081	73380	-1	
1082	1082	73360	-1	
1083	1083	73340	-1	
1084	1084	73320	-1	
1085	1085	73300	-1	
1086	1086	73280	-1	
1087	1087	73260	-1	
1088	1088	73240	-1	
1089	1089	73220	-1	
1090	1090	73200	-1	
1091	1091	73180	-1	
1092	1092	73160	-1	
1093	1093	73140	-1	
1094	1094	73120	-1	
1095	1095	73100	-1	
1096	1096	73080	-1	
1097	1097	73060	-1	
1098	1098	73040	-1	
1099	1099	73020	-1	
1100	1100	73000	-1	
1101	1101	72980	-1	
1102	1102	72960	-1	
1103	1103	72940	-1	
1104	1104	72920	-1	
1105	1105	72900	-1	
1106	1106	72880	-1	
1107	1107	72860	-1	
1108	1108	72840	-1	
1109	1109	72820	-1	
1110	1110	72800	-1	
1111	1111	72780	-1	
1112	1112	72760	-1	
1113	1113	72740	-1	
1114	1114	72720	-1	
1115	1115	72700	-1	
1116	1116	72680	-1	
1117	1117	72660	-1	
1118	1118	72640	-1	
1119	1119	72620	-1	
1120	1120	72600	-1	
1121	1121	72580	-1	
1122	1122	72560	-1	
1123	1123	72540	-1	
1124	1124	72520	-1	
1125	1125	72500	-1	
1126	1126	72480	-1	
1127	1127	72460	-1	
1128	1128	72440	-1	
1129	1129	72420	-1	
1130	1130	72400	-1	
1131	1131	72380	-1	
1132	1132	72360	-1	
1133	1133	72340	-1	
1134	1134	72320	-1	
1135	1135	72300	-1	
1136	1136	72280	-1	
1137	1137	72260	-1	
1138	1138	72240	-1	
1139	1139	72220	-1	
1140	1140	72200	-1	
1141	1141	72180	-1	
1142	1142	72160	-1	
1143	1143	72140	-1	
1144	1144	72120	-1	
1145	1145	72100	-1	
1146	1146	72080	-1	
1147	1147	72060	-1	
1148	1148	72040	-1	
1149	1149	72020	-1	
1150	1150	72000	-1	
1151	1151	71980	-1	
1152	1152	71960	-1	
1153	1153	71940	-1	
1154	1154	71920	-1	
1155	1155	71900	-1	
1156	1156	71880	-1	
1157	1157	71860	-1	
1158	1158	71840	-1	
1159	1159	71820	-1	
1160	1160	71800	-1	
1161	1161	71780	-1	
1162	1162	71760	-1	
1163	1163	71740	-1	
1164	1164	71720	-1	
1165	1165	71700	-1	
1166	1166	71680	-1	
1167	1167	71660	-1	
1168	1168	71640	-1	
1169	1169	71620	-1	
