INT	INT	STRING
208	1	1:1000000|4:10000|5:20000|3:10000|33:200
209	1	1:1000000|4:10000|5:20000|3:10000|33:200
210	1	1:1000000|4:10000|5:20000|3:10000|33:200
211	1	1:1000000|4:10000|5:20000|3:10000|33:200
212	1	1:1000000|4:10000|5:20000|3:10000|33:200
213	1	1:1000000|4:10000|5:20000|3:10000|33:200
214	1	1:1000000|4:10000|5:20000|3:10000|33:200
215	1	1:1000000|4:10000|5:20000|3:10000|33:200
216	1	1:1000000|4:10000|5:20000|3:10000|33:200
217	1	1:1000000|4:10000|5:20000|3:10000|33:200
218	1	1:1000000|4:10000|5:20000|3:10000|33:200
219	1	1:1000000|4:10000|5:20000|3:10000|33:200
220	1	1:1000000|4:10000|5:20000|3:10000|33:200
221	1	1:1000000|4:10000|5:20000|3:10000|33:200
222	1	1:1000000|4:10000|5:20000|3:10000|33:200
223	1	1:1000000|4:10000|5:20000|3:10000|33:200
224	1	1:1000000|4:10000|5:20000|3:10000|33:200
225	1	1:1000000|4:10000|5:20000|3:10000|33:200
226	1	1:1000000|4:10000|5:20000|3:10000|33:200
227	1	1:1000000|4:10000|5:20000|3:10000|33:200
228	1	1:1000000|4:10000|5:20000|3:10000|33:200
229	1	1:1000000|4:10000|5:20000|3:10000|33:200
230	1	1:1000000|4:10000|5:20000|3:10000|33:200
231	1	1:1000000|4:10000|5:20000|3:10000|33:200
232	1	1:1000000|4:10000|5:20000|3:10000|33:200
233	1	1:1000000|4:10000|5:20000|3:10000|33:200
234	1	1:1000000|4:10000|5:20000|3:10000|33:200
235	1	1:1000000|4:10000|5:20000|3:10000|33:200
236	1	1:1000000|4:10000|5:20000|3:10000|33:200
237	1	1:1000000|4:10000|5:20000|3:10000|33:200
238	1	1:1000000|4:10000|5:20000|3:10000|33:200
239	1	1:1000000|4:10000|5:20000|3:10000|33:200
240	1	1:1000000|4:10000|5:20000|3:10000|33:200
241	1	1:1000000|4:10000|5:20000|3:10000|33:200
242	1	1:1000000|4:10000|5:20000|3:10000|33:200
243	1	1:1000000|4:10000|5:20000|3:10000|33:200
244	1	1:1000000|4:10000|5:20000|3:10000|33:200
245	1	1:1000000|4:10000|5:20000|3:10000|33:200
246	1	1:1000000|4:10000|5:20000|3:10000|33:200
247	1	1:1000000|4:10000|5:20000|3:10000|33:200
248	1	1:1000000|4:10000|5:20000|3:10000|33:200
249	1	1:1000000|4:10000|5:20000|3:10000|33:200
250	1	1:1000000|4:10000|5:20000|3:10000|33:200
251	1	1:1000000|4:10000|5:20000|3:10000|33:200
252	1	1:1000000|4:10000|5:20000|3:10000|33:200
253	1	1:1000000|4:10000|5:20000|3:10000|33:200
254	1	1:1000000|4:10000|5:20000|3:10000|33:200
255	1	1:1000000|4:10000|5:20000|3:10000|33:200
256	1	1:1000000|4:10000|5:20000|3:10000|33:200
257	1	1:1000000|4:10000|5:20000|3:10000|33:200
258	1	1:1000000|4:10000|5:20000|3:10000|33:200
259	1	1:1000000|4:10000|5:20000|3:10000|33:200
260	1	1:1000000|4:10000|5:20000|3:10000|33:200
261	1	1:1000000|4:10000|5:20000|3:10000|33:200
262	1	1:1000000|4:10000|5:20000|3:10000|33:200
263	1	1:1000000|4:10000|5:20000|3:10000|33:200
264	1	1:1000000|4:10000|5:20000|3:10000|33:200
265	1	1:1000000|4:10000|5:20000|3:10000|33:200
266	1	1:1000000|4:10000|5:20000|3:10000|33:200
267	1	1:1000000|4:10000|5:20000|3:10000|33:200
268	1	1:1000000|4:10000|5:20000|3:10000|33:200
269	1	1:1000000|4:10000|5:20000|3:10000|33:200
270	1	1:1000000|4:10000|5:20000|3:10000|33:200
271	1	1:1000000|4:10000|5:20000|3:10000|33:200
272	1	1:1000000|4:10000|5:20000|3:10000|33:200
273	1	1:1000000|4:10000|5:20000|3:10000|33:200
274	1	1:1000000|4:10000|5:20000|3:10000|33:200
275	1	1:1000000|4:10000|5:20000|3:10000|33:200
276	1	1:1000000|4:10000|5:20000|3:10000|33:200
277	1	1:1000000|4:10000|5:20000|3:10000|33:200
278	1	1:1000000|4:10000|5:20000|3:10000|33:200
279	1	1:1000000|4:10000|5:20000|3:10000|33:200
280	1	1:1000000|4:10000|5:20000|3:10000|33:200
281	1	1:1000000|4:10000|5:20000|3:10000|33:200
282	1	1:1000000|4:10000|5:20000|3:10000|33:200
283	1	1:1000000|4:10000|5:20000|3:10000|33:200
284	1	1:1000000|4:10000|5:20000|3:10000|33:200
285	1	1:1000000|4:10000|5:20000|3:10000|33:200
286	1	1:1000000|4:10000|5:20000|3:10000|33:200
287	1	1:1000000|4:10000|5:20000|3:10000|33:200
288	1	1:1000000|4:10000|5:20000|3:10000|33:200
289	1	1:1000000|4:10000|5:20000|3:10000|33:200
290	1	1:1000000|4:10000|5:20000|3:10000|33:200
291	1	1:1000000|4:10000|5:20000|3:10000|33:200
292	1	1:1000000|4:10000|5:20000|3:10000|33:200
293	1	1:1000000|4:10000|5:20000|3:10000|33:200
294	1	1:1000000|4:10000|5:20000|3:10000|33:200
295	1	1:1000000|4:10000|5:20000|3:10000|33:200
296	1	1:1000000|4:10000|5:20000|3:10000|33:200
297	1	1:1000000|4:10000|5:20000|3:10000|33:200
298	1	1:1000000|4:10000|5:20000|3:10000|33:200
299	1	1:1000000|4:10000|5:20000|3:10000|33:200
300	1	1:1000000|4:10000|5:20000|3:10000|33:200
301	1	1:1000000|4:10000|5:20000|3:10000|33:200
302	1	1:1000000|4:10000|5:20000|3:10000|33:200
303	1	1:1000000|4:10000|5:20000|3:10000|33:200
304	1	1:1000000|4:10000|5:20000|3:10000|33:200
305	1	1:1000000|4:10000|5:20000|3:10000|33:200
306	1	1:1000000|4:10000|5:20000|3:10000|33:200
307	1	1:1000000|4:10000|5:20000|3:10000|33:200
308	1	1:1000000|4:10000|5:20000|3:10000|33:200
309	1	1:1000000|4:10000|5:20000|3:10000|33:200
310	1	1:1000000|4:10000|5:20000|3:10000|33:200
311	1	1:1000000|4:10000|5:20000|3:10000|33:200
312	1	1:1000000|4:10000|5:20000|3:10000|33:200
313	1	1:1000000|4:10000|5:20000|3:10000|33:200
314	1	1:1000000|4:10000|5:20000|3:10000|33:200
315	1	1:1000000|4:10000|5:20000|3:10000|33:200
316	1	1:1000000|4:10000|5:20000|3:10000|33:200
317	1	1:1000000|4:10000|5:20000|3:10000|33:200
318	1	1:1000000|4:10000|5:20000|3:10000|33:200
319	1	1:1000000|4:10000|5:20000|3:10000|33:200
320	1	1:1000000|4:10000|5:20000|3:10000|33:200
321	1	1:1000000|4:10000|5:20000|3:10000|33:200
322	1	1:1000000|4:10000|5:20000|3:10000|33:200
323	1	1:1000000|4:10000|5:20000|3:10000|33:200
324	1	1:1000000|4:10000|5:20000|3:10000|33:200
325	1	1:1000000|4:10000|5:20000|3:10000|33:200
326	1	1:1000000|4:10000|5:20000|3:10000|33:200
327	1	1:1000000|4:10000|5:20000|3:10000|33:200
328	1	1:1000000|4:10000|5:20000|3:10000|33:200
329	1	1:1000000|4:10000|5:20000|3:10000|33:200
330	1	1:1000000|4:10000|5:20000|3:10000|33:200
331	1	1:1000000|4:10000|5:20000|3:10000|33:200
332	1	1:1000000|4:10000|5:20000|3:10000|33:200
333	1	1:1000000|4:10000|5:20000|3:10000|33:200
334	1	1:1000000|4:10000|5:20000|3:10000|33:200
335	1	1:1000000|4:10000|5:20000|3:10000|33:200
336	1	1:1000000|4:10000|5:20000|3:10000|33:200
337	1	1:1000000|4:10000|5:20000|3:10000|33:200
338	1	1:1000000|4:10000|5:20000|3:10000|33:200
339	1	1:1000000|4:10000|5:20000|3:10000|33:200
340	1	1:1000000|4:10000|5:20000|3:10000|33:200
341	1	1:1000000|4:10000|5:20000|3:10000|33:200
342	1	1:1000000|4:10000|5:20000|3:10000|33:200
343	1	1:1000000|4:10000|5:20000|3:10000|33:200
344	1	1:1000000|4:10000|5:20000|3:10000|33:200
345	1	1:1000000|4:10000|5:20000|3:10000|33:200
346	1	1:1000000|4:10000|5:20000|3:10000|33:200
347	1	1:1000000|4:10000|5:20000|3:10000|33:200
348	1	1:1000000|4:10000|5:20000|3:10000|33:200
349	1	1:1000000|4:10000|5:20000|3:10000|33:200
350	1	1:1000000|4:10000|5:20000|3:10000|33:200
351	1	1:1000000|4:10000|5:20000|3:10000|33:200
352	1	1:1000000|4:10000|5:20000|3:10000|33:200
353	1	1:1000000|4:10000|5:20000|3:10000|33:200
354	1	1:1000000|4:10000|5:20000|3:10000|33:200
355	1	1:1000000|4:10000|5:20000|3:10000|33:200
356	1	1:1000000|4:10000|5:20000|3:10000|33:200
357	1	1:1000000|4:10000|5:20000|3:10000|33:200
358	1	1:1000000|4:10000|5:20000|3:10000|33:200
359	1	1:1000000|4:10000|5:20000|3:10000|33:200
360	1	1:1000000|4:10000|5:20000|3:10000|33:200
361	1	1:1000000|4:10000|5:20000|3:10000|33:200
362	1	1:1000000|4:10000|5:20000|3:10000|33:200
363	1	1:1000000|4:10000|5:20000|3:10000|33:200
364	1	1:1000000|4:10000|5:20000|3:10000|33:200
365	1	1:1000000|4:10000|5:20000|3:10000|33:200
366	1	1:1000000|4:10000|5:20000|3:10000|33:200
367	1	1:1000000|4:10000|5:20000|3:10000|33:200
368	1	1:1000000|4:10000|5:20000|3:10000|33:200
369	1	1:1000000|4:10000|5:20000|3:10000|33:200
370	1	1:1000000|4:10000|5:20000|3:10000|33:200
371	1	1:1000000|4:10000|5:20000|3:10000|33:200
372	1	1:1000000|4:10000|5:20000|3:10000|33:200
373	1	1:1000000|4:10000|5:20000|3:10000|33:200
374	1	1:1000000|4:10000|5:20000|3:10000|33:200
375	1	1:1000000|4:10000|5:20000|3:10000|33:200
376	1	1:1000000|4:10000|5:20000|3:10000|33:200
377	1	1:1000000|4:10000|5:20000|3:10000|33:200
378	1	1:1000000|4:10000|5:20000|3:10000|33:200
379	1	1:1000000|4:10000|5:20000|3:10000|33:200
380	1	1:1000000|4:10000|5:20000|3:10000|33:200
381	1	1:1000000|4:10000|5:20000|3:10000|33:200
382	1	1:1000000|4:10000|5:20000|3:10000|33:200
383	1	1:1000000|4:10000|5:20000|3:10000|33:200
384	1	1:1000000|4:10000|5:20000|3:10000|33:200
385	1	1:1000000|4:10000|5:20000|3:10000|33:200
386	1	1:1000000|4:10000|5:20000|3:10000|33:200
387	1	1:1000000|4:10000|5:20000|3:10000|33:200
388	1	1:1000000|4:10000|5:20000|3:10000|33:200
389	1	1:1000000|4:10000|5:20000|3:10000|33:200
390	1	1:1000000|4:10000|5:20000|3:10000|33:200
391	1	1:1000000|4:10000|5:20000|3:10000|33:200
392	1	1:1000000|4:10000|5:20000|3:10000|33:200
393	1	1:1000000|4:10000|5:20000|3:10000|33:200
394	1	1:1000000|4:10000|5:20000|3:10000|33:200
395	1	1:1000000|4:10000|5:20000|3:10000|33:200
396	1	1:1000000|4:10000|5:20000|3:10000|33:200
397	1	1:1000000|4:10000|5:20000|3:10000|33:200
398	1	1:1000000|4:10000|5:20000|3:10000|33:200
399	1	1:1000000|4:10000|5:20000|3:10000|33:200
400	1	1:1000000|4:10000|5:20000|3:10000|33:200
401	1	1:1000000|4:10000|5:20000|3:10000|33:200
402	1	1:1000000|4:10000|5:20000|3:10000|33:200
403	1	1:1000000|4:10000|5:20000|3:10000|33:200
404	1	1:1000000|4:10000|5:20000|3:10000|33:200
405	1	1:1000000|4:10000|5:20000|3:10000|33:200
406	1	1:1000000|4:10000|5:20000|3:10000|33:200
407	1	1:1000000|4:10000|5:20000|3:10000|33:200
408	1	1:1000000|4:10000|5:20000|3:10000|33:200
409	1	1:1000000|4:10000|5:20000|3:10000|33:200
410	1	1:1000000|4:10000|5:20000|3:10000|33:200
411	1	1:1000000|4:10000|5:20000|3:10000|33:200
412	1	1:1000000|4:10000|5:20000|3:10000|33:200
413	1	1:1000000|4:10000|5:20000|3:10000|33:200
414	1	1:1000000|4:10000|5:20000|3:10000|33:200
415	1	1:1000000|4:10000|5:20000|3:10000|33:200
416	1	1:1000000|4:10000|5:20000|3:10000|33:200
417	1	1:1000000|4:10000|5:20000|3:10000|33:200
418	1	1:1000000|4:10000|5:20000|3:10000|33:200
419	1	1:1000000|4:10000|5:20000|3:10000|33:200
420	1	1:1000000|4:10000|5:20000|3:10000|33:200
421	1	1:1000000|4:10000|5:20000|3:10000|33:200
422	1	1:1000000|4:10000|5:20000|3:10000|33:200
423	1	1:1000000|4:10000|5:20000|3:10000|33:200
424	1	1:1000000|4:10000|5:20000|3:10000|33:200
425	1	1:1000000|4:10000|5:20000|3:10000|33:200
426	1	1:1000000|4:10000|5:20000|3:10000|33:200
427	1	1:1000000|4:10000|5:20000|3:10000|33:200
428	1	1:1000000|4:10000|5:20000|3:10000|33:200
429	1	1:1000000|4:10000|5:20000|3:10000|33:200
430	1	1:1000000|4:10000|5:20000|3:10000|33:200
431	1	1:1000000|4:10000|5:20000|3:10000|33:200
432	1	1:1000000|4:10000|5:20000|3:10000|33:200
433	1	1:1000000|4:10000|5:20000|3:10000|33:200
434	1	1:1000000|4:10000|5:20000|3:10000|33:200
435	1	1:1000000|4:10000|5:20000|3:10000|33:200
436	1	1:1000000|4:10000|5:20000|3:10000|33:200
437	1	1:1000000|4:10000|5:20000|3:10000|33:200
438	1	1:1000000|4:10000|5:20000|3:10000|33:200
439	1	1:1000000|4:10000|5:20000|3:10000|33:200
440	1	1:1000000|4:10000|5:20000|3:10000|33:200
441	1	1:1000000|4:10000|5:20000|3:10000|33:200
442	1	1:1000000|4:10000|5:20000|3:10000|33:200
443	1	1:1000000|4:10000|5:20000|3:10000|33:200
444	1	1:1000000|4:10000|5:20000|3:10000|33:200
445	1	1:1000000|4:10000|5:20000|3:10000|33:200
446	1	1:1000000|4:10000|5:20000|3:10000|33:200
447	1	1:1000000|4:10000|5:20000|3:10000|33:200
448	1	1:1000000|4:10000|5:20000|3:10000|33:200
449	1	1:1000000|4:10000|5:20000|3:10000|33:200
450	1	1:1000000|4:10000|5:20000|3:10000|33:200
451	1	1:1000000|4:10000|5:20000|3:10000|33:200
452	1	1:1000000|4:10000|5:20000|3:10000|33:200
453	1	1:1000000|4:10000|5:20000|3:10000|33:200
454	1	1:1000000|4:10000|5:20000|3:10000|33:200
455	1	1:1000000|4:10000|5:20000|3:10000|33:200
456	1	1:1000000|4:10000|5:20000|3:10000|33:200
457	1	1:1000000|4:10000|5:20000|3:10000|33:200
458	1	1:1000000|4:10000|5:20000|3:10000|33:200
459	1	1:1000000|4:10000|5:20000|3:10000|33:200
460	1	1:1000000|4:10000|5:20000|3:10000|33:200
461	1	1:1000000|4:10000|5:20000|3:10000|33:200
462	1	1:1000000|4:10000|5:20000|3:10000|33:200
463	1	1:1000000|4:10000|5:20000|3:10000|33:200
464	1	1:1000000|4:10000|5:20000|3:10000|33:200
465	1	1:1000000|4:10000|5:20000|3:10000|33:200
466	1	1:1000000|4:10000|5:20000|3:10000|33:200
467	1	1:1000000|4:10000|5:20000|3:10000|33:200
468	1	1:1000000|4:10000|5:20000|3:10000|33:200
469	1	1:1000000|4:10000|5:20000|3:10000|33:200
470	1	1:1000000|4:10000|5:20000|3:10000|33:200
471	1	1:1000000|4:10000|5:20000|3:10000|33:200
472	1	1:1000000|4:10000|5:20000|3:10000|33:200
473	1	1:1000000|4:10000|5:20000|3:10000|33:200
474	1	1:1000000|4:10000|5:20000|3:10000|33:200
475	1	1:1000000|4:10000|5:20000|3:10000|33:200
476	1	1:1000000|4:10000|5:20000|3:10000|33:200
477	1	1:1000000|4:10000|5:20000|3:10000|33:200
478	1	1:1000000|4:10000|5:20000|3:10000|33:200
479	1	1:1000000|4:10000|5:20000|3:10000|33:200
480	1	1:1000000|4:10000|5:20000|3:10000|33:200
481	1	1:1000000|4:10000|5:20000|3:10000|33:200
