INT	STRING	INT	INT	INT	INT	STRING	INT
26079	10259|10260|10252	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26080	10262|10263|10264	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26081	10265|10267|10268	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26082	10269|10270|10262	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26083	10272|10273|10274	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26084	10275|10277|10278	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26085	10279|10280|10272	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26086	10282|10283|10284	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26087	10285|10287|10288	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26088	10289|10290|10282	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26089	10282|10283|10284	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26090	10285|10287|10288	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26091	10289|10290|10282	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26092	10252|10253|10254	500	599	1	120	510:1:1:1	30000
26093	10255|10257|10258	500	599	2	180	510:1:1:1	30000
26094	10259|10260|10252	500	599	3	240	510:1:1:1	30000
26095	10262|10263|10264	500	599	4	300	510:1:1:1	30000
26096	10265|10267|10268	500	599	4	360	510:1:1:1	30000
26097	10269|10270|10262	500	599	5	420	510:1:1:1	30000
26098	10272|10273|10274	500	599	5	480	510:1:1:1	30000
26099	10275|10277|10278	500	599	6	540	510:1:1:1	30000
26100	10279|10280|10272	500	599	6	600	510:1:1:1	30000
26101	10282|10283|10284	500	599	7	660	510:1:1:1	30000
26102	10285|10287|10288	500	599	7	720	510:1:1:1	30000
26103	10289|10290|10282	500	599	8	780	510:1:1:1	30000
26104	10282|10283|10284	500	599	8	840	510:1:1:1	30000
26105	10285|10287|10288	500	599	9	900	510:1:1:1	30000
26106	10289|10290|10282	500	599	9	960	510:1:1:1	30000
26107	10292|10293|10294	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26108	10295|10297|10298	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26109	10299|10300|10292	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26110	10302|10303|10304	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26111	10305|10307|10308	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26112	10309|10310|10302	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26113	10302|10303|10304	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26114	10305|10307|10308	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26115	10309|10310|10302	500	599	10	3000	510:1:3:1|7009:1:1:1	30000
26116	10252|10253|10254	600	999	1	240	510:1:1:1	50000
26117	10255|10257|10258	600	999	2	360	510:1:1:1	50000
26118	10259|10260|10252	600	999	3	480	510:1:1:1	50000
26119	10262|10263|10264	600	999	4	600	510:1:1:1	50000
26120	10265|10267|10268	600	999	4	720	510:1:1:1	50000
26121	10269|10270|10262	600	999	5	840	510:1:1:1	50000
26122	10272|10273|10274	600	999	5	960	510:1:1:1	50000
26123	10275|10277|10278	600	999	6	1080	510:1:1:1	50000
26124	10279|10280|10272	600	999	6	1200	510:1:1:1	50000
26125	10282|10283|10284	600	999	7	1320	510:1:1:1	50000
26126	10285|10287|10288	600	999	7	1440	510:1:1:1	50000
26127	10289|10290|10282	600	999	8	1560	510:1:1:1	50000
26128	10292|10293|10294	600	999	8	1680	510:1:1:1	50000
26129	10295|10297|10298	600	999	9	1800	510:1:1:1	50000
26130	10299|10300|10292	600	999	9	1920	510:1:1:1	50000
26131	10302|10303|10304	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
26132	10305|10307|10308	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
26133	10309|10310|10302	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
26134	10312|10313|10314	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
26135	10315|10317|10318	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
26136	10319|10320|10312	600	999	10	5000	510:1:3:1|7010:1:1:1	50000
